,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스,개봉전뉴스2
0,군함도,2017-07-26,2017.07.26,2017-07-19,2017.07.19,4981,2017-08-02,2017.08.02,2776," 4,984"
1,인간중독,2014-05-14,2014.05.14,2014-05-07,2014.05.07,4096,2014-05-21,2014.05.21,996," 4,097"
2,아수라,2016-09-28,2016.09.28,2016-09-21,2016.09.21,4007,2016-10-05,2016.10.05,1418," 4,007"
3,안시성,2018-09-19,2018.09.19,2018-09-12,2018.09.12,3806,2018-09-26,2018.09.26,1926," 3,805"
4,리얼,2017-06-28,2017.06.28,2017-06-21,2017.06.21,3767,2017-07-05,2017.07.05,2241," 3,769"
5,도리화가,2015-11-25,2015.11.25,2015-11-18,2015.11.18,3521,2015-12-02,2015.12.02,878," 3,521"
6,아가씨,2016-06-01,2016.06.01,2016-05-25,2016.05.25,3485,2016-06-08,2016.06.08,1315," 3,486"
7,치즈인더트랩,2018-03-14,2018.03.14,2018-03-07,2018.03.07,3333,2018-03-21,2018.03.21,872," 3,333"
8,더 킹,2017-01-18,2017.01.18,2017-01-11,2017.01.11,3195,2017-01-25,2017.01.25,1561," 3,194"
9,버닝,2018-05-17,2018.05.17,2018-05-10,2018.05.10,3182,2018-05-24,2018.05.24,2468," 3,182"
10,인천상륙작전,2016-07-27,2016.07.27,2016-07-20,2016.07.20,3058,2016-08-03,2016.08.03,1897," 3,059"
11,강남 1970,2015-01-21,2015.01.21,2015-01-14,2015.01.14,2984,2015-01-28,2015.01.28,1768," 2,984"
12,허삼관,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2968,2015-01-21,2015.01.21,1139," 2,971"
13,인랑,2018-07-25,2018.07.25,2018-07-18,2018.07.18,2865,2018-08-01,2018.08.01,1270," 2,864"
14,하이힐,2014-06-03,2014.06.03,2014-05-27,2014.05.27,2842,2014-06-10,2014.06.10,681," 15,365"
15,부산행,2016-07-20,2016.07.20,2016-07-13,2016.07.13,2822,2016-07-27,2016.07.27,2490," 2,823"
16,역모-반란의 시대,2017-11-23,2017.11.23,2017-11-16,2017.11.16,2810,2017-11-30,2017.11.30,147," 1,060"
17,마스터,2016-12-21,2016.12.21,2016-12-14,2016.12.14,2781,2016-12-28,2016.12.28,926," 51,986"
18,레드카펫,2014-10-23,2014.10.23,2014-10-16,2014.10.16,2568,2014-10-30,2014.10.30,1020," 2,569"
19,덕혜옹주,2016-08-03,2016.08.03,2016-07-27,2016.07.27,2543,2016-08-10,2016.08.10,1715," 2,542"
20,청년경찰,2017-08-09,2017.08.09,2017-08-02,2017.08.02,2520,2017-08-16,2017.08.16,1241," 2,519"
21,손님,2015-07-09,2015.07.09,2015-07-02,2015.07.02,2520,2015-07-16,2015.07.16,606," 2,520"
22,오늘의 연애,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2477,2015-01-21,2015.01.21,1159," 2,477"
23,암살,2015-07-22,2015.07.22,2015-07-15,2015.07.15,2459,2015-07-29,2015.07.29,1829," 2,459"
24,싱글라이더,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2445,2017-03-01,2017.03.01,929," 2,444"
25,빅매치,2014-11-27,2014.11.27,2014-11-20,2014.11.20,2389,2014-12-04,2014.12.04,458," 2,389"
26,터널,2016-08-10,2016.08.10,2016-08-03,2016.08.03,2370,2016-08-17,2016.08.17,1053," 2,369"
27,공조,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2331,2017-01-25,2017.01.25,1142," 2,331"
28,강철비,2017-12-14,2017.12.14,2017-12-07,2017.12.07,2300,2017-12-21,2017.12.21,1599," 2,300"
29,신의 한 수,2014-07-03,2014.07.03,2014-06-26,2014.06.26,2281,2014-07-10,2014.07.10,1415," 2,280"
30,검사외전,2016-02-03,2016.02.03,2016-01-27,2016.01.27,2266,2016-02-10,2016.02.10,1111," 2,265"
31,히말라야,2015-12-16,2015.12.16,2015-12-09,2015.12.09,2218,2015-12-23,2015.12.23,1456," 2,221"
32,조선마술사,2015-12-30,2015.12.30,2015-12-23,2015.12.23,2210,2016-01-06,2016.01.06,787," 2,209"
33,패션왕,2014-11-06,2014.11.06,2014-10-30,2014.10.30,2182,2014-11-13,2014.11.13,860," 2,184"
34,스물,2015-03-25,2015.03.25,2015-03-18,2015.03.18,2145,2015-04-01,2015.04.01,1110," 2,143"
35,위험한 상견례 2,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2109,2015-05-06,2015.05.06,920," 2,113"
36,형,2016-11-23,2016.11.23,2016-11-16,2016.11.16,2095,2016-11-30,2016.11.30,2094," 2,096"
37,신과함께-인과 연,2018-08-01,2018.08.01,2018-07-25,2018.07.25,2077,2018-08-08,2018.08.08,2019," 26,970"
38,꾼,2017-11-22,2017.11.22,2017-11-15,2017.11.15,2020,2017-11-29,2017.11.29,728," 2,021"
39,덕수리 5형제,2014-12-04,2014.12.04,2014-11-27,2014.11.27,2003,2014-12-11,2014.12.11,247," 2,004"
40,7년의 밤,2018-03-28,2018.03.28,2018-03-21,2018.03.21,1999,2018-04-04,2018.04.04,562," 1,998"
41,쎄시봉,2015-02-05,2015.02.05,2015-01-29,2015.01.29,1986,2015-02-12,2015.02.12,1135," 1,985"
42,오빠생각,2016-01-21,2016.01.21,2016-01-14,2016.01.14,1978,2016-01-28,2016.01.28,932," 1,978"
43,우는 남자,2014-06-04,2014.06.04,2014-05-28,2014.05.28,1975,2014-06-11,2014.06.11,542," 1,975"
44,독전,2018-05-22,2018.05.22,2018-05-15,2018.05.15,1974,2018-05-29,2018.05.29,1058," 1,975"
45,조작된 도시,2017-02-09,2017.02.09,2017-02-02,2017.02.02,1968,2017-02-16,2017.02.16,663," 1,969"
46,검은 사제들,2015-11-05,2015.11.05,2015-10-29,2015.10.29,1963,2015-11-12,2015.11.12,1606," 1,964"
47,은밀한 유혹,2015-06-04,2015.06.04,2015-05-28,2015.05.28,1954,2015-06-11,2015.06.11,328," 1,954"
48,밀정,2016-09-07,2016.09.07,2016-08-31,2016.08.31,1914,2016-09-14,2016.09.14,1210," 1,916"
49,지금 만나러 갑니다,2018-03-14,2018.03.14,2018-03-07,2018.03.07,1879,2018-03-21,2018.03.21,1111," 1,880"
50,협상,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1848,2018-09-26,2018.09.26,1478," 1,849"
51,곡성,2016-05-12,2016.05.12,2016-05-05,2016.05.05,1845,2016-05-19,2016.05.19,2093," 1,846"
52,순정,2016-02-24,2016.02.24,2016-02-17,2016.02.17,1841,2016-03-02,2016.03.02,630," 1,842"
53,특별시민,2017-04-26,2017.04.26,2017-04-19,2017.04.19,1824,2017-05-03,2017.05.03,987," 1,825"
54,해어화,2016-04-13,2016.04.13,2016-04-06,2016.04.06,1811,2016-04-20,2016.04.20,651," 1,813"
55,목숨 건 연애,2016-12-14,2016.12.14,2016-12-07,2016.12.07,1805,2016-12-21,2016.12.21,245," 1,805"
56,염력,2018-01-31,2018.01.31,2018-01-24,2018.01.24,1801,2018-02-07,2018.02.07,819," 8,111"
57,좋아해줘,2016-02-17,2016.02.17,2016-02-10,2016.02.10,1773,2016-02-24,2016.02.24,1056," 1,773"
58,베테랑,2015-08-05,2015.08.05,2015-07-29,2015.07.29,1763,2015-08-12,2015.08.12,1262," 1,763"
59,순수의 시대,2015-03-05,2015.03.05,2015-02-26,2015.02.26,1763,2015-03-12,2015.03.12,775," 1,762"
60,차이나타운,2015-04-29,2015.04.29,2015-04-22,2015.04.22,1740,2015-05-06,2015.05.06,618," 1,740"
61,브이아이피,2017-08-23,2017.08.23,2017-08-16,2017.08.16,1713,2017-08-30,2017.08.30,944," 1,713"
62,어느날,2017-04-05,2017.04.05,2017-03-29,2017.03.29,1711,2017-04-12,2017.04.12,1117," 1,710"
63,악의 연대기,2015-05-14,2015.05.14,2015-05-07,2015.05.07,1698,2015-05-21,2015.05.21,535," 1,697"
64,"로봇, 소리",2016-01-27,2016.01.27,2016-01-20,2016.01.20,1697,2016-02-03,2016.02.03,539," 1,697"
65,사냥,2016-06-29,2016.06.29,2016-06-22,2016.06.22,1684,2016-07-06,2016.07.06,696," 1,685"
66,무뢰한,2015-05-27,2015.05.27,2015-05-20,2015.05.20,1683,2015-06-03,2015.06.03,557," 1,682"
67,챔피언,2018-05-01,2018.05.01,2018-04-24,2018.04.24,1675,2018-05-08,2018.05.08,900," 1,673"
68,소수의견,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1662,2015-07-01,2015.07.01,506," 14,479"
69,국제시장,2014-12-17,2014.12.17,2014-12-10,2014.12.10,1659,2014-12-24,2014.12.24,943," 1,659"
70,내부자들,2015-11-19,2015.11.19,2015-11-12,2015.11.12,1658,2015-11-26,2015.11.26,835," 1,658"
71,대립군,2017-05-31,2017.05.31,2017-05-24,2017.05.24,1645,2017-06-07,2017.06.07,706," 1,646"
72,루시드 드림,2017-02-22,2017.02.22,2017-02-15,2017.02.15,1618,2017-03-01,2017.03.01,318," 1,618"
73,보안관,2017-05-03,2017.05.03,2017-04-26,2017.04.26,1582,2017-05-10,2017.05.10,982," 11,937"
74,비밀,2015-10-15,2015.10.15,2015-10-08,2015.10.08,1578,2015-10-22,2015.10.22,1031," 1,578"
75,올레,2016-08-25,2016.08.25,2016-08-18,2016.08.18,1574,2016-09-01,2016.09.01,387," 1,575"
76,창궐,2018-10-25,2018.10.25,2018-10-18,2018.10.18,1570,2018-11-01,2018.11.01,1104," 1,569"
77,공작,2018-08-08,2018.08.08,2018-08-01,2018.08.01,1567,2018-08-15,2018.08.15,1699," 1,566"
78,피끓는 청춘,2014-01-22,2014.01.22,2014-01-15,2014.01.15,1557,2014-01-29,2014.01.29,647," 1,557"
79,아빠는 딸,2017-04-12,2017.04.12,2017-04-05,2017.04.05,1546,2017-04-19,2017.04.19,637," 63,720"
80,"고산자, 대동여지도",2016-09-07,2016.09.07,2016-08-31,2016.08.31,1538,2016-09-14,2016.09.14,888," 1,538"
81,연애의 맛,2015-05-07,2015.05.07,2015-04-30,2015.04.30,1529,2015-05-14,2015.05.14,348," 1,529"
82,연평해전,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1506,2015-07-01,2015.07.01,2099," 1,506"
83,"협녀, 칼의 기억",2015-08-13,2015.08.13,2015-08-06,2015.08.06,1498,2015-08-20,2015.08.20,533," 1,498"
84,쓰리 썸머 나잇,2015-07-15,2015.07.15,2015-07-08,2015.07.08,1484,2015-07-22,2015.07.22,251," 1,484"
85,목격자,2018-08-15,2018.08.15,2018-08-08,2018.08.08,1472,2018-08-22,2018.08.22,1058," 1,472"
86,골든슬럼버,2018-02-14,2018.02.14,2018-02-07,2018.02.07,1460,2018-02-21,2018.02.21,806," 1,461"
87,리틀 포레스트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,1456,2018-03-07,2018.03.07,982," 1,455"
88,물괴,2018-09-12,2018.09.12,2018-09-05,2018.09.05,1435,2018-09-19,2018.09.19,936," 7,249"
89,시간이탈자,2016-04-13,2016.04.13,2016-04-06,2016.04.06,1426,2016-04-20,2016.04.20,585," 1,428"
90,아빠를 빌려드립니다,2014-11-20,2014.11.20,2014-11-13,2014.11.13,1426,2014-11-27,2014.11.27,165," 1,425"
91,퇴마: 무녀굴,2015-08-20,2015.08.20,2015-08-13,2015.08.13,1415,2015-08-27,2015.08.20,136," 1,415"
92,몬스터,2014-03-13,2014.03.13,2014-03-06,2014.03.06,1409,2014-03-20,2014.03.20,458," 1,409"
93,택시운전사,2017-08-02,2017.08.02,2017-07-26,2017.07.26,1399,2017-08-09,2017.08.09,1957," 1,399"
94,극비수사,2015-06-18,2015.06.18,2015-06-11,2015.06.11,1380,2015-06-25,2015.06.25,929," 1,380"
95,열정같은소리하고있네,2015-11-25,2015.11.25,2015-11-18,2015.11.18,1370,2015-12-02,2015.12.02,582," 1,370"
96,비정규직 특수요원,2017-03-16,2017.03.16,2017-03-09,2017.03.09,1361,2017-03-23,2017.03.23,317," 1,364"
97,나를 기억해,2018-04-19,2018.04.19,2018-04-12,2018.04.12,1355,2018-04-26,2018.04.26,738," 135,194"
98,해빙,2017-03-01,2017.03.01,2017-02-22,2017.02.22,1338,2017-03-08,2017.03.08,753," 1,342"
99,보통사람,2017-03-23,2017.03.23,2017-03-16,2017.03.16,1325,2017-03-30,2017.03.30,614," 1,326"
100,남과 여,2016-02-25,2016.02.25,2016-02-18,2016.02.18,1320,2016-03-03,2016.03.03,267," 1,320"
101,기억의 밤,2017-11-29,2017.11.29,2017-11-22,2017.11.22,1311,2017-12-06,2017.12.06,686," 1,311"
102,살인자의 기억법,2017-09-06,2017.09.06,2017-08-30,2017.08.30,1307,2017-09-13,2017.09.13,849," 1,304"
103,조선미녀삼총사,2014-01-29,2014.01.29,2014-01-22,2014.01.22,1307,2014-02-05,2014.02.05,410," 5,542"
104,간신,2015-05-21,2015.05.21,2015-05-14,2015.05.14,1305,2015-05-28,2015.05.28,833," 1,305"
105,"그래, 가족",2017-02-15,2017.02.15,2017-02-08,2017.02.08,1305,2017-02-22,2017.02.22,171," 1,305"
106,봉이 김선달,2016-07-06,2016.07.06,2016-06-29,2016.06.29,1297,2016-07-13,2016.07.13,571," 1,298"
107,트릭,2016-07-13,2016.07.13,2016-07-06,2016.07.06,1296,2016-07-20,2016.07.20,219," 8,360"
108,신과함께-죄와 벌,2017-12-20,2017.12.20,2017-12-13,2017.12.13,1293,2017-12-27,2017.12.27,2654," 1,294"
109,상류사회,2018-08-29,2018.08.29,2018-08-22,2018.08.22,1284,2018-09-05,2018.09.05,860," 1,282"
110,불한당: 나쁜 놈들의 세상,2017-05-17,2017.05.17,2017-05-10,2017.05.10,1265,2017-05-24,2017.05.24,1290," 1,266"
111,로마의 휴일,2017-08-30,2017.08.30,2017-08-23,2017.08.23,1264,2017-09-06,2017.09.06,153," 1,264"
112,나의 사랑 나의 신부,2014-10-08,2014.10.08,2014-10-01,2014.10.01,1263,2014-10-15,2014.10.15,482," 1,262"
113,서부전선,2015-09-24,2015.09.24,2015-09-17,2015.09.17,1252,2015-10-01,2015.10.01,795," 1,255"
