,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,12694,19,1,408.0,"1,128","47,328",500,"2,497","121,991",508,"2,451","67,165",480,"2,119","93,916",청소년 관람불가,2136,461,0,2
29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,14115,1,0,12.0,17,"3,869",518,"2,327","48,348",523,"2,361","53,277",515,"2,314","128,083",15세 관람가,39795,8414,0,3
30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,5908,0,0,4.0,12,"2,847",366,"1,150","39,397",381,"2,040","51,779",402,"2,132","55,598",청소년 관람불가,2734,323,0,2
31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,39560,0,0,7.0,11,"2,366",469,"2,235","67,380",489,"2,346","79,801",527,"2,638","118,950",청소년 관람불가,83,20,0,1
32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,23347,0,0,26.0,48,"9,266",159,653,"27,304",169,697,"29,139",192,804,"55,258",12세 관람가,0,0,1,4
33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,6683,2,0,7.0,13,"2,168",325,920,"24,638",416,"2,105","50,390",416,"2,127","68,836",15세 관람가,3750,364,1,2
34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,5580,1,0,19.0,37,"6,799",388,"1,963","60,234",384,"1,717","73,883",379,"1,535","91,330",12세 관람가,0,0,1,4
35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,12554,1,0,21.0,49,"8,522",536,"2,681","67,072",509,"2,510","87,072",474,"2,253","67,742",청소년 관람불가,7380,1585,0,3
36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,9783,0,0,336.0,"1,853","40,584",348,"1,784","38,128",354,"1,752","39,276",370,"1,595","56,050",청소년 관람불가,2153,268,1,2
37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,9345,10,0,474.0,"1,096","29,256",637,"2,838","37,015",654,"2,958","55,203",630,"2,903","83,246",15세 관람가,2953,761,0,3
38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,15447,10,0,27.0,36,"6,369",291,753,"13,936",385,"1,683","47,669",374,"1,644","30,549",청소년 관람불가,2252,305,0,2
39,레드카펫,20141023,316953,(주)프레인글로벌,멜로/로맨스,287654,0,0,24.0,50,"6,916",375,"1,673","26,180",385,"1,761","31,504",378,"1,739","44,259",15세 관람가,4017,905,0,3
40,덕수리 5형제,20141204,210777,롯데쇼핑㈜롯데엔터테인먼트,코미디,4223,0,0,13.0,32,"5,647",327,"1,342","18,744",339,"1,362","23,897",346,"1,257","41,273",15세 관람가,1647,604,0,4
41,아빠를 빌려드립니다,20141120,172652,"메가박스중앙(주)플러스엠,(주)레드로버",코미디,3861,0,0,91.0,120,"7,052",324,"1,140","13,283",322,"1,140","17,132",326,"1,008","34,844",12세 관람가,3445,442,0,3
42,가시,20140410,142170,(주)인벤트스톤,멜로/로맨스,30687,9,0,7.0,17,"3,618",339,"1,638","20,553",333,"1,658","20,513",345,"1,511","27,216",청소년 관람불가,2456,413,0,1
43,맨홀,20141008,133663,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),4750,0,0,11.0,17,"3,931",279,"1,462","26,180",285,"1,332","29,174",286,"1,261","13,350",청소년 관람불가,5589,1139,0,3
44,터널 3D,20140820,80989,(주)박수엔터테인먼트,공포(호러),5947,0,0,6.0,17,"3,571",264,916,"19,255",255,782,"9,033",258,742,"8,583",15세 관람가,2869,587,1,2
45,설계,20140918,45726,(주)팝엔터테인먼트,스릴러,92767,0,0,2.0,6,"1,635",252,932,"8,031",257,888,"7,214",249,677,"7,289",청소년 관람불가,613,251,0,3
46,백프로,20140403,37909,(주)마인스 엔터테인먼트,코미디,1985,0,0,6.0,8,"1,507",224,796,"5,451",227,780,"4,860",236,834,"9,552",15세 관람가,1123,138,0,1
47,베테랑,20150805,13414009,씨제이이앤엠(주),액션,93360,47,6,39.0,145,"25,421",957,"5,096","414,219",942,"5,009","404,907",984,"5,100","477,754",15세 관람가,9952,1339,1,2
48,암살,20150722,12705700,(주)쇼박스,액션,81348,40,4,37.0,64,"14,375","1,264","6,245","477,541","1,330","6,497","435,039","1,370","6,813","543,245",15세 관람가,20846,3541,1,2
49,내부자들,20151119,7055332,(주)쇼박스,범죄,35719,16,2,712.0,"1,814","113,784",907,"4,418","230,949",954,"4,638","283,518","1,072","5,334","489,503",청소년 관람불가,12198,5619,0,3
50,사도,20150916,6246849,(주)쇼박스,사극,42818,97,8,15.0,63,"14,455","1,123","6,108","250,237","1,190","6,447","223,381","1,203","6,661","281,969",12세 관람가,22459,2652,0,3
51,연평해전,20150624,6043784,(주)넥스트엔터테인먼트월드(NEW),드라마,17579,9,1,42.0,81,"9,223",667,"3,147","153,400",717,"3,296","170,284",850,"3,688","228,338",12세 관람가,28626,3205,0,2
52,검은 사제들,20151105,5442128,씨제이이앤엠(주),미스터리,19521,10,1,19.0,39,"7,584",834,"4,657","191,090",887,"4,988","272,689","1,064","5,983","581,845",15세 관람가,15918,2041,0,3
53,히말라야,20151216,5129409,씨제이이앤엠(주),드라마,23893,9,4,77.0,168,"26,776","1,009","4,923","203,173",978,"4,733","190,883","1,007","4,926","242,838",12세 관람가,13693,1976,0,4
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,(주)쇼박스,사극,7541,1,0,14.0,34,"8,202",740,"3,670","113,443",766,"3,741","110,284",769,"3,889","137,631",12세 관람가,7406,952,1,4
55,스물,20150325,3044811,(주)넥스트엔터테인먼트월드(NEW),코미디,23837,2,0,58.0,167,"18,501",786,"4,212","151,161",829,"4,500","114,294",831,"4,667","160,114",15세 관람가,27413,2121,0,1
56,극비수사,20150618,2860786,(주)쇼박스,드라마,10789,15,0,18.0,37,"6,663",722,"3,979","181,737",770,"4,278","205,567",894,"4,945","412,599",15세 관람가,9189,1140,0,2
57,탐정 : 더 비기닝,20150924,2625686,씨제이이앤엠(주),코미디,6376,2,0,49.0,200,"24,775",486,"2,200","50,533",494,"2,294","95,087",530,"2,379","182,738",15세 관람가,3319,638,0,3
58,악의 연대기,20150514,2192525,씨제이이앤엠(주),스릴러,10953,1,0,22.0,65,"12,711",693,"3,816","114,540",715,"4,002","168,889",776,"4,415","293,387",15세 관람가,5113,582,0,1
