,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉전뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스
0,말모이,2019-01-09,2019.01.09,2019-01-02,2019.01.02,558,2019-01-16,2019.01.16,828
1,스윙키즈,2018-12-19,2018.12.19,2018-12-12,2018.12.12,982,2018-12-26,2018.12.26,1209
2,마약왕,2018-12-19,2018.12.19,2018-12-12,2018.12.12,2022,2018-12-26,2018.12.26,1116
3,PMC:더 벙커,2018-12-26,2018.12.26,2018-12-19,2018.12.19,1214,2019-01-02,2019.01.02,1056
4,트와이스랜드,2018-12-07,2018.12.07,2018-11-30,2018.11.30,1051,2018-12-14,2018.12.14,166
5,리벤져,2018-12-06,2018.12.06,2018-11-29,2018.11.29,23,2018-12-13,2018.12.13,10
