,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,배급사크기
42,가시,20140410,142170,멜로/로맨스,청소년 관람불가,30687,9,0,0,0,102,172,0,1,7.0,17.0,small
43,맨홀,20141008,133663,공포(호러),청소년 관람불가,4750,0,0,12,3,30,159,0,3,11.0,17.0,big
44,터널 3D,20140820,80989,공포(호러),15세 관람가,5947,0,0,0,0,0,0,1,2,6.0,17.0,small
45,설계,20140918,45726,스릴러,청소년 관람불가,92767,0,0,0,0,32,28,0,3,2.0,6.0,small
46,백프로,20140403,37909,코미디,15세 관람가,1985,0,0,15,12,74,103,0,1,6.0,8.0,small
47,베테랑,20150805,13414009,액션,15세 관람가,93360,47,6,34,34,120,296,1,2,39.0,145.0,big
48,암살,20150722,12705700,액션,15세 관람가,81348,40,4,34,18,119,298,1,2,37.0,64.0,big
49,내부자들,20151119,7055332,범죄,청소년 관람불가,35719,16,2,35,15,84,263,0,3,712.0,1814.0,big
50,사도,20150916,6246849,사극,12세 관람가,42818,97,8,39,15,131,284,0,3,15.0,63.0,big
51,연평해전,20150624,6043784,드라마,12세 관람가,17579,9,1,4,6,86,294,0,2,42.0,81.0,big
52,검은 사제들,20151105,5442128,미스터리,15세 관람가,19521,10,1,19,14,105,270,0,3,19.0,39.0,big
53,히말라야,20151216,5129409,드라마,12세 관람가,23893,9,4,16,8,111,252,0,4,77.0,168.0,big
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,사극,12세 관람가,7541,1,0,7,14,66,169,1,4,14.0,34.0,big
55,스물,20150325,3044811,코미디,15세 관람가,23837,2,0,3,3,122,301,0,1,58.0,167.0,big
56,극비수사,20150618,2860786,드라마,15세 관람가,10789,15,0,21,17,75,231,0,2,18.0,37.0,big
57,탐정 : 더 비기닝,20150924,2625686,코미디,15세 관람가,6376,2,0,1,5,87,235,0,3,49.0,200.0,big
58,악의 연대기,20150514,2192525,스릴러,15세 관람가,10953,1,0,5,8,72,182,0,1,22.0,65.0,big
59,강남 1970,20150121,2192276,액션,청소년 관람불가,20733,15,0,5,0,89,203,1,4,12.0,48.0,big
60,뷰티 인사이드,20150820,2053435,판타지,12세 관람가,23636,0,0,30,27,48,111,1,2,81.0,237.0,big
61,오늘의 연애,20150114,1891993,멜로/로맨스,15세 관람가,17057,19,0,2,2,127,227,1,4,9.0,35.0,big
62,쎄시봉,20150205,1715370,멜로/로맨스,15세 관람가,14729,25,0,23,14,96,226,1,4,25.0,66.0,big
63,더 폰,20151022,1593694,스릴러,15세 관람가,6409,2,0,8,8,51,160,0,3,37.0,88.0,big
64,대호,20151216,1584168,사극,12세 관람가,15321,11,0,20,2,106,328,0,4,27.0,92.0,big
65,차이나타운,20150429,1472106,범죄,청소년 관람불가,23441,6,0,15,5,80,260,0,1,22.0,39.0,mid
66,장수상회,20150409,1165780,멜로/로맨스,12세 관람가,9525,30,2,8,6,105,238,0,1,38.0,116.0,big
67,성난 변호사,20151008,1128288,범죄,15세 관람가,5356,2,0,0,2,46,118,0,3,65.0,123.0,big
68,간신,20150521,1110246,사극,청소년 관람불가,14926,8,0,4,7,113,262,0,1,10.0,40.0,big
69,그놈이다,20151028,1046015,스릴러,15세 관람가,14737,0,0,7,10,68,182,0,3,17.0,39.0,mid
70,미쓰 와이프,20150813,988451,코미디,15세 관람가,9913,0,0,6,1,67,250,1,2,32.0,101.0,mid
71,허삼관,20150114,955679,드라마,12세 관람가,11846,18,0,27,10,97,226,1,4,37.0,53.0,big
72,살인의뢰,20150312,855980,범죄,청소년 관람불가,4746,0,0,6,8,62,177,0,1,9.0,25.0,small
73,손님,20150709,828025,판타지,15세 관람가,73856,0,0,14,8,120,228,1,2,18.0,40.0,big
74,열정같은소리하고있네,20151125,654102,드라마,15세 관람가,6445,3,0,22,4,52,94,0,3,22.0,53.0,big
75,특종: 량첸살인기,20151022,616481,스릴러,15세 관람가,5544,3,0,1,1,67,170,0,3,34.0,120.0,big
76,서부전선,20150924,609063,전쟁,12세 관람가,6398,0,0,25,6,110,169,0,3,10.0,18.0,big
77,헬머니,20150305,522929,코미디,청소년 관람불가,3301,0,0,3,5,55,59,0,1,12.0,18.0,big
78,위험한 상견례 2,20150429,472693,멜로/로맨스,15세 관람가,7415,0,0,0,4,57,53,0,1,13.0,28.0,big
79,순수의 시대,20150305,469891,사극,청소년 관람불가,10096,2,0,5,2,85,138,0,1,23.0,51.0,big
80,오피스,20150903,441208,스릴러,15세 관람가,214023,3,0,2,6,91,189,0,3,14.0,70.0,mid
81,"협녀, 칼의 기억",20150813,431310,사극,15세 관람가,10491,7,0,22,6,58,133,1,2,11.0,28.0,big
82,무뢰한,20150527,414641,멜로/로맨스,청소년 관람불가,14066,8,0,0,5,67,237,0,1,21.0,46.0,mid
83,내 심장을 쏴라,20150128,387409,드라마,15세 관람가,6833,0,0,4,2,79,111,1,4,8.0,21.0,mid
84,소수의견,20150624,383582,드라마,15세 관람가,14201,7,0,8,11,127,268,0,2,31.0,71.0,small
85,경성학교: 사라진 소녀들,20150618,356415,미스터리,15세 관람가,7048,13,3,25,7,120,228,0,2,6.0,11.0,big
86,치외법권,20150827,346483,액션,15세 관람가,6302,0,0,3,0,68,88,1,2,8.0,27.0,small
87,극적인 하룻밤,20151203,320884,멜로/로맨스,청소년 관람불가,7220,0,0,1,5,30,27,0,4,2.0,7.0,mid
88,도리화가,20151125,317505,사극,12세 관람가,11834,0,0,6,4,113,178,0,3,20.0,33.0,big
89,함정,20150910,257990,스릴러,청소년 관람불가,16927,0,0,1,5,62,87,0,3,13.0,43.0,small
90,조선마술사,20151230,224657,드라마,12세 관람가,10861,11,0,0,0,111,174,0,4,9.0,16.0,big
91,연애의 맛,20150507,214539,멜로/로맨스,청소년 관람불가,11278,0,0,0,0,23,237,0,1,5.0,11.0,small
92,내부자들: 디 오리지널,20151231,160148,범죄,청소년 관람불가,3497,16,2,35,15,117,252,0,4,3.0,7.0,big
93,은밀한 유혹,20150604,145547,멜로/로맨스,15세 관람가,6834,0,0,5,3,68,78,0,2,12.0,14.0,big
94,나의 절친 악당들,20150625,133553,범죄,청소년 관람불가,5834,25,0,4,1,36,63,0,2,17.0,27.0,small
95,퇴마: 무녀굴,20150820,120802,공포(호러),15세 관람가,4891,5,0,5,3,35,46,1,2,8.0,20.0,small
96,돌연변이,20151022,100523,드라마,12세 관람가,14361,0,0,11,2,76,107,0,3,8.0,26.0,small
97,쓰리 썸머 나잇,20150715,77621,코미디,청소년 관람불가,4146,8,0,4,8,67,11,1,2,8.0,16.0,mid
98,미안해 사랑해 고마워,20151028,51207,드라마,15세 관람가,3672,1,0,5,1,22,29,0,3,9.0,14.0,big
99,비밀,20151015,50196,미스터리,15세 관람가,337082,0,0,1,7,98,151,0,3,3.0,12.0,mid
100,약장수,20150423,44214,드라마,15세 관람가,3157,1,0,4,10,20,36,0,1,6.0,14.0,small
101,타투,20151210,12102,스릴러,청소년 관람불가,5260,1,0,0,1,9,8,0,4,1.0,2.0,small
102,검은손,20150416,11650,공포(호러),청소년 관람불가,10926,0,0,0,0,14,8,0,1,1.0,1.0,small
103,부산행,20160720,11565479,액션,15세 관람가,38862,21,2,22,22,135,311,1,2,431.0,2698.0,big
104,검사외전,20160203,9707581,범죄,15세 관람가,17261,0,1,21,14,117,276,1,4,20.0,48.0,big
105,밀정,20160907,7500420,액션,15세 관람가,22277,37,4,30,13,119,289,0,3,24.0,93.0,small
106,터널,20160810,7120508,드라마,12세 관람가,40254,18,0,33,25,132,316,1,2,24.0,80.0,big
107,인천상륙작전,20160727,7049643,전쟁,12세 관람가,22250,8,2,16,9,118,307,1,2,32.0,76.0,big
108,럭키,20161013,6975290,코미디,15세 관람가,17297,1,1,11,13,107,254,0,3,345.0,1388.0,big
109,곡성,20160512,6879908,미스터리,15세 관람가,27560,52,2,28,14,133,355,0,1,895.0,2176.0,small
110,덕혜옹주,20160803,5599229,사극,12세 관람가,17599,25,1,26,6,130,273,1,2,24.0,90.0,big
111,마스터,20161221,4935320,액션,15세 관람가,53757,3,2,42,34,117,283,0,4,35.0,129.0,big
112,판도라,20161207,4313864,드라마,12세 관람가,15983,4,0,10,10,125,261,0,4,28.0,78.0,big
113,아가씨,20160601,4287839,스릴러,청소년 관람불가,47445,91,0,31,15,129,348,0,2,30.0,55.0,big
114,귀향,20160224,3587173,드라마,15세 관람가,15354,7,0,0,2,135,329,1,4,4.0,15.0,small
115,형,20161123,2979659,코미디,12세 관람가,163306,2,0,3,4,131,301,0,3,46.0,99.0,big
116,아수라,20160928,2594028,범죄,청소년 관람불가,23131,15,0,25,18,132,287,0,3,44.0,122.0,big
117,굿바이 싱글,20160629,2108273,코미디,15세 관람가,8531,2,0,14,8,37,183,0,2,56.0,153.0,big
118,봉이 김선달,20160706,2051277,사극,12세 관람가,6222,3,0,6,7,60,179,1,2,15.0,66.0,big
119,탐정 홍길동: 사라진 마을,20160504,1430885,드라마,15세 관람가,4705,6,1,5,1,60,187,0,1,24.0,53.0,big
120,특별수사: 사형수의 편지,20160616,1241899,범죄,15세 관람가,5017,0,0,9,13,122,241,0,2,35.0,186.0,big
121,시간이탈자,20160413,1202384,스릴러,15세 관람가,7319,8,0,6,4,73,168,0,1,37.0,70.0,big
122,동주,20160217,1172641,드라마,12세 관람가,20580,97,8,7,4,128,281,1,4,7.0,24.0,mid
123,미씽: 사라진 여자,20161130,1153109,미스터리,15세 관람가,7435,4,0,6,2,102,295,0,3,17.0,42.0,mid
124,"당신, 거기 있어줄래요",20161214,1124815,판타지,12세 관람가,6878,2,0,17,8,95,185,0,4,43.0,100.0,big
125,오빠생각,20160121,1069864,드라마,12세 관람가,39124,3,2,4,3,93,223,1,4,83.0,167.0,big
126,"날, 보러와요",20160407,1063442,미스터리,청소년 관람불가,10263,0,0,0,4,55,123,0,1,5.0,18.0,mid
127,"고산자, 대동여지도",20160907,974262,사극,전체 관람가,6543,44,1,3,1,76,86,0,3,39.0,92.0,big
128,좋아해줘,20160217,848148,멜로/로맨스,12세 관람가,12343,1,0,8,6,71,223,1,4,19.0,54.0,big
129,스플릿,20161109,758195,드라마,15세 관람가,4978,0,0,5,5,76,130,0,3,47.0,103.0,small
130,국가대표 2,20160810,709929,드라마,12세 관람가,34983,0,0,7,14,70,119,1,2,29.0,173.0,mid
131,그날의 분위기,20160114,653287,멜로/로맨스,15세 관람가,17341,0,0,2,2,49,83,1,4,10.0,33.0,big
132,사냥,20160629,645922,액션,15세 관람가,50370,0,0,6,6,95,202,0,2,10.0,20.0,big
133,널 기다리며,20160310,635235,스릴러,청소년 관람불가,4296,1,0,5,8,50,264,0,1,8.0,16.0,big
134,가려진 시간,20161116,510878,드라마,12세 관람가,9517,3,0,5,8,78,231,0,3,215.0,362.0,big
135,해어화,20160413,485695,사극,15세 관람가,9053,7,0,11,9,91,175,0,1,19.0,42.0,big
136,계춘할망,20160519,482516,가족,15세 관람가,6959,1,0,18,0,49,138,0,1,25.0,102.0,small
137,"로봇, 소리",20160127,476665,드라마,12세 관람가,12118,4,0,8,12,65,171,1,4,147.0,548.0,big
138,위대한 소원,20160421,308398,코미디,15세 관람가,3418,0,0,2,2,48,40,0,1,445.0,1433.0,big
139,혼숨,20161026,288016,공포(호러),15세 관람가,584,0,0,2,2,32,68,0,3,3.0,7.0,small
140,비밀은 없다,20160623,250829,스릴러,청소년 관람불가,46745,16,0,21,5,58,258,0,2,9.0,22.0,big
141,순정,20160224,240484,드라마,12세 관람가,43766,0,0,2,9,130,254,1,4,22.0,124.0,mid
142,남과 여,20160225,203775,멜로/로맨스,청소년 관람불가,8609,8,0,1,2,82,215,1,4,14.0,29.0,big
143,대배우,20160330,169984,코미디,12세 관람가,8264,1,0,18,25,53,79,0,1,11.0,18.0,small
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,97804,공포(호러),15세 관람가,2236,0,0,5,1,28,26,0,2,3.0,9.0,big
145,걷기왕,20161020,95542,드라마,12세 관람가,3451,1,0,5,3,87,211,0,3,366.0,905.0,mid
146,엽기적인 그녀 2,20160512,77124,멜로/로맨스,15세 관람가,9436,3,0,3,2,25,20,0,1,4.0,17.0,mid
147,번개맨,20160211,69363,판타지,전체 관람가,1231,9,0,0,0,44,54,1,4,5.0,16.0,mid
148,올레,20160825,66883,드라마,15세 관람가,29095,1,0,9,2,88,101,1,2,7.0,19.0,small
149,두 남자,20161130,60365,범죄,청소년 관람불가,54356,0,0,1,5,113,176,0,3,11.0,23.0,mid
150,목숨 건 연애,20161214,47805,멜로/로맨스,15세 관람가,6511,0,0,9,1,47,28,0,4,7.0,15.0,small
151,트릭,20160713,38262,스릴러,15세 관람가,8342,0,0,0,2,72,57,1,2,7.0,13.0,small
152,대결,20160922,32278,액션,15세 관람가,167636,0,0,1,0,57,61,0,3,4.0,8.0,small
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,27070,전쟁,15세 관람가,349,8,2,16,9,84,78,0,3,3.0,4.0,big
154,히야,20160310,21687,드라마,12세 관람가,1749,1,0,3,4,101,204,0,1,5.0,7.0,small
155,무수단,20160303,15882,미스터리,15세 관람가,3330,0,0,1,0,30,36,0,1,5.0,8.0,small
156,택시운전사,20170802,12186327,드라마,15세 관람가,30684,45,2,39,25,136,283,1,2,83.0,477.0,big
157,신과함께-죄와 벌,20171220,8539495,판타지,12세 관람가,18519,38,8,28,26,113,333,0,4,34.0,62.0,big
158,공조,20170118,7817618,액션,15세 관람가,33457,3,2,9,13,123,249,1,4,24.0,92.0,big
159,범죄도시,20171003,6879841,범죄,청소년 관람불가,35216,6,1,2,6,43,228,0,3,35.0,156.0,mid
160,군함도,20170726,6592151,액션,15세 관람가,27214,47,6,32,16,127,331,1,2,34.0,98.0,big
161,청년경찰,20170809,5653270,액션,15세 관람가,24506,3,1,5,2,104,279,1,2,26.0,192.0,big
162,더 킹,20170118,5317693,범죄,15세 관람가,26041,30,2,18,15,96,238,1,4,26.0,72.0,big
163,꾼,20171122,4018035,범죄,15세 관람가,14127,0,0,1,9,101,219,0,3,49.0,189.0,big
164,강철비,20171214,4014293,액션,15세 관람가,11193,28,1,8,7,91,228,0,4,41.0,99.0,big
165,남한산성,20171003,3849087,사극,15세 관람가,15819,27,2,49,17,138,241,0,3,40.0,155.0,big
166,아이 캔 스피크,20170921,3279296,코미디,12세 관람가,9984,25,0,15,1,74,212,0,3,37.0,162.0,big
167,프리즌,20170323,2931897,범죄,청소년 관람불가,9416,3,0,5,2,120,194,0,1,871.0,2563.0,big
168,살인자의 기억법,20170906,2658589,범죄,15세 관람가,9052,10,0,30,21,142,235,0,3,7.0,17.0,big
169,보안관,20170503,2588628,범죄,15세 관람가,11809,0,0,12,8,107,225,0,1,31.0,123.0,big
170,조작된 도시,20170209,2515501,범죄,15세 관람가,12437,7,1,5,3,80,235,1,4,34.0,98.0,big
171,재심,20170215,2421197,드라마,15세 관람가,12295,0,0,10,6,87,253,1,4,15.0,63.0,small
172,박열,20170628,2359206,드라마,12세 관람가,13843,97,8,0,2,127,276,0,2,29.0,119.0,mid
173,1987,20171227,1942077,드라마,15세 관람가,60507,31,1,40,22,135,273,0,4,45.0,170.0,big
174,노무현입니다,20170525,1855149,다큐멘터리,12세 관람가,33807,0,0,0,0,133,275,0,1,25.0,50.0,mid
175,임금님의 사건수첩,20170426,1635003,코미디,12세 관람가,4539,1,0,4,0,49,131,0,1,25.0,94.0,big
176,부라더,20171102,1492903,코미디,12세 관람가,5655,0,0,1,9,56,152,0,3,30.0,130.0,mid
177,기억의 밤,20171129,1386611,미스터리,15세 관람가,47648,2,0,2,3,98,205,0,3,23.0,42.0,mid
178,브이아이피,20170823,1373316,범죄,청소년 관람불가,6476,11,0,10,3,82,216,1,2,28.0,39.0,small
179,특별시민,20170426,1362634,드라마,15세 관람가,53910,0,0,47,13,85,248,0,1,21.0,57.0,big
180,장산범,20170817,1306438,미스터리,15세 관람가,4351,2,1,4,4,111,230,1,2,19.0,49.0,big
181,악녀,20170608,1208081,액션,청소년 관람불가,20383,10,0,3,2,99,240,0,2,9.0,18.0,big
182,해빙,20170301,1204600,스릴러,15세 관람가,6742,2,0,6,8,92,221,0,1,5.0,9.0,big
183,하루,20170615,1129609,스릴러,15세 관람가,371130,1,0,3,4,131,263,0,2,8.0,36.0,mid
184,불한당: 나쁜 놈들의 세상,20170517,939535,범죄,청소년 관람불가,7822,10,0,24,6,130,270,0,1,41.0,206.0,big
185,대립군,20170531,837500,드라마,15세 관람가,7200,18,1,13,9,128,221,0,1,28.0,62.0,small
186,아빠는 딸,20170412,647305,코미디,12세 관람가,53393,0,0,0,3,53,52,0,1,10.0,33.0,mid
187,침묵,20171102,494097,드라마,15세 관람가,37609,19,0,24,6,110,220,0,3,18.0,43.0,big
188,리얼,20170628,470105,액션,청소년 관람불가,183843,0,0,5,10,113,293,0,2,7.0,18.0,big
189,반드시 잡는다,20171129,446780,스릴러,15세 관람가,3555,1,0,6,9,32,40,0,3,14.0,31.0,big
190,원라인,20170329,435048,범죄,15세 관람가,6101,1,0,5,5,102,189,0,1,23.0,44.0,big
191,보통사람,20170323,383336,드라마,15세 관람가,22056,1,0,1,2,77,130,0,1,16.0,40.0,small
192,대장 김창수,20171019,381483,드라마,12세 관람가,4814,0,0,6,5,84,130,0,3,43.0,95.0,mid
193,석조저택 살인사건,20170509,353517,스릴러,15세 관람가,3955,4,0,8,7,29,74,0,1,10.0,26.0,mid
194,싱글라이더,20170222,351276,드라마,15세 관람가,7476,0,0,22,7,82,176,1,4,25.0,43.0,small
195,7호실,20171115,347790,코미디,15세 관람가,4710,5,0,4,3,108,265,0,3,29.0,49.0,big
196,희생부활자,20171012,323628,미스터리,15세 관람가,3057,15,0,8,4,51,132,0,3,9.0,9.0,big
197,미옥,20171109,238587,범죄,청소년 관람불가,3624,1,0,13,3,71,223,0,3,5.0,13.0,mid
198,어느날,20170405,234829,멜로/로맨스,15세 관람가,167548,9,0,7,3,91,175,0,1,12.0,28.0,small
199,채비,20171109,177428,드라마,12세 관람가,8711,0,0,5,1,37,47,0,3,6.0,25.0,small
200,비정규직 특수요원,20170316,149719,코미디,15세 관람가,6094,0,0,0,0,45,34,0,1,11.0,17.0,small
201,로마의 휴일,20170830,134827,코미디,15세 관람가,6480,0,0,0,3,45,34,1,2,12.0,45.0,mid
202,시간위의 집,20170405,128975,미스터리,15세 관람가,3039,0,0,5,7,79,99,0,1,35.0,77.0,mid
203,루시드 드림,20170222,102170,SF,15세 관람가,4999,1,0,22,5,55,66,1,4,14.0,39.0,big
204,"그래, 가족",20170215,46623,코미디,12세 관람가,12899,0,0,3,6,67,53,1,4,10.0,11.0,small
205,역모-반란의 시대,20171123,30116,사극,15세 관람가,2810,0,0,1,6,46,63,0,3,5.0,14.0,small
206,이웃집 스타,20170921,10854,코미디,12세 관람가,6325,0,0,0,1,27,17,0,3,5.0,8.0,small
207,구세주: 리턴즈,20170914,6151,코미디,15세 관람가,1071,0,0,0,0,13,3,0,3,2.0,4.0,small
208,신과함께-인과 연,20180801,12274353,판타지,12세 관람가,15760,38,8,25,24,136,257,1,2,42.0,99.0,small
209,안시성,20180919,5438066,사극,12세 관람가,15363,2,2,3,7,134,271,0,3,31.0,123.0,big
210,완벽한 타인,20181031,5194618,드라마,15세 관람가,12795,0,2,19,21,83,233,0,3,136.0,590.0,small
211,독전,20180522,5063620,범죄,15세 관람가,13460,13,3,12,12,138,247,0,1,12.0,36.0,big
212,공작,20180808,4974463,드라마,12세 관람가,39433,24,0,24,18,128,248,1,2,27.0,62.0,big
213,암수살인,20181003,3789222,범죄,15세 관람가,8764,0,0,15,11,107,224,0,3,25.0,111.0,big
214,마녀,20180627,3189091,미스터리,15세 관람가,41221,11,0,10,4,107,241,0,2,10.0,32.0,small
215,탐정: 리턴즈,20180613,3152873,코미디,15세 관람가,5997,4,0,1,5,62,194,0,2,25.0,94.0,big
216,너의 결혼식,20180822,2820685,멜로/로맨스,12세 관람가,11237,0,0,11,2,91,223,1,2,21.0,145.0,mid
217,곤지암,20180328,2675575,공포(호러),15세 관람가,6632,5,0,0,1,112,272,0,1,153.0,623.0,big
218,지금 만나러 갑니다,20180314,2602273,멜로/로맨스,12세 관람가,9915,0,0,24,4,98,182,0,1,35.0,130.0,big
219,목격자,20180815,2524634,스릴러,15세 관람가,26130,0,0,3,9,115,245,1,2,37.0,122.0,big
220,조선명탐정: 흡혈괴마의 비밀,20180208,2444145,사극,12세 관람가,5073,1,0,7,14,90,171,1,4,72.0,202.0,big
221,국가부도의 날,20181128,2222059,드라마,12세 관람가,7876,0,0,19,9,129,229,0,3,22.0,111.0,big
222,명당,20180919,2086418,사극,12세 관람가,14134,0,0,20,14,145,196,0,3,21.0,64.0,mid
223,협상,20180919,1967149,범죄,15세 관람가,50670,0,0,19,4,105,222,0,3,50.0,125.0,big
224,창궐,20181025,1599290,사극,15세 관람가,11646,3,2,4,2,125,249,0,3,20.0,61.0,big
225,성난황소,20181122,1540004,범죄,15세 관람가,5825,0,0,1,5,56,142,0,3,311.0,1151.0,big
226,리틀 포레스트,20180228,1505997,드라마,전체 관람가,11447,15,0,24,5,105,303,1,4,35.0,84.0,mid
227,골든슬럼버,20180214,1387508,범죄,15세 관람가,6084,0,0,18,19,112,218,1,4,23.0,48.0,big
228,궁합,20180228,1340117,코미디,12세 관람가,23869,0,0,5,3,116,249,1,4,7.0,20.0,big
229,사라진 밤,20180307,1315726,스릴러,15세 관람가,10544,0,0,1,4,110,173,0,1,33.0,52.0,mid
230,바람 바람 바람,20180405,1194229,코미디,청소년 관람불가,6165,2,0,4,5,124,181,0,1,38.0,101.0,big
231,챔피언,20180501,1128774,드라마,12세 관람가,29365,1,0,1,6,76,163,0,1,11.0,14.0,small
232,염력,20180131,990111,드라마,15세 관람가,7902,18,2,11,7,126,243,1,4,8.0,31.0,big
233,인랑,20180725,898945,SF,15세 관람가,10195,37,4,13,15,136,244,1,2,69.0,96.0,small
234,레슬러,20180509,771141,드라마,15세 관람가,8150,0,0,7,10,97,165,0,1,156.0,595.0,big
235,상류사회,20180829,768249,드라마,청소년 관람불가,11005,0,0,7,3,80,178,1,2,6.0,15.0,small
236,물괴,20180912,723951,액션,15세 관람가,7215,2,0,5,5,125,254,0,3,27.0,52.0,small
237,미쓰백,20181011,722004,드라마,15세 관람가,7084,1,0,4,2,114,275,0,3,8.0,59.0,mid
238,버닝,20180517,528372,미스터리,청소년 관람불가,14642,69,0,4,3,122,272,0,1,9.0,14.0,mid
239,7년의 밤,20180328,528007,스릴러,15세 관람가,13150,14,1,10,5,94,192,0,1,19.0,52.0,big
