,name,moviename,peopleCd,수상횟수
165,천호진,백프로,10071900,0
166,이경영,백프로,10054755,11
167,박상면,백프로,10028686,0
168,이원종,백프로,10056895,1
169,황정민,베테랑,10090290,16
170,유아인,베테랑,10053802,4
171,유해진,베테랑,10054128,7
172,오달수,베테랑,10050151,7
173,전지현,암살,10061467,6
174,이정재,암살,10057315,10
175,하정우,암살,10087253,18
176,이병헌,내부자들,10055626,22
177,조승우,내부자들,10066380,8
178,백윤식,내부자들,10030351,5
179,송강호,사도,10037018,29
180,유아인,사도,10053802,4
181,문근영,사도,10026674,6
182,김무열,연평해전,10004099,0
183,진구,연평해전,10070417,3
184,이현우,연평해전,20111526,1
185,김윤석,검은 사제들,10005276,14
186,강동원,검은 사제들,10000558,5
187,황정민,히말라야,10090290,16
188,정우,히말라야,10062023,0
189,김명민,조선명탐정 : 사라진 놉의 딸,10004060,4
190,오달수,조선명탐정 : 사라진 놉의 딸,10050151,7
191,이연희,조선명탐정 : 사라진 놉의 딸,10056633,2
192,김우빈,스물,20170901,1
193,준호,스물,20067653,0
194,강하늘,스물,20111688,2
195,김윤석,극비수사,10005276,14
196,유해진,극비수사,10054128,7
197,권상우,탐정 : 더 비기닝,10002387,4
198,성동일,탐정 : 더 비기닝,10035832,1
199,손현주,악의 연대기,20111125,1
200,마동석,악의 연대기,10021341,1
201,최다니엘,악의 연대기,20111535,0
202,박서준,악의 연대기,20211007,3
203,이민호,강남 1970,20185376,2
204,김래원,강남 1970,10004028,3
205,정진영,강남 1970,20160139,0
206,한효주,뷰티 인사이드,10087820,4
207,김대명,뷰티 인사이드,20200886,0
208,도지한,뷰티 인사이드,20128252,0
209,배성우,뷰티 인사이드,20136191,1
210,박신혜,뷰티 인사이드,10028892,1
211,이범수,뷰티 인사이드,10055581,6
212,박서준,뷰티 인사이드,20211007,3
213,김상호,뷰티 인사이드,10004448,1
214,천우희,뷰티 인사이드,20133966,7
215,우에노 주리,뷰티 인사이드,10052174,0
216,이재준,뷰티 인사이드,20187986,0
217,김민재,뷰티 인사이드,10004210,0
218,이현우,뷰티 인사이드,20111526,1
219,조달환,뷰티 인사이드,10065609,0
220,이진욱,뷰티 인사이드,10057628,0
221,홍다미,뷰티 인사이드,10089433,0
222,서강준,뷰티 인사이드,20211008,0
223,김희원,뷰티 인사이드,10006545,2
224,이동욱,뷰티 인사이드,20111341,0
225,고아성,뷰티 인사이드,10001670,2
226,김주혁,뷰티 인사이드,10005749,2
227,유연석,뷰티 인사이드,20111976,0
228,이승기,오늘의 연애,10056227,0
229,문채원,오늘의 연애,10026825,2
230,이서진,오늘의 연애,20111474,0
231,정준영,오늘의 연애,0,0
232,정우,쎄시봉,10062023,0
233,김윤석,쎄시봉,10005276,14
234,한효주,쎄시봉,10087820,4
235,김희애,쎄시봉,10006537,1
236,진구,쎄시봉,10070417,3
237,장현성,쎄시봉,10060624,0
238,강하늘,쎄시봉,20111688,2
239,조복래,쎄시봉,20203246,0
240,손현주,더 폰,20111125,1
241,엄지원,더 폰,10047357,6
