,0
35,승무원 너무 극한 직업이라서 비행기 타면 정말 뭐 하나 달라기도 괜히 죄송스럽고...
36,"공명님 조아,,,공명님 나온다고해서 극한직업 보고왔는데 공명님 부분에서 빵빵 터질때면 괜히 기분이 넘 좋았다,,특히 마지막부분ㅋㅋㅋㅋㅋ pic.twitter.com/434eUodA4P"
37,가족이랑 극한직업 보러 왔어요 평일이라 그런지 사람 진짜 없다 pic.twitter.com/9dZLHHMxGO
38,"나중에 영화보려는데 뭘 볼까..
극한직업 볼까"
39,극한직업 되게 웃긴 거 같아서 보고 싶었는데 볼까? 생각들때마다 예전에 류승룡 아저씨가 여배우가 촬영장에 가져와야할 것들? 하니까 애교? 했던거 생각나서 보기 싫어짐
40,"[팝업무비]'극한직업', 100만 눈앞…'완벽한 타인' 기록까지 깨나
http://pop.heraldcorp.com/view.php?ud=201901250919237895259_1 …

#영화 #극한직업 #코미디 #완벽한타인 #내안의그놈 #박스오피스"
41,"어젯 밤에
극한직업 영화봤는데
현재 박스오피스1위 
*코미디*영화인데요
추천합니당^^~~
웃음 포인트들이 많이있어용ㅎㅎ

제가 주1회정도는 영화를보는데
가장최근 작품들중에선
창궐 도 메시지도괜찮았고 
극한직업 은 웃으러가보세요^^~~"
42,"극한직업 웃겨서 엄청 웃었는데 
 살짝 아쉬운 점은 큰 줄거리가 늘어져서
 좀 지루했다는 것"
43,"원고 답변서 읽을때는 피고가 잘못했네~ 피고 답변서 읽을때는 원고가 잘못했네~ 이러고있음. 그러니까 이세상은 양쪽 의견을 다 들어봐야하는것,,, 판사 극한직업이다 나는 결정장애라 못해,,,"
44,"영화 ‘극한직업’, 2일 연속 박스오피스 1위..2위 ‘말모이’-3위 ‘내안의 그놈’   / 브레이크뉴스  "
45,어제 극한직업 영화 봤는데..재밌어요 유쾌하고 그냥 진짜 코미디라 2시간 내내 웃었던
46,극한직업 재밌어용??
47,"(극한직업) 을 보았습니다. 감독의 유머코드가 있어서인지 영화 보며 빵빵 터졌네요~~

탄탄한 시나리오와 배우의 열연, 감독의 연출력이 영화를 재밌게 만드네요!!"
48,"[움짤] 아이즈원, 브이앱* 극한직업 어린이집 교사 체험 째욘이.. http://bit.ly/2T9b6mx "
49,"""양파도 썰고, 액션도 배우고""…'극한직업' 배우들의 특별한 이중고 #SBS연예뉴스 #스브스타 #SBSStar #극한직업  "
50,"극한직업 류승룡, ""마약반 반장·치킨집 사장… 코믹장르 촬영 내내 즐거웠다""
http://m.dt.co.kr/contents.html?article_no=2019012502102019040002 …"
51,극한직업 또 보고싶다ㅠㅠ..... 뭔가 보면 기분이 좋아지는 영화같어 ..... 유쾌해.....
52,양 부모님이 경상북도 사람인데다 일가친척 모두 경상북도에 사는 보수의 심장에 사는 다자녀 가정의 장녀 (모두가 슬픈눈으로 바라보는 극한직업
53,극한직업 재밌을려나 
54,"'극한직업', 개봉 이틀만 72만 돌파+1위..오늘 100만 돌파하나[美친box] http://tinyurl.com/y7vew5nh  #랭킹뉴스"
55,디자이너가 그나마 급여 쎈(ㅋㅋㅌㅋㅋ) 장래희망이라 이걸로 타협함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 극한 직업군 선호....
56,"""너무 웃겨서 눈물 찔끔한다"" 역대급 후기로 이틀 연속 박스오피스 1위 차지한 영화 '극한직업' http://tinyurl.com/y7x3sup4  #랭킹뉴스"
57,다음주 수요일 영화 볼 생각임. 극한직업 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
58,극한직업 보러 옴
59,극한직업 보러 CGV 왔당....
60,"극한직업 영화보고 늨긴점
수원에 통닭머그러오세요"
61,와 극한직업 존잼 끝에서 너무 웃겨서 나오면서 엄마랑 계속 웃음 ㅠ큐ㅠㅠㅠㅠㅜ
62,"테드 창. 테드 창 새끼야, 창식이 말고 테드 창.

극한직업 (2019) | 테드 창 "
63,"190126 도다제
형아 영화 <극한직업> 홍보도 야무지게 하는 도영이ㅋㅋㅋ 지금은 바빠서 못보러가지만 서울콘 끝나자마자 가서 볼거라고 예매권도 준다고 같이 보러가고싶으면 충분히 말해달래 ㄱㅇㅇ pic.twitter.com/wfVKozazEw"
64,진짜 극한직업 꼭보세요 개웃겨 ㅋ ㅋ ㅋ ㅋ
65,"“극한직업”!!..
오글거리는 러브라인!..
갑분싸 눈물 쥐어짜기 감동코드!..
따위는 존재하지 않고! 처음부터 끝까지 찰진 대사와 상큼한 연기로 웃겨준다!!!..
500만 이상 무조건 본다.."
66,영화 '극한직업' 스틸. 
67,"이것은 킹덤 홍보인가 극한직업 홍보인가
연예가중계 인터뷰 #킹덤 

http://cfile6.uf.tistory.com/image/9949EF405C4C5C79226807 …"
68,와 극한직업 상영관 독점 개에바다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 스크롤을 넘겨도 잇음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
69,극한직업 보고왔어요ㅎㅎ
70,"도영 : 서울에서 하는 콘서트가 끝나면 (극한직업)바로 보러 갈 거예요. 예매권을 준다고 하더라구요. 필요하신 분들, 저한테 얘기해주세요
재현 : 그걸 지금 얘기하나요~?!ㅋㅋㅋㅋㅋ pic.twitter.com/JwcFMdjQ6p"
