,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스,개봉후뉴스2
73,국제시장,2014-12-17,2014.12.17,2014-12-10,2014.12.10,1659,2014-12-24,2014.12.24,943, 943
74,마담 뺑덕,2014-10-02,2014.10.02,2014-09-25,2014.09.25,1171,2014-10-09,2014.10.09,939, 939
75,기술자들,2014-12-24,2014.12.24,2014-12-17,2014.12.17,934,2014-12-31,2014.12.31,938, 938
76,물괴,2018-09-12,2018.09.12,2018-09-05,2018.09.05,1435,2018-09-19,2018.09.19,936, 936
77,오빠생각,2016-01-21,2016.01.21,2016-01-14,2016.01.14,1978,2016-01-28,2016.01.28,932, 932
78,싱글라이더,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2445,2017-03-01,2017.03.01,929, 929
79,극비수사,2015-06-18,2015.06.18,2015-06-11,2015.06.11,1380,2015-06-25,2015.06.25,929, 929
80,마스터,2016-12-21,2016.12.21,2016-12-14,2016.12.14,2781,2016-12-28,2016.12.28,926, 926
81,역린,2014-04-30,2014.04.30,2014-04-23,2014.04.23,413,2014-05-07,2014.05.07,925, 925
82,해무(海霧),2014-08-13,2014.08.13,2014-08-06,2014.08.06,610,2014-08-20,2014.08.20,918, 2
83,성난황소,2018-11-22,2018.11.22,2018-11-15,2018.11.15,1057,2018-11-29,2018.11.29,905, 905
84,챔피언,2018-05-01,2018.05.01,2018-04-24,2018.04.24,1675,2018-05-08,2018.05.08,900, 900
85,"고산자, 대동여지도",2016-09-07,2016.09.07,2016-08-31,2016.08.31,1538,2016-09-14,2016.09.14,888, 888
86,도리화가,2015-11-25,2015.11.25,2015-11-18,2015.11.18,3521,2015-12-02,2015.12.02,878, 878
87,탐정 : 더 비기닝,2015-09-24,2015.09.24,2015-09-17,2015.09.17,297,2015-10-01,2015.10.01,878, 634
88,치즈인더트랩,2018-03-14,2018.03.14,2018-03-07,2018.03.07,3333,2018-03-21,2018.03.21,872, 872
89,패션왕,2014-11-06,2014.11.06,2014-10-30,2014.10.30,2182,2014-11-13,2014.11.13,860, 860
90,상류사회,2018-08-29,2018.08.29,2018-08-22,2018.08.22,1284,2018-09-05,2018.09.05,860, 860
91,살인자의 기억법,2017-09-06,2017.09.06,2017-08-30,2017.08.30,1307,2017-09-13,2017.09.13,849, 849
92,내부자들,2015-11-19,2015.11.19,2015-11-12,2015.11.12,1658,2015-11-26,2015.11.26,835, 835
93,간신,2015-05-21,2015.05.21,2015-05-14,2015.05.14,1305,2015-05-28,2015.05.28,833, 833
94,그놈이다,2015-10-28,2015.10.28,2015-10-21,2015.10.21,1118,2015-11-04,2015.11.04,826, 826
95,판도라,2016-12-07,2016.12.07,2016-11-30,2016.11.30,1114,2016-12-14,2016.12.14,825, 825
96,탐정: 리턴즈,2018-06-13,2018.06.13,2018-06-06,2018.06.06,350,2018-06-20,2018.06.20,824, 757
97,염력,2018-01-31,2018.01.31,2018-01-24,2018.01.24,1801,2018-02-07,2018.02.07,819, 819
98,바람 바람 바람,2018-04-05,2018.04.05,2018-03-29,2018.03.29,504,2018-04-12,2018.04.12,811, 811
99,골든슬럼버,2018-02-14,2018.02.14,2018-02-07,2018.02.07,1460,2018-02-21,2018.02.21,806, 806
