name,moviename,peopleCd,수상횟수,totalpeople
고아성,뷰티 인사이드,10001670,2,2
고아성,오피스,10001670,2,2
고아성,오빠생각,10001670,2,2
김유정,우아한 거짓말,10005251,0,2
김유정,비밀,10005251,0,2
김향기,우아한 거짓말,10006228,1,3
김향기,특별수사: 사형수의 편지,10006228,1,3
김향기,신과함께-죄와 벌,10006228,1,3
김향기,신과함께-인과 연,10006228,1,3
김윤석,해무(海霧),10005276,14,7
김윤석,검은 사제들,10005276,14,7
김윤석,극비수사,10005276,14,7
김윤석,쎄시봉,10005276,14,7
김윤석,"당신, 거기 있어줄래요",10005276,14,7
김윤석,남한산성,10005276,14,7
김윤석,암수살인,10005276,14,7
이희준,해무(海霧),10058320,2,1
이희준,"로봇, 소리",10058320,2,1
이희준,1987,10058320,2,1
이희준,미쓰백,10058320,2,1
문성근,해무(海霧),10026716,6,1
문성근,석조저택 살인사건,10026716,6,1
김상호,해무(海霧),10004448,1,3
김상호,뷰티 인사이드,10004448,1,3
김상호,특별수사: 사형수의 편지,10004448,1,3
김상호,목격자,10004448,1,3
유승목,해무(海霧),10053771,0,4
임지연,인간중독,20069387,3,1
임지연,간신,20069387,3,1
임지연,럭키,20069387,3,1
김강우,찌라시: 위험한 소문,10003507,0,1
김강우,카트,10003507,0,1
김강우,간신,10003507,0,1
김강우,사라진 밤,10003507,0,1
박성웅,찌라시: 위험한 소문,10028773,0,4
박성웅,황제를 위하여,10028773,0,4
박성웅,살인의뢰,10028773,0,4
박성웅,오피스,10028773,0,4
박성웅,무뢰한,10028773,0,4
박성웅,해어화,10028773,0,4
박성웅,꾼,10028773,0,4
박성웅,석조저택 살인사건,10028773,0,4
박성웅,안시성,10028773,0,4
박성웅,해피 투게더,10028773,0,4
이정재,빅매치,10057315,10,6
이정재,암살,10057315,10,6
이정재,인천상륙작전,10057315,10,6
이정재,인천상륙작전 : 익스텐디드 에디션(확장판),10057315,10,6
이정재,대립군,10057315,10,6
신하균,빅매치,10040665,3,1
신하균,순수의 시대,10040665,3,1
신하균,올레,10040665,3,1
신하균,악녀,10040665,3,1
신하균,7호실,10040665,3,1
신하균,바람 바람 바람,10040665,3,1
이성민,빅매치,20110148,1,2
이성민,방황하는 칼날,20110148,1,2
이성민,손님,20110148,1,2
이성민,"로봇, 소리",20110148,1,2
이성민,보안관,20110148,1,2
이성민,리얼,20110148,1,2
이성민,공작,20110148,1,2
이성민,목격자,20110148,1,2
이성민,바람 바람 바람,20110148,1,2
차태현,슬로우 비디오,10071209,3,2
차태현,엽기적인 그녀 2,10071209,3,2
차태현,신과함께-죄와 벌,10071209,3,2
김성균,우리는 형제입니다,20127194,5,1
김성균,살인의뢰,20127194,5,1
김성균,퇴마: 무녀굴,20127194,5,1
김성균,미안해 사랑해 고마워,20127194,5,1
김성균,탐정 홍길동: 사라진 마을,20127194,5,1
김성균,보안관,20127194,5,1
김성균,채비,20127194,5,1
김성균,명당,20127194,5,1
김성균,골든슬럼버,20127194,5,1
염정아,카트,10049852,4,2
염정아,장산범,10049852,4,2
염정아,완벽한 타인,10049852,4,2
문정희,카트,10026802,2,1
문정희,아빠를 빌려드립니다,10026802,2,1
문정희,판도라,10026802,2,1
김영애,카트,10004995,6,2
김영애,판도라,10004995,6,2
김영애,특별수사: 사형수의 편지,10004995,6,2
엄정화,관능의 법칙,10047352,6,1
엄정화,미쓰 와이프,10047352,6,1
문소리,관능의 법칙,10026732,14,1
문소리,특별시민,10026732,14,1
문소리,리틀 포레스트,10026732,14,1
조민수,관능의 법칙,10065830,0,1
조민수,마녀,10065830,0,1
한석규,상의원,10087518,5,2
한석규,프리즌,10087518,5,2
박신혜,상의원,10028892,1,1
박신혜,뷰티 인사이드,10028892,1,1
박신혜,형,10028892,1,1
박신혜,침묵,10028892,1,1
장동건,우는 남자,10060114,4,1
장동건,브이아이피,10060114,4,1
장동건,창궐,10060114,4,1
장동건,7년의 밤,10060114,4,1
최진리,패션왕,10035775,0,1
이민기,황제를 위하여,10055447,1,1
이민기,몬스터,10055447,1,1
이민기,내 심장을 쏴라,10055447,1,1
김뢰하,몬스터,10004034,0,2
박철민,또 하나의 약속,20110935,3,4
박철민,약장수,20110935,3,4
박철민,히야,20110935,3,4
강하늘,소녀괴담,20111688,2,1
강하늘,스물,20111688,2,1
강하늘,쎄시봉,20111688,2,1
강하늘,순수의 시대,20111688,2,1
강하늘,동주,20111688,2,1
강하늘,좋아해줘,20111688,2,1
강하늘,청년경찰,20111688,2,1
강하늘,재심,20111688,2,1
강하늘,기억의 밤,20111688,2,1
하지원,조선미녀삼총사,10087280,9,1
하지원,허삼관,10087280,9,1
하지원,목숨 건 연애,10087280,9,1
주지훈,좋은 친구들,10069179,1,4
주지훈,간신,10069179,1,4
주지훈,아수라,10069179,1,4
주지훈,신과함께-죄와 벌,10069179,1,4
주지훈,신과함께-인과 연,10069179,1,4
주지훈,공작,10069179,1,4
주지훈,암수살인,10069179,1,4
설경구,나의 독재자,10035772,22,5
설경구,서부전선,10035772,22,5
설경구,살인자의 기억법,10035772,22,5
설경구,불한당: 나쁜 놈들의 세상,10035772,22,5
설경구,루시드 드림,10035772,22,5
차승원,하이힐,10071140,3,1
차승원,"고산자, 대동여지도",10071140,3,1
오정세,하이힐,10050734,0,1
오정세,머니백,10050734,0,1
윤계상,레드카펫,10054204,1,1
윤계상,소수의견,10054204,1,1
윤계상,극적인 하룻밤,10054204,1,1
윤계상,범죄도시,10054204,1,1
김상경,아빠를 빌려드립니다,10004396,1,3
김상경,살인의뢰,10004396,1,3
김상경,사라진 밤,10004396,1,3
조재윤,아빠를 빌려드립니다,10066926,0,5
조재윤,시간위의 집,10066926,0,5
조재윤,역모-반란의 시대,10066926,0,5
정유미,맨홀,10062071,6,2
정유미,부산행,10062071,6,2
김새론,맨홀,10004452,6,1
김새론,동네사람들,10004452,6,1
여진구,백프로,10049790,3,1
여진구,서부전선,10049790,3,1
여진구,내 심장을 쏴라,10049790,3,1
여진구,대립군,10049790,3,1
천호진,백프로,10071900,0,1
천호진,간신,10071900,0,1
천호진,퇴마: 무녀굴,10071900,0,1
박상면,백프로,10028686,0,1
이원종,백프로,10056895,1,1
이원종,역모-반란의 시대,10056895,1,1
유아인,베테랑,10053802,4,3
유아인,사도,10053802,4,3
유아인,좋아해줘,10053802,4,3
유아인,국가부도의 날,10053802,4,3
유아인,버닝,10053802,4,3
유해진,베테랑,10054128,7,10
유해진,극비수사,10054128,7,10
유해진,그놈이다,10054128,7,10
유해진,소수의견,10054128,7,10
유해진,럭키,10054128,7,10
