"points" "reviews"
"60" "10" "정말 재미있고  특히 강력반 반장이 류승룡한테 그냥 안죽어라고고한것 이 제일 제미있었다.  "
"61" "5" "관람객나는 웃을 준비가 안되어 있었던 걸까  "
"62" "6" "조금 웃김 너무 기대하지마세요그럭저럭 볼만합니다배우들 하나  하나 좋았어요  "
"63" "9" "관람객간만에 웃을수 있는 영화 봤네요  "
"64" "10" "꿀잼 대박사건. ㅋㅋ  "
"65" "10" "관람객여러명이 가서 많이 웃고 갑니다. 어려운 경제상황에 다소나마 웃으을 주는 영화.  "
"66" "8" "관람객아무생각 없이 보고 웃기 좋네요  "
"67" "2" "이게 도대체 왜... 노이해 노잼  "
"68" "10" "관람객영화보고 류승룡 팬이 되었어요극한직업2나왔으면..  "
"69" "10" "스트레스 해소되고 너무 재밌었어요!!  "
"70" "10" "관람객ㅋㅋ 졸잼이요 정말 너무 재미있어요  "
"71" "10" "관람객지금까지 이런영화는 없었다.빼꼽을 찾을것 인가, 못 찾을것인가 너무 재미있어음  "
"72" "10" "관람객계속 웃다가  나왔네요~  "
"73" "10" "관람객신파없어서 너무 좋았어요  "
"74" "6" "딱 킬링타임용.. 재밌을거란 기대를 많이 했는데 그장도는 아니었음  "
"75" "10" "큰기대 안하고 편하게 봤는데 너무 재밌고 괜찮은 영화였어요 억지웃음이 아닌 진짜 웃음을 주는 영화. 한국 역대 관객수 2위 축하합니다  "
"76" "10" "처음부터 끝날때 까지 웃고옴 ㅋ  "
"77" "4" "관람객내가 이상한가.. 보다 졸았음 ㅠ  "
"78" "10" "관람객정말 오랜만에 실컷웃었네요^^  "
"79" "6" "관람객전형적인 B 금 코메디영화!  "
"80" "10" "가서 신나게 웃고 힐링하고 왔습니다! 배우님들 케미가 너무 좋아요..♡  "
"81" "9" "관람객오랫만에 신나게 웃었네요  "
"82" "10" "관람객재밌었어요 재밌었어요  "
"83" "10" "최근들어 가식없이 편하게 웃을수있던 코믹영화였던거 같아요 넘잼있었어요 안아파~  "
"84" "2" "이런 영화가 왜 흥행에 성공하고 있는지 도저히 이해 안된다.  웃을게 너무 없는 세상이라 그런가.. 케이븐 수즈  "
"85" "10" "관람객너무 재밌었어요!!!  "
"86" "10" "관람객두번봐도 재밌었다 기회되면 한번 더 보러갈것임bb  "
"87" "10" "관람객생각보다 괜찮음, 제일 좋았던건 경찰들 중 아무도 죽지 않았다는 것이다. 정의는 승리한다!!  "
"88" "10" "관람객너무 재미있게 봤어요 부모님도 예매해드리고 보시라고 했네욯ㅎㅎ  "
"89" "8" "관람객아무생각없이 그냥 재미있게볼수있는 영화인거같아요.  "
"90" "10" "관람객재밋씁니다엄마랑깔깔깔  웃다나왓네요ㅋ  "
"91" "4" "IPTV용수준 저긎한개그에 극장내 단한명도 웃는사람없었는데 시기를 잘탔다  "
"92" "7" "관람객기대만큼 재밌진 않았음 볼만함  "
"93" "8" "관람객재미는 있으나  예측이 가능한 스토리.  "
"94" "10" "인생 TOP10  영화중에 하나  "
"95" "10" "관람객너무 재미있게 봤어요.정말 오랜만에 즐겁게본것같아요  "
"96" "1" "친구들이 하도 재밌다고하고 1000만도 넘었다길래 그냥 할거없어서 보러갔는데 보고나서 진짜 친구새rL 개팰뻔했다  "
"97" "8" "관람객그냥저냥 재미있게봤네요  "
"98" "10" "핵 꿀잼  웃음으로  시작 해서 끝까지 웃음  "
"99" "8" "관람객생각없이 웃었네요~^^  "
"100" "10" "관람객재밋습니다 스트레스 확 풀려요  "
"101" "10" "두번봄재밌다딴거볼께없어  "
"102" "10" "관람객이하늬멋져요. 짱재밌어요  "
"103" "1" "억지웃음너무심해요ㅠㅠㅠ하 ㅠㅠ  "
"104" "10" "관람객잼있어요. 엄마랑 간만에영화데이트 좋았어요  "
"105" "6" "막 대폭소는 아니고 피식피식 정도.. 배우들의 열연이 돋보였음. 근데 신과함께도 그렇고 이런 영화가 1위라니, 국민들이 그냥 좀 쉬고 싶은 모양.. 쏘쏘했음.  "
"106" "10" "관람객오랜만에 맘껏 웃을수 있는 영화봤네요  "
"107" "8" "관람객정말 웃기는 시트콤같은  내용에  재미나게 보긴 했는데 15세이상 관람가라고 하기엔 잔인한 폭력묘사장면은 마냥 유쾌하진 않았다 .  "
"108" "6" "관람객흥한만큼 재밌지는 않은것같다.. 그냥저냥 코미디액션영화로 본듯  "
"109" "9" "관람객배우들의 연기력을 잘 끌어낸 유쾌한 영화  "
"110" "10" "관람객반전이 너무 웃겨요 ㅋㅋㅋㅋ  "
"111" "10" "관람객소리가 빠각빠각 무섭긴했지만 유쾌상쾌한 재밌는 영화  "
"112" "7" "1,2, 9,10 점 준 사람들 평점은 무조건 거르면된다.어제 봤는데 7점ㅇ이다..  관객 500만되었어도 기적에 가까운데.. 천만이라니... 보는내내 헛웃음만 피식... 웃기려고 애쓰는데 왜 웃기질 못하니...  "
"113" "10" "관람객극한직업 역시 짱입니다. 소문대로 입니다.  "
"114" "8" "관람객뭘 10자를 넘기래 그냥 볼만했음  "
"115" "9" "관람객이 것도 그냥 정신줄 놓고 보기 좋은 영화  "
"116" "10" "관람객관람후 치킨이먹고싶어진다는데 저는 치킨은 먹고싶어지지 않았지만 너무 재밌게 보는 내내 끅끅거리면서 봤던거 같아요! 인생 영화 등급!  "
"117" "10" "극장에서 봤는데 왼전 재미있게 봤어요  "
"118" "10" "관람객너무너무재밌었습니다ㅋㅋ  "
"119" "10" "내용은 별거없는데 아무생각없이 존나 웃김  "
"120" "10" "관람객배달의민X광고같은느낌이지만 엄청웃었어요 ㅋㅋㅋ잼있음  "
"121" "10" "염병에서 극한으로 살아서 돌아왔군...  "
"122" "7" "생각없이 웃으며 볼 영화긴 한데... 이게 14000만을 넘길 영화인가?? 대진운이 정말 중요하다는걸 느끼네  "
"123" "6" "내가 이상한건가?! 전혀 웃기지가 않던데. 억지의 웃음유발을 유도하는 게...  "
"124" "10" "관람객너무 재밌다..이게 진짜 영화지! 스트레스 확풀린다!!!  "
"125" "8" "관람객그냥  아무생각없이 웃으면서볼수있음  "
"126" "10" "관람객존잼~~~ 처음에 방심하다 터진거부터 계속 터졌네요  "
"127" "10" "관람객정말 신나게 웃었습니다. 옆사람들도 크게 웃어서 저도 크게 빵빵 ㅎㅎ  "
"128" "10" "관람객완전 꿀잼임 완전 꿀잼임 완전 꿀잼임 완전 꿀잼임 완전 꿀잼임  "
"129" "10" "관람객이것은 치킨인가 갈비인가  "
"130" "10" "관람객정말 오랜만에 영화보면서 엄청 웃었습니다..극한직업 모든 배우분들께 감사드립니다..  "
"131" "10" "관람객예고를 안봤으면 더 재미있었을듯....  "
"132" "6" "관람객시기를 잘탄듯. 천만까지 갈 영화는 아니고, 아무 기대없이 봤다면 괜찮았을법한데, 예고편에 나온 장면들이 웃긴부분의 대부분을 차지. 노잼& 질질끄는 부분 의외로 많다는거. 진선규 코믹영화에도 앞으로 자주나왔으면! 어설픈 신파, 정치색 없다는건 좋았음.  "
