,0
32,"극한직업 봤는데 균신 오정세랑 대화할때 티키타카 쩔어서 너무 좋았고 이무배 ㅈㄴ 세쿠시해 찡찡 거릴때 순간 에이스랑 강후니 생각나서 개좋곸ㅋㅋㅋ
감독만 마음에들었으면 n차각이였는데ㅡㅡ,,, 그냥 오정세랑 신하균이랑 또 한번 영화찍어라~~ 그땐 n차 볼테니까"
33,어제 극한직업 영화 봤는데..재밌어요 유쾌하고 그냥 진짜 코미디라 2시간 내내 웃었던
34,극한직업 또 보고싶다ㅠㅠ..... 뭔가 보면 기분이 좋아지는 영화같어 ..... 유쾌해.....
35,영등포 이대휘관에서 극한직업 봤는데 보는내내 웃다 와서 또 보고싶다 ㅋㅋㅋ 기대도 안했는데 존잼... 대휘덕에 안보던 영화도 보고 덕분에 웃고 집와서는 찐빵대휘보고 웃고 하루종일 웃었넴
36,"""너무 웃겨서 눈물 찔끔한다"" 역대급 후기로 이틀 연속 박스오피스 1위 차지한 영화 '극한직업' http://tinyurl.com/y7x3sup4  #랭킹뉴스"
37,다음주 수요일 영화 볼 생각임. 극한직업 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
38,"현재 본인 위치  봉천.
같이 영화 극한직업 보러 갈 사람 구함.
30분내로 출발가능한 사람으루다가"
39,"190126 도다제
형아 영화 <극한직업> 홍보도 야무지게 하는 도영이ㅋㅋㅋ 지금은 바빠서 못보러가지만 서울콘 끝나자마자 가서 볼거라고 예매권도 준다고 같이 보러가고싶으면 충분히 말해달래 ㄱㅇㅇ pic.twitter.com/wfVKozazEw"
40,"극한직업 영화보고 늨긴점
수원에 통닭머그러오세요"
41,영화 '극한직업' 스틸. 
42,가족따라 극한직업(영화)보러옴
43,"도영: 저희 형이 영화를 개봉했거든요
재현: 축하드립니다
도영: 극한직업이라고 잘될 것 같아요"
44,CGV 진짜 너무 심하네 주말 오후에 볼 수 있는 영화가 극한직업 하나 뿐이잖아 pic.twitter.com/k74CyZLe0q
45,"솔직히 영화 극한직업은 코미디빅리그의 코너 잠입수사에서 아이디어를 얻은 거 같은데 그게 맞다면 언급을 해야 하지 않나 싶다. 물론 아닐 수도 있지만 해당 코너 애청자로서... 정말 겹쳐도 너무 겹쳐. 

http://naver.me/xrgusGar "
46,"주말에 보러 가자!!!!!!!!

#코미디 #영화 #극한직업 http://dispatch.co.kr/2002727 "
