,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉일1일전,개봉일1일전2,개봉전뉴스
133,널 기다리며,2016-03-10,2016.03.10,2016-03-03,2016.03.03,2016-03-09,2016.03.09,428
241,동네사람들,2018-11-07,2018.11.07,2018-10-31,2018.10.31,2018-11-06,2018.11.06,426
32,또 하나의 약속,2014-02-06,2014.02.06,2014-01-30,2014.01.30,2014-02-05,2014.02.05,425
174,노무현입니다,2017-05-25,2017.05.25,2017-05-18,2017.05.18,2017-05-24,2017.05.24,422
197,미옥,2017-11-09,2017.11.09,2017-11-02,2017.11.02,2017-11-08,2017.11.08,422
6,역린,2014-04-30,2014.04.30,2014-04-23,2014.04.23,2014-04-29,2014.04.29,413
117,굿바이 싱글,2016-06-29,2016.06.29,2016-06-22,2016.06.22,2016-06-28,2016.06.28,413
180,장산범,2017-08-17,2017.08.17,2017-08-10,2017.08.10,2017-08-16,2017.08.16,412
244,도어락,2018-12-05,2018.12.05,2018-11-28,2018.11.28,2018-12-04,2018.12.04,409
245,허스토리,2018-06-27,2018.06.27,2018-06-20,2018.06.20,2018-06-26,2018.06.26,399
136,계춘할망,2016-05-19,2016.05.19,2016-05-12,2016.05.12,2016-05-18,2016.05.18,385
13,제보자,2014-10-02,2014.10.02,2014-09-25,2014.09.25,2014-10-01,2014.10.01,369
45,설계,2014-09-18,2014.09.18,2014-09-11,2014.09.11,2014-09-17,2014.09.17,367
215,탐정: 리턴즈,2018-06-13,2018.06.13,2018-06-06,2018.06.06,2018-06-12,2018.06.12,351
16,우아한 거짓말,2014-03-13,2014.03.13,2014-03-06,2014.03.06,2014-03-12,2014.03.12,346
89,함정,2015-09-10,2015.09.10,2015-09-03,2015.09.03,2015-09-09,2015.09.09,345
217,곤지암,2018-03-28,2018.03.28,2018-03-21,2018.03.21,2018-03-27,2018.03.27,340
149,두 남자,2016-11-30,2016.11.30,2016-11-23,2016.11.23,2016-11-29,2016.11.29,330
57,탐정 : 더 비기닝,2015-09-24,2015.09.24,2015-09-17,2015.09.17,2015-09-23,2015.09.23,317
37,나의 독재자,2014-10-30,2014.10.30,2014-10-23,2014.10.23,2014-10-29,2014.10.29,278
252,게이트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,2018-02-27,2018.02.27,276
242,원더풀 고스트,2018-09-26,2018.09.26,2018-09-19,2018.09.19,2018-09-25,2018.09.25,275
207,구세주: 리턴즈,2017-09-14,2017.09.14,2017-09-07,2017.09.07,2017-09-13,2017.09.13,258
42,가시,2014-04-10,2014.04.10,2014-04-03,2014.04.03,2014-04-09,2014.04.09,239
120,특별수사: 사형수의 편지,2016-06-16,2016.06.16,2016-06-09,2016.06.09,2016-06-15,2016.06.15,268
153,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,2016.09.13,2016-09-06,2016.09.06,2016-09-12,2016.09.12,626
246,덕구,2018-04-05,2018.04.05,2018-03-29,2018.03.29,2018-04-04,2018.04.04,231
22,방황하는 칼날,2014-04-10,2014.04.10,2014-04-03,2014.04.03,2014-04-09,2014.04.09,222
33,소녀괴담,2014-07-02,2014.07.02,2014-06-25,2014.06.25,2014-07-01,2014.07.01,213
253,여중생A,2018-06-20,2018.06.20,2018-06-13,2018.06.13,2018-06-19,2018.06.19,201
199,채비,2017-11-09,2017.11.09,2017-11-02,2017.11.02,2017-11-08,2017.11.08,197
247,번 더 스테이지: 더 무비,2018-11-15,2018.11.15,2018-11-08,2018.11.08,2018-11-14,2018.11.14,185
256,머니백,2018-04-12,2018.04.12,2018-04-05,2018.04.05,2018-04-11,2018.04.11,162
139,혼숨,2016-10-26,2016.10.26,2016-10-19,2016.10.19,2016-10-25,2016.10.25,145
260,해피 투게더,2018-11-15,2018.11.15,2018-11-08,2018.11.08,2018-11-14,2018.11.14,119
100,약장수,2015-04-23,2015.04.23,2015-04-16,2015.04.16,2015-04-22,2015.04.22,99
43,맨홀,2014-10-08,2014.10.08,2014-10-01,2014.10.01,2014-10-07,2014.10.07,94
243,흥부: 글로 세상을 바꾼 자,2018-02-14,2018.02.14,2018-02-07,2018.02.07,2018-02-13,2018.02.13,1137
147,번개맨,2016-02-11,2016.02.11,2016-02-04,2016.02.04,2016-02-10,2016.02.10,65
101,타투,2015-12-10,2015.12.10,2015-12-03,2015.12.03,2015-12-09,2015.12.09,49
251,독전: 익스텐디드 컷,2018-07-18,2018.07.18,2018-07-11,2018.07.11,2018-07-17,2018.07.17,20
255,번개맨과 신비의 섬,2018-04-05,2018.04.05,2018-03-29,2018.03.29,2018-04-04,2018.04.04,8
17,해무(海霧),2014-08-13,2014.08.13,2014-08-06,2014.08.06,2014-08-12,2014.08.12,394
261,번개맨의 비밀,2018-12-06,2018.12.06,2018-11-29,2018.11.29,2018-12-05,2018.12.05,7
