,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉일1일전,개봉일1일전2,개봉전뉴스
30,황제를 위하여,2014-06-11,2014.06.11,2014-06-04,2014.06.04,2014-06-10,2014.06.10,979
27,플랜맨,2014-01-09,2014.01.09,2014-01-02,2014.01.02,2014-01-08,2014.01.08,967
210,완벽한 타인,2018-10-31,2018.10.31,2018-10-24,2018.10.24,2018-10-30,2018.10.30,965
228,궁합,2018-02-28,2018.02.28,2018-02-21,2018.02.21,2018-02-27,2018.02.27,956
173,1987,2017-12-27,2017.12.27,2017-12-20,2017.12.20,2017-12-26,2017.12.26,950
154,히야,2016-03-10,2016.03.10,2016-03-03,2016.03.03,2016-03-09,2016.03.09,948
196,희생부활자,2017-10-12,2017.10.12,2017-10-05,2017.10.05,2017-10-11,2017.10.11,946
12,기술자들,2014-12-24,2014.12.24,2014-12-17,2014.12.17,2014-12-23,2014.12.23,935
155,무수단,2016-03-03,2016.03.03,2016-02-25,2016.02.25,2016-03-02,2016.03.02,928
85,경성학교: 사라진 소녀들,2015-06-18,2015.06.18,2015-06-11,2015.06.11,2015-06-17,2015.06.17,1009
234,레슬러,2018-05-09,2018.05.09,2018-05-02,2018.05.02,2018-05-08,2018.05.08,898
75,특종: 량첸살인기,2015-10-22,2015.10.22,2015-10-15,2015.10.15,2015-10-21,2015.10.21,880
254,여곡성,2018-11-08,2018.11.08,2018-11-01,2018.11.01,2018-11-07,2018.11.07,864
166,아이 캔 스피크,2017-09-21,2017.09.21,2017-09-14,2017.09.14,2017-09-20,2017.09.20,855
