peopleCd,totalpeople
10000783,1
10000854,2
10000946,2
10003620,2
10004662,1
10005151,8
10005852,4
10006188,1
10006204,2
10007437,2
10019069,6
10028469,1
10049814,2
10054492,2
10054784,1
10055965,4
10057103,1
10057235,2
10057273,1
10057485,8
10058005,2
10058049,3
10060462,1
10060507,1
10060674,2
10062089,1
10065952,1
10066810,2
10072187,4
10072983,1
10087712,2
10088463,1
10090050,2
20111283,2
20111735,2
20112387,1
20128773,2
20135271,1
20167784,1
20169260,1
