,0
51,"[아역배우 윤해빈 인스타그램]

마약왕~~
대박날듯
배우분들 연기 진짜 최고인듯...
인성갑이신 조정석,송강호,배두나 배우님들 진짜 연기왕들~~
.
.
.
#마약왕#조정석#송강호#연기왕#완전강추
https://www.instagram.com/p/BrjZg2gH0z4/?utm_source=ig_share_sheet&igshid=10g9c5w7ncpt3 … pic.twitter.com/RliiekL9Gf"
52,"'마약왕' 패키지
롯데시네마 월드타워점에서 받으실 분들은 7층 인포메이션으로 가시면 됩니당
#마약왕_12월19일_대개봉
#조우진"
53,"마침내 오 to the 늘 개봉 #마약왕 
로비스트 연기한 배우가 그렇게 매력적이라던데
매력부자 #배두나 가 말하는 마약킹은?
 http://news.maxmovie.com/389870 "
54,"작곡으로 참여한 영화 “마약왕”이 오늘 개봉했습니다. 많은 관람 부탁드립니다. the soundtrackings(조영욱 음악감독, 홍대성, 조혜원, 이명로 작곡가)의 스코어 음악도 귀기울여 들어주세요!"
55,"https://www.instagram.com/p/Brg4l7ml3D1/ 
두나여신님은 박제,,, 완벽하다 두말하면 입아프다 여신포스 제대로다 너무 예뻐서 현기증났................. #마약왕 #쇼케이스 #배두나 (Via@naye626_ Insta)   pic.twitter.com/PZP1sjFiTj"
56,"[하퍼스바자 인스타그램]

2019년 <바자> 신년호를 장식한 영화 <마약왕>의 세 배우들! #송강호 #배두나 #조정석 . 함께 걷는 것만으로도 시너지가 폭발했던 순간들을 모아보았습니다. 오늘 개봉하는 #마약왕 이 기대되는 이유, 지금 영상으로 확인해 보세요 pic.twitter.com/wkVWjNLjWv"
57,와 드뎌 마약왕 개봉이다!!!
58,"&#039;마약왕&#039;, 청불 불구 예매만 10만장…연말 흥행왕 예고 - DAILYFEED "
59,"[개봉DAY]'마약왕'vs'스윙키즈'vs아쿠아맨', 포문 연 연말 극장가 대전
http://pop.heraldcorp.com/view.php?ud=201812181818596629665_1 …

#영화 #마약왕 #스윙키즈 #아쿠아맨 #연말극장가 #대전"
60,야 우리 용산에 있는 하덕들 모아서 마약왕 단관 하자 (대체
61,"두 시면 ,,, 나랑 마약왕 볼 사람 ,, 주난 보고 싶ㅇㅓ ,,,"
62,#영화#마약왕 후반부가 대박임; 총기난사;; 실화라는게 더 대박임;;
63,야 일찍 와도 소용 업대 나랑 마약왕 볼 사람 ㅋㅋ
64,RT @그곳에 진짜 마약왕이 있었다? [마약왕] 속 실제사건 https://entertain.naver.com/read?oid=108&aid=0002748837 …
65,뭐야 나 마약왕 보려고했는데 탐라보니 걸러야되는 분위기야? 그리고 너 몇살이야 이게 어디다대고 반말을 찍찍 pic.twitter.com/etbqWo4qa1
66,저는 오늘 비번이니 아침에 마약왕을 보고 오겠습니다.간만에 송강호영화를 봐서 좋군요
67,마약왕 후반 총기난사 그 장면 진짜 개쩔
68,아임 앳 시네마. #마약왕
69,[DA:박스] ‘보헤미안 랩소디’ 박스오피스 1위…‘마약왕’·‘스윙키즈’ 온다 (출처 : 스포츠동아 | 네이버 TV연예) http://naver.me/xmkOvFgC 
70,"'마약왕', '스윙키즈' 제치고 예매율 1위…청불 한계 넘었다 http://issuecollector.com/%eb%a7%88%ec%95%bd%ec%99%95-%ec%8a%a4%ec%9c%99%ed%82%a4%ec%a6%88-%ec%a0%9c%ec%b9%98%ea%b3%a0-%ec%98%88%eb%a7%a4%ec%9c%a8-1%ec%9c%84%ec%b2%ad%eb%b6%88-%ed%95%9c/ …"
71,"마약왕 시사회 갔다 왔는데 한번 더 보고 픔,,"
72,이번에 개봉하는 마약왕 기대중이다 솔직히 저런류의 한국영화 좋아하거든
73,"오늘 개봉하는 ""마약왕"" 뺨치는 ""감금왕"" 

https://news.joins.com/article/23198322 …

영화 처럼 사는 남자

악마를 보았다의 장경철 - 아수라의 박성배 - 미드 하우스 오브 카드의 프랭크 언더우드 뺨치는  

http://news.hankyung.com/article/201808052614i …

그런 희대의 사이코패스 패륜잡범 캐릭터 pic.twitter.com/XWMn1V9b4M"
74,오늘 마약왕 보고 왔는데 내가 왜 한국영화를 싫어하게 됐는지 다시 한번 깨달음. 쓸데없이 잔인하고 폭력적이고 결말이 빤히 보이는 서사에 늘  비슷비슷한 연기스타일. 가장 인상적이었던건 딱 붙는 목티를 입어도 의외로 뱃살 하나 없는 송강호 아저씨의 몸매였음.
75,근데 트위터에서 흥하는 영화는 빨리 봐야 됨. 트위터에서 흥해서 오래 할 줄 알고 여유 부리면 다 내려버리고 트위터에서 욕 먹는 영화들이 영화관을 독점해버린다. 아직 부하들도 스파이더맨도 못 봤는데 상영을 아예 안 하고 마약왕 티켓을 나눠주고 있었어.......
76,ㅁㅏ약왕을 보고 왔습니다 ... 정말 우와 우와애요
77,오늘 영화 한편 어떠세요? DC의 야심찬 화제작 아쿠아맨 #아쿠아맨 #마약왕 #스윙키즈 http://imnews.imbc.com//news/snsNews/5076781_22345.html …
78,님들아 마약왕 봤고 경상도 사투리 감수 유재명이라고 엔딩크레딧 뜸ㅋㅋㅋㅋㅋ
79,"마약왕은 그냥 그랬고
파스타는 스코파더쉐프 그라노 가격대 이하는 다 거기서거기인듯 "
80,"[시네마 예매 지옥] 이번주에는 '아쿠아맨', '스윙키즈',  '마약왕'을 보았습니다. by 김리은, 박희아, dcdc

 http://www.ize.co.kr/articleView.html?no=2018122000467241735 …"
81,마약왕 개봉햇구나... 마약왕 보고싶다 나도....
82,"송강호 주연 '마약왕' 25만명 동원…1위 출발
https://www.yna.co.kr/view/AKR20181220018400005?input=tw …

영화 '마약왕'이 청소년관람 불가 등급(청불)이라는 핸디캡을 딛고 겨울 극장가 대전에서 승기를 먼저 잡았습니다. "
83,"'마약왕' 실제 인물 이황순의 호화생활, 어느 정도였냐면 (출처 : 오마이뉴스 | 네이버 뉴스) http://naver.me/FB04iK4h "
84,"마약왕 보는데 조정석이 언제 야, 너두? 나두? 야나두! 할지 몰라서 불안했다"
85,메리 셸리 더 파티 요렇게 두편 넘 궁금한데 보신 분들 없나 마약왕 욕만 줄창 보이고ㅋㅋㅋ
86,난 마약왕 넷플릭스의 나르코스애 자극 받은 기획 같다는 억측이 좀 들더라고. 어떤 영화들도 유명한 미국드라마의 영향을 받은 것 같고. 그게 나쁘다는 건 아닙니다. 원래 문화예술이 그런 거니까.
87,"‘마약왕’ 

1970년대 부산, 밀수업자 이두삼(송강호)은 마약 사업에 뛰어들어 큰돈을 번다. 소시민이 범죄에 빠져들어 시대의 어둠을 마주하는 영화의 전형을 고스란히 따라간다. 범죄영화에 나올 법한 유형의 인물과 사건들을 정돈 없이 전부 집어넣기만 하여 사건사고가 나열되는 것으로 그쳤다. "
88,마약왕에 골든샤워가 나와...? 그거 장르가 어떻게 돼...?
89,마약왕 돈 내고 볼 가치
90,"마약왕에서 기대한 것 
1. 대배우들의 연기력 
2. 당당한 여자 캐릭터 
3. 내부자들 감독의 스토리 

마약왕이 보여준 것 
1. 대배우들의 필요이상의 연기력
2. 평면적인 여자 캐릭터, 시대를 후퇴하는 행동 
3. 쌍도 한남
4. 이어지지 않는 전개를 끼워맞추는 추리력"
91,"<스윙키즈>는 연말 최고 흥행작으로 예상된 작품인데 기대와 달리 저조해서 많은 사람들이 당황하는 중이라고. <마약왕>,<아쿠아맨>에 이어 여전히 흥행 순위 3위이고 개봉 2일차 관객이 7만 8천명에 불과함. <스파이더맨: 뉴 유니버스>는 개봉 2주차만에 종영 수준. pic.twitter.com/4gJxCLmTT7"
92,"근데 마약왕 제목만 보면 원피스나 포켓몬같은

안녕! 나는 마약이 판치는 세상에서 자라났지, 지금 나는 위험을 무릅쓰고 마약왕이 되기위해 이 세상에 한발을 내딛으려고 하고 있어!
(오프닝이 들려옴)자!!나랑 같이 마약왕을 목표로 같이 모험하자!

따단따다ㅏ단 따단 
[마약왕 : 험난한 여정]"
93,"선생님
전
어린이집
다닐
때부터
장래희망이
마약왕
이었습니다
진로 
체험
삼아
마약왕
봐야겠습니다"
94,마약왕 예고편 보는데 김정미의 바람이 나온다. 굿굿
95,숲 속 선생님들 두나를 보고 싶은 마음에 마약왕을 본다면 절대 마약왕 보지 마세요. 마약왕 볼 시간에 센스에잇을 한편 더 보고 그 돈으로 맛있는거 사먹으세요 제발요
96,마약왕 진짜 별거없고 재미 자체가 없음... 근데 황반장 태병조 은실장 효자장이수가 나옴
97,마약왕 송강호 빤스만 입고 거꾸로 매달려서 두들겨맞는데 새삼 진짜 키크고 다리길더라
98,"아니 내알림창 무슨 일이야 
아니 저기요 저희 그런 대화한게 아니랔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다른분 마약왕 후기 타래에 그 단어가 있길래 이게머냐고 물어본거 뿐입니다ㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
99,"모르니까 큰 소리로 물어볼 수도 잇죠 ..!!!!! 
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ 아니 마약왕 후기에 그 단어가잇길래 .... 궁금했슴다 .."
100,"이번주 개봉작 ""마약왕"" | 소재는 흥미로운디 이야기는 밋밋하고 진부하게 흘러간다. 이두삼에 스포트라이트를 집중하며 등장인물 대부분이 이두삼의 서사에 필요한 경우에만 갑자기 등장하다가 마무리되지 못한 채 흐지부지 사라져버린다. 마치 [범죄와의 전쟁] 송강호 버전을 보는 느낌. (에디터A) pic.twitter.com/XlVkDTbm9r"
101,저도 자의가아니 타의로 마약왕봤는데 진짜흠스럽고 보다보면 계속 머리속에서  야 너도 영어할 수 있어 야나두 이것만떠오름
102,"일단 JSA, 괴물, 의형제, 박쥐, 살인의 추억, 좋나이상한 놈, 마약왕에서 송강호가 정면으로 카메라 한 번 봐주고 바로 끝나거나 사족이 좀 더 붙고 끝이 났네요."
103,"181217 마약왕 쇼케이스 김소진,

이날 진심 존멋존예
(적고나니엠씨병크에또분노가) "
104,마약왕에 대해 아는 거라곤 송강호배두나가 나오며 듀나가 재미없다고 한것뿐...
105,"칠십 대쯤 되어보이는 할머니 한 분이 마약왕을 보러오셨다. 주변에 혼자는 영화보러 못간다는 친구들이 숱한데, 배워라 이놈들."
106,"김소진, 배두나 연기 너무 좋지만 캐릭터가 좋으냐.. 영화 아직 안보신 분들, 마약왕의 아내와 마약왕과 눈 맞는 로비스트가 어떤 느낌의 캐릭터일 것 같은지 1분 정도만 생각해보세요. 네.. 그겁니다. 애초에 이두삼을 제외한 캐릭터들에 어떤 야심 같은 게 담겨있지도 않지만.."
107,마약왕 인포메이션북? 보는데 대맹이 수상부분에 뭐가 많이 써있길래 이렇게 상을 많이 받은적이 없는데 하고 보니까 아저씨 수상내역 가져다가 잘못 복붙했네..ㅎ 이런것도 제대로 못만드냐
108,": 우리 마약왕볼래?
뫄뫄 : 뭔 영환데
: 청불이래!
뫄뫄 : 청불!!!!!!!!!!!!

한번도 청불영화 영화관에서 안본 친구와 나의 대화"
109," 영화 #마약왕 개봉 기념
마약보이스 #조우진 배우의 &lt;마약왕> 삼행시 

 중독성으로 인한 28734910회 재생 주의 "
110,띠용 마약왕 어제 개봉했어 ?  근데 탐라에 보고 온 사람 아무도 없는 거 개웃
111,영화<마약왕> 
112,제가 어제 마약왕을 아무런 정보 없이 봤는데요 조우진님께 치일 것 같았는데 청불이 제 기준에서 충격적이어서 또 못 볼 것 같으니 아 근데 조우진님 본새 장난 아니었어 온 몸이 이레즈미던데;; (스포X) 사투리 장난 아니던데 치일 것 같았는데 여하튼 마약왕 또 보진 않을 예정
113,"뉴스토픽 보다가

마약왕 아쿠아맨 이라 되있어서

아쿠아맨이 마약왕이란소린가 싶었다 "
114,"동영상을 @YouTube 재생목록 http://youtu.be/leLWQD-Ytyc?a  마약왕 포스터 송강호,배두나,조정석 주연의 범죄 실화"
115,"[박스오피스IS] ＂흥행神 송강호＂..＇마약왕＇, 개봉 첫날 24만 압도적 1위 "
116,"마약왕 22일 무인 건대롯데시네마5관 D열 중블 2연석 2.4

예매번호 전송후 취소X
예약X 즉입가능하신분만 오픈카톡
(DM확인 매우 늦..)

https://open.kakao.com/o/siLaUC7  

#마약왕 #마약왕무인 #마약왕무대인사 #마약왕건대무인 #마약왕무인양도 #조정석 #송강호"
117,마약왕 2차는 사운드 좋은 곳에서 보고 싶은데 여의도라도 가야 하나
118,우진 탐라 정보력 시커들아 마약왕 보고 타투 업체 인스타좀 털어조새요 제가 이렇게 무릎꿇고 빌게요 늘그니는 크레딧 올라가는거 못쪼차가ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅠㅠㅜㅜㅜㅜㅡㅜㅜㅜㅡㅜㅜㅜㅠㅜㅜ
119,"올해 한국영화는 폭망으로 막내리는 듯.
가장 기대했던 마약왕은 처참할 정도의 평이고,
스윙키즈도 영화흐름이 꼬이면서 평작수준에 미친다고...
pmc도 시사회 후기보니 암담한 수준이던데 그나마 말모이가 좀 낫다고...
보헤미안 랩소디 천만 가겠네."
120,"#인간명품 #인간루이비통 머리부터 발끝까지 럭셔리 
#루이비통 #배두나 #마약왕 #louisvuitton #baedoona"
121,마약왕은 배우들 연기가 지림 ㅋㅋ
122,"[NC스코어]송강호 파워 마약왕 개봉 첫날 박스오피스 1위 http://www.newsculture.asiae.co.kr/sub_read.html?uid=161076 … 뉴스컬처
#송강호 #마약왕 #배두나 #조정석 #김소진"
123,일년 내내 마약왕 드립 들을거 생각하니 벌써 편두통이 오네...
124,실제로 본 조우진은 내눈엔 이런 얼굴인데 화면이 잘 안받는지 못생기게 찍는지 항상 약간 눈 돌아가 있음 근데 마약왕에서 제대로 안광 터진다고ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ pic.twitter.com/bxbFJpPpgb
125,"70년대 마약왕 선택한 송강호, 약이 될까 독이 될까 (출처 : 중앙일보 | 네이버 뉴스) http://naver.me/GkseSdgO "
126,안들어오는 동안...영화에 영혼 판 사람처럼 영화만 보고다녔네요 정말 트루먼쇼 재개봉보고 부하들 한번 더 보고 스파이더맨보고 그런데 마약왕 개봉하자마자 관 잡아먹는거 너무너무 화나가지고
127,샘들 이러면 21일은 영민관 마약왕밖에 없는건가요?? 
128,마약왕 시사 후기 보니까 더 궁금해졌어…
129,RT @ [마약왕] 실제 현장 사진과 기사 http://extmovie.maxmovie.com/xe/movietalk/41121436 …
130,"‘마약왕’, 개봉 첫날 박스오피스 1위 등극..2위 ‘아쿠아맨’-3위 ‘스윙키즈’   / 브레이크뉴스  "
131,마약왕 평 보면 볼수록 강호쏭때문에 보고 싶어지네 ....
132,"마약왕 뭔데.. 대체 뭔데 우리 본부장도 들어와서는 ""마약왕 절대 보지마!!""라는 소리까지 하게 만드는데.."
133,"<마약왕>, <스윙키즈>, <아쿠아맨> 중에 이렇다할 흥행작이 안 보이는 이유는 관객층이 분산되어서 그런 건 아닐까"
134,마약왕이 박스오피스1위고 스윙키즈가 3위라니... 둘이 바뀌어야 하는거 아닌지?ㅠㅠ 스윙키즈 생각보다 힘을 못 쓰네.. 진짜 아쉽다 올해 한국상업영화중 가장 좋았는데.. 아 사람들아 마약왕볼거면 스윙키즈를 봐ㅠㅠㅠ
135,리얼은 오씨엔에서 하길래 존나 빠개면서 봤는데(비급영화 팡인) 염력은 안봤다 마약왕 그렇게 비급인가
136,마약엔 손도 안대는 마약왕 한재호X중독 조현수 #재호현수
137,명품 배우 열정 연기! '마약왕' 개봉: http://youtu.be/ayq8a2h3HM0?a  (@YouTube)
138,송강호 선생님 <박쥐>에서 검정 목티 소화하시더니 <마약왕>에서는 하얀 목티(반팔) 소화하심. 근데 영화가 진짜 어우.
139,마약왕보러왔는데 신분증검사받음 ㅎㅎㅎㅎㅎㅎ
140,애인님이 죽 사러 가셨다... 매생이굴죽 먹고 마약왕 될 것이다....
141,"‘마약왕’ ‘스윙키즈’ 등 대작 몰린 겨울 극장가

‘추석 악몽’ 재현 우려

https://goo.gl/QVVJ8t "
142,마약왕 보러왔3
143,마약왕 상영할 상영관 하나만 양보해도 충분하겠다 #부하들_내리지마 양심이있으면 스크린 독점 그만해라
