,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
42,가시,20140410,142170,멜로/로맨스,청소년 관람불가,30687,9,0,0,0,102,172,0,1,7.0,17.0,3618.0,339,1602,22760,small
43,맨홀,20141008,133663,공포(호러),청소년 관람불가,4750,0,0,12,3,30,159,0,3,11.0,17.0,3931.0,283,1351,22901,big
44,터널 3D,20140820,80989,공포(호러),15세 관람가,5947,0,0,0,0,0,0,1,2,6.0,17.0,3571.0,259,813,12290,small
45,설계,20140918,45726,스릴러,청소년 관람불가,92767,0,0,0,0,32,28,0,3,2.0,6.0,1635.0,252,832,7511,small
46,백프로,20140403,37909,코미디,15세 관람가,1985,0,0,15,12,74,103,0,1,6.0,8.0,1507.0,229,803,6621,small
47,베테랑,20150805,13414009,액션,15세 관람가,93360,47,6,34,34,120,296,1,2,39.0,145.0,25421.0,961,5068,432293,big
48,암살,20150722,12705700,액션,15세 관람가,81348,40,4,34,18,119,298,1,2,37.0,64.0,14375.0,1321,6518,485275,big
49,내부자들,20151119,7055332,범죄,청소년 관람불가,35719,16,2,35,15,84,263,0,3,712.0,1814.0,113784.0,977,4796,334656,big
50,사도,20150916,6246849,사극,12세 관람가,42818,97,8,39,15,131,284,0,3,15.0,63.0,14455.0,1172,6405,251862,big
51,연평해전,20150624,6043784,드라마,12세 관람가,17579,9,1,4,6,86,294,0,2,42.0,81.0,9223.0,744,3377,184007,big
52,검은 사제들,20151105,5442128,미스터리,15세 관람가,19521,10,1,19,14,105,270,0,3,19.0,39.0,7584.0,928,5209,348541,big
53,히말라야,20151216,5129409,드라마,12세 관람가,23893,9,4,16,8,111,252,0,4,77.0,168.0,26776.0,998,4860,212298,big
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,사극,12세 관람가,7541,1,0,7,14,66,169,1,4,14.0,34.0,8202.0,758,3766,120452,big
55,스물,20150325,3044811,코미디,15세 관람가,23837,2,0,3,3,122,301,0,1,58.0,167.0,18501.0,815,4459,141856,big
56,극비수사,20150618,2860786,드라마,15세 관람가,10789,15,0,21,17,75,231,0,2,18.0,37.0,6663.0,795,4400,266634,big
57,탐정 : 더 비기닝,20150924,2625686,코미디,15세 관람가,6376,2,0,1,5,87,235,0,3,49.0,200.0,24775.0,503,2291,109452,big
58,악의 연대기,20150514,2192525,스릴러,15세 관람가,10953,1,0,5,8,72,182,0,1,22.0,65.0,12711.0,728,4077,192272,big
59,강남 1970,20150121,2192276,액션,청소년 관람불가,20733,15,0,5,0,89,203,1,4,12.0,48.0,10822.0,710,2902,143139,big
60,뷰티 인사이드,20150820,2053435,판타지,12세 관람가,23636,0,0,30,27,48,111,1,2,81.0,237.0,29229.0,642,2857,139655,big
61,오늘의 연애,20150114,1891993,멜로/로맨스,15세 관람가,17057,19,0,2,2,127,227,1,4,9.0,35.0,7684.0,600,2922,148242,big
62,쎄시봉,20150205,1715370,멜로/로맨스,15세 관람가,14729,25,0,23,14,96,226,1,4,25.0,66.0,11447.0,786,4039,140566,big
63,더 폰,20151022,1593694,스릴러,15세 관람가,6409,2,0,8,8,51,160,0,3,37.0,88.0,18634.0,749,3607,159948,big
64,대호,20151216,1584168,사극,12세 관람가,15321,11,0,20,2,106,328,0,4,27.0,92.0,19064.0,862,3676,117563,big
65,차이나타운,20150429,1472106,범죄,청소년 관람불가,23441,6,0,15,5,80,260,0,1,22.0,39.0,6348.0,479,2208,104813,mid
66,장수상회,20150409,1165780,멜로/로맨스,12세 관람가,9525,30,2,8,6,105,238,0,1,38.0,116.0,17046.0,660,3257,76224,big
67,성난 변호사,20151008,1128288,범죄,15세 관람가,5356,2,0,0,2,46,118,0,3,65.0,123.0,13682.0,592,2768,135724,big
68,간신,20150521,1110246,사극,청소년 관람불가,14926,8,0,4,7,113,262,0,1,10.0,40.0,8947.0,681,3100,108364,big
69,그놈이다,20151028,1046015,스릴러,15세 관람가,14737,0,0,7,10,68,182,0,3,17.0,39.0,6343.0,547,2548,85084,mid
70,미쓰 와이프,20150813,988451,코미디,15세 관람가,9913,0,0,6,1,67,250,1,2,32.0,101.0,15981.0,417,1525,77215,mid
71,허삼관,20150114,955679,드라마,12세 관람가,11846,18,0,27,10,97,226,1,4,37.0,53.0,7868.0,595,2672,81625,big
72,살인의뢰,20150312,855980,범죄,청소년 관람불가,4746,0,0,6,8,62,177,0,1,9.0,25.0,6359.0,545,2752,118786,small
73,손님,20150709,828025,판타지,15세 관람가,73856,0,0,14,8,120,228,1,2,18.0,40.0,7612.0,578,2593,146429,big
74,열정같은소리하고있네,20151125,654102,드라마,15세 관람가,6445,3,0,22,4,52,94,0,3,22.0,53.0,10298.0,558,2584,54359,big
75,특종: 량첸살인기,20151022,616481,스릴러,15세 관람가,5544,3,0,1,1,67,170,0,3,34.0,120.0,24712.0,762,3599,90570,big
76,서부전선,20150924,609063,전쟁,12세 관람가,6398,0,0,25,6,110,169,0,3,10.0,18.0,4899.0,494,2097,58632,big
77,헬머니,20150305,522929,코미디,청소년 관람불가,3301,0,0,3,5,55,59,0,1,12.0,18.0,3904.0,390,1973,50648,big
78,위험한 상견례 2,20150429,472693,멜로/로맨스,15세 관람가,7415,0,0,0,4,57,53,0,1,13.0,28.0,5687.0,396,1287,30961,big
79,순수의 시대,20150305,469891,사극,청소년 관람불가,10096,2,0,5,2,85,138,0,1,23.0,51.0,10127.0,527,2666,76609,big
80,오피스,20150903,441208,스릴러,15세 관람가,214023,3,0,2,6,91,189,0,3,14.0,70.0,13061.0,402,1859,60307,mid
81,"협녀, 칼의 기억",20150813,431310,사극,15세 관람가,10491,7,0,22,6,58,133,1,2,11.0,28.0,6453.0,544,2327,88307,big
82,무뢰한,20150527,414641,멜로/로맨스,청소년 관람불가,14066,8,0,0,5,67,237,0,1,21.0,46.0,8043.0,477,2297,42740,mid
