,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
177,기억의 밤,20171129,1386611,미스터리,15세 관람가,47648,2,0,2,3,98,205,0,3,23.0,42.0,7136.0,715,3308,85407,mid
178,브이아이피,20170823,1373316,범죄,청소년 관람불가,6476,11,0,10,3,82,216,1,2,28.0,39.0,7480.0,902,3846,160166,small
179,특별시민,20170426,1362634,드라마,15세 관람가,53910,0,0,47,13,85,248,0,1,21.0,57.0,8631.0,1145,5535,143788,big
180,장산범,20170817,1306438,미스터리,15세 관람가,4351,2,1,4,4,111,230,1,2,19.0,49.0,10307.0,662,2752,150114,big
181,악녀,20170608,1208081,액션,청소년 관람불가,20383,10,0,3,2,99,240,0,2,9.0,18.0,4413.0,608,2608,100992,big
182,해빙,20170301,1204600,스릴러,15세 관람가,6742,2,0,6,8,92,221,0,1,5.0,9.0,3024.0,826,3897,188253,big
183,하루,20170615,1129609,스릴러,15세 관람가,371130,1,0,3,4,131,263,0,2,8.0,36.0,7124.0,716,3887,126443,mid
184,불한당: 나쁜 놈들의 세상,20170517,939535,범죄,청소년 관람불가,7822,10,0,24,6,130,270,0,1,41.0,206.0,26263.0,813,3821,91536,big
185,대립군,20170531,837500,드라마,15세 관람가,7200,18,1,13,9,128,221,0,1,28.0,62.0,10744.0,790,3466,98420,small
186,아빠는 딸,20170412,647305,코미디,12세 관람가,53393,0,0,0,3,53,52,0,1,10.0,33.0,7428.0,467,2131,36694,mid
187,침묵,20171102,494097,드라마,15세 관람가,37609,19,0,24,6,110,220,0,3,18.0,43.0,6332.0,625,2625,70603,big
188,리얼,20170628,470105,액션,청소년 관람불가,183843,0,0,5,10,113,293,0,2,7.0,18.0,3891.0,915,3790,83763,big
189,반드시 잡는다,20171129,446780,스릴러,15세 관람가,3555,1,0,6,9,32,40,0,3,14.0,31.0,7267.0,558,2510,45291,big
190,원라인,20170329,435048,범죄,15세 관람가,6101,1,0,5,5,102,189,0,1,23.0,44.0,9888.0,598,2304,41854,big
191,보통사람,20170323,383336,드라마,15세 관람가,22056,1,0,1,2,77,130,0,1,16.0,40.0,6396.0,620,2541,55345,small
192,대장 김창수,20171019,381483,드라마,12세 관람가,4814,0,0,6,5,84,130,0,3,43.0,95.0,14275.0,716,2984,57917,mid
193,석조저택 살인사건,20170509,353517,스릴러,15세 관람가,3955,4,0,8,7,29,74,0,1,10.0,26.0,5540.0,471,1931,45342,mid
194,싱글라이더,20170222,351276,드라마,15세 관람가,7476,0,0,22,7,82,176,1,4,25.0,43.0,5453.0,543,2298,47097,small
195,7호실,20171115,347790,코미디,15세 관람가,4710,5,0,4,3,108,265,0,3,29.0,49.0,6379.0,596,2719,48819,big
196,희생부활자,20171012,323628,미스터리,15세 관람가,3057,15,0,8,4,51,132,0,3,9.0,9.0,2895.0,742,3484,59020,big
197,미옥,20171109,238587,범죄,청소년 관람불가,3624,1,0,13,3,71,223,0,3,5.0,13.0,2623.0,623,3050,49023,mid
198,어느날,20170405,234829,멜로/로맨스,15세 관람가,167548,9,0,7,3,91,175,0,1,12.0,28.0,5208.0,474,1921,25243,small
199,채비,20171109,177428,드라마,12세 관람가,8711,0,0,5,1,37,47,0,3,6.0,25.0,5187.0,461,1121,16311,small
200,비정규직 특수요원,20170316,149719,코미디,15세 관람가,6094,0,0,0,0,45,34,0,1,11.0,17.0,3559.0,469,1686,25918,small
201,로마의 휴일,20170830,134827,코미디,15세 관람가,6480,0,0,0,3,45,34,1,2,12.0,45.0,11008.0,406,1706,17872,mid
202,시간위의 집,20170405,128975,미스터리,15세 관람가,3039,0,0,5,7,79,99,0,1,35.0,77.0,6086.0,413,1555,15481,mid
203,루시드 드림,20170222,102170,SF,15세 관람가,4999,1,0,22,5,55,66,1,4,14.0,39.0,6135.0,460,1548,17276,big
204,"그래, 가족",20170215,46623,코미디,12세 관람가,12899,0,0,3,6,67,53,1,4,10.0,11.0,2798.0,353,874,7134,small
205,역모-반란의 시대,20171123,30116,사극,15세 관람가,2810,0,0,1,6,46,63,0,3,5.0,14.0,2314.0,346,719,5022,small
206,이웃집 스타,20170921,10854,코미디,12세 관람가,6325,0,0,0,1,27,17,0,3,5.0,8.0,1704.0,245,421,1727,small
207,구세주: 리턴즈,20170914,6151,코미디,15세 관람가,1071,0,0,0,0,13,3,0,3,2.0,4.0,1176.0,118,188,725,small
208,신과함께-인과 연,20180801,12274353,판타지,12세 관람가,15760,38,8,25,24,136,257,1,2,42.0,99.0,21749.0,2049,10149,1134364,small
209,안시성,20180919,5438066,사극,12세 관람가,15363,2,2,3,7,134,271,0,3,31.0,123.0,25250.0,1156,4891,155869,big
210,완벽한 타인,20181031,5194618,드라마,15세 관람가,12795,0,2,19,21,83,233,0,3,136.0,590.0,47110.0,1083,5131,230817,small
211,독전,20180522,5063620,범죄,15세 관람가,13460,13,3,12,12,138,247,0,1,12.0,36.0,7117.0,1070,5158,232080,big
212,공작,20180808,4974463,드라마,12세 관람가,39433,24,0,24,18,128,248,1,2,27.0,62.0,15097.0,1080,4342,315186,big
213,암수살인,20181003,3789222,범죄,15세 관람가,8764,0,0,15,11,107,224,0,3,25.0,111.0,20512.0,972,5014,271002,big
214,마녀,20180627,3189091,미스터리,15세 관람가,41221,11,0,10,4,107,241,0,2,10.0,32.0,7836.0,888,3995,117505,small
215,탐정: 리턴즈,20180613,3152873,코미디,15세 관람가,5997,4,0,1,5,62,194,0,2,25.0,94.0,15947.0,961,4858,151489,big
216,너의 결혼식,20180822,2820685,멜로/로맨스,12세 관람가,11237,0,0,11,2,91,223,1,2,21.0,145.0,31020.0,787,3527,106406,mid
217,곤지암,20180328,2675575,공포(호러),15세 관람가,6632,5,0,0,1,112,272,0,1,153.0,623.0,68083.0,870,3817,167373,big
218,지금 만나러 갑니다,20180314,2602273,멜로/로맨스,12세 관람가,9915,0,0,24,4,98,182,0,1,35.0,130.0,22580.0,1020,4390,100273,big
219,목격자,20180815,2524634,스릴러,15세 관람가,26130,0,0,3,9,115,245,1,2,37.0,122.0,24080.0,828,3670,236005,big
220,조선명탐정: 흡혈괴마의 비밀,20180208,2444145,사극,12세 관람가,5073,1,0,7,14,90,171,1,4,72.0,202.0,35646.0,1190,6240,208522,big
221,국가부도의 날,20181128,2222059,드라마,12세 관람가,7876,0,0,19,9,129,229,0,3,22.0,111.0,19208.0,1156,5799,241809,big
222,명당,20180919,2086418,사극,12세 관람가,14134,0,0,20,14,145,196,0,3,21.0,64.0,11099.0,1052,4463,104527,mid
223,협상,20180919,1967149,범죄,15세 관람가,50670,0,0,19,4,105,222,0,3,50.0,125.0,24577.0,883,3809,82836,big
224,창궐,20181025,1599290,사극,15세 관람가,11646,3,2,4,2,125,249,0,3,20.0,61.0,11370.0,1312,6514,234062,big
225,성난황소,20181122,1540004,범죄,15세 관람가,5825,0,0,1,5,56,142,0,3,311.0,1151.0,84548.0,990,4563,189770,big
226,리틀 포레스트,20180228,1505997,드라마,전체 관람가,11447,15,0,24,5,105,303,1,4,35.0,84.0,15598.0,848,4187,125743,mid
227,골든슬럼버,20180214,1387508,범죄,15세 관람가,6084,0,0,18,19,112,218,1,4,23.0,48.0,8685.0,799,3597,189585,big
228,궁합,20180228,1340117,코미디,12세 관람가,23869,0,0,5,3,116,249,1,4,7.0,20.0,4602.0,871,4204,177609,big
229,사라진 밤,20180307,1315726,스릴러,15세 관람가,10544,0,0,1,4,110,173,0,1,33.0,52.0,8223.0,662,3196,71161,mid
230,바람 바람 바람,20180405,1194229,코미디,청소년 관람불가,6165,2,0,4,5,124,181,0,1,38.0,101.0,17430.0,910,4208,145962,big
231,챔피언,20180501,1128774,드라마,12세 관람가,29365,1,0,1,6,76,163,0,1,11.0,14.0,3455.0,808,3836,85700,small
232,염력,20180131,990111,드라마,15세 관람가,7902,18,2,11,7,126,243,1,4,8.0,31.0,8581.0,1067,6020,156657,big
233,인랑,20180725,898945,SF,15세 관람가,10195,37,4,13,15,136,244,1,2,69.0,96.0,19666.0,1030,4203,155027,small
234,레슬러,20180509,771141,드라마,15세 관람가,8150,0,0,7,10,97,165,0,1,156.0,595.0,53608.0,887,4556,62226,big
235,상류사회,20180829,768249,드라마,청소년 관람불가,11005,0,0,7,3,80,178,1,2,6.0,15.0,3288.0,842,3638,101258,small
236,물괴,20180912,723951,액션,15세 관람가,7215,2,0,5,5,125,254,0,3,27.0,52.0,7437.0,1165,6437,92549,small
237,미쓰백,20181011,722004,드라마,15세 관람가,7084,1,0,4,2,114,275,0,3,8.0,59.0,10432.0,584,2171,38716,mid
238,버닝,20180517,528372,미스터리,청소년 관람불가,14642,69,0,4,3,122,272,0,1,9.0,14.0,3101.0,724,2717,66689,mid
239,7년의 밤,20180328,528007,스릴러,15세 관람가,13150,14,1,10,5,94,192,0,1,19.0,52.0,7911.0,840,3287,78228,big
240,변산,20180704,490519,드라마,15세 관람가,7676,97,8,5,1,78,209,1,2,14.0,110.0,18814.0,733,3093,42887,mid
241,동네사람들,20181107,460381,액션,15세 관람가,37499,0,0,7,6,40,114,0,3,10.0,27.0,4731.0,691,2943,52995,mid
242,원더풀 고스트,20180926,450374,코미디,12세 관람가,3365,0,0,1,5,21,75,0,3,12.0,33.0,6318.0,348,1821,78766,small
243,흥부: 글로 세상을 바꾼 자,20180214,416303,사극,12세 관람가,780,9,0,4,6,63,184,1,4,8.0,16.0,3850.0,568,2067,62431,big
244,도어락,20181205,395313,스릴러,15세 관람가,4619,0,0,0,3,118,241,0,4,44.0,108.0,20042.0,876,4178,125088,mid
245,허스토리,20180627,336100,드라마,12세 관람가,6906,8,0,8,4,75,230,0,2,55.0,190.0,32406.0,651,2558,31753,big
246,덕구,20180405,315359,드라마,전체 관람가,2781,0,0,0,1,31,102,0,1,9.0,49.0,11763.0,478,1649,26425,mid
247,번 더 스테이지: 더 무비,20181115,315014,기타,전체 관람가,1036,0,0,0,0,52,131,0,3,,,,209,597,59979,small
248,치즈인더트랩,20180314,229005,멜로/로맨스,15세 관람가,16072,0,0,1,3,116,141,0,1,43.0,52.0,6155.0,344,1573,24203,mid
249,속닥속닥,20180713,217444,공포(호러),15세 관람가,2522,0,0,0,0,56,122,1,2,7.0,11.0,2542.0,292,1276,53865,small
250,나를 기억해,20180419,141222,미스터리,청소년 관람불가,132994,0,0,2,1,42,73,0,1,2.0,5.0,833.0,514,2337,24967,mid
251,독전: 익스텐디드 컷,20180718,137871,범죄,15세 관람가,416,13,3,12,12,108,183,1,2,,,,300,604,17764,big
252,게이트,20180228,101381,범죄,15세 관람가,27412,0,0,11,9,27,33,1,4,5.0,9.0,1890.0,196,542,13924,small
253,여중생A,20180620,97850,드라마,12세 관람가,4849,0,0,1,1,166,240,0,2,18.0,34.0,5877.0,460,1453,8253,small
254,여곡성,20181108,67368,공포(호러),15세 관람가,3475,0,0,4,1,76,128,0,3,3.0,7.0,1586.0,199,804,13249,small
255,번개맨과 신비의 섬,20180405,60561,가족,전체 관람가,69,0,0,0,0,0,4,0,1,3.0,3.0,638.0,138,230,6684,small
256,머니백,20180412,53610,액션,15세 관람가,2180,0,0,17,14,24,39,0,1,14.0,27.0,5079.0,466,1130,9227,mid
257,데자뷰,20180530,48279,미스터리,15세 관람가,4593,0,0,0,0,44,51,0,1,6.0,9.0,1665.0,492,1504,9074,mid
258,비밥바룰라,20180124,47565,코미디,12세 관람가,1795,0,0,0,1,25,26,1,4,9.0,12.0,1976.0,339,618,6802,mid
259,배반의 장미,20181018,41054,코미디,15세 관람가,3616,0,0,1,4,38,45,0,3,5.0,5.0,1012.0,445,1204,7790,small
260,해피 투게더,20181115,26141,드라마,12세 관람가,34161,0,0,0,4,15,27,0,3,8.0,13.0,1998.0,232,344,3084,small
261,번개맨의 비밀,20181206,6315,가족,전체 관람가,183,0,0,0,0,0,1,0,4,3.0,7.0,1289.0,234,286,6361,small
