,Unnamed: 0,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season,배우수상,배우파워,개봉전트윗,개봉후트윗
22,22,방황하는 칼날,20140410,989906,씨제이이앤엠(주),범죄,4496,3,0,12.0,43.0,7863.0,481,2217,66643,518,2396,84300,594,2741,157498,청소년 관람불가,1932,155,0,1,12,4,110,215
23,23,우리는 형제입니다,20141023,970373,(주)쇼박스,코미디,10506,10,0,69.0,119.0,4348.0,517,2569,62171,533,2706,75401,547,2936,141213,12세 관람가,5789,669,0,3,11,6,53,226
24,24,카트,20141113,812490,(주)리틀빅픽쳐스,드라마,18289,5,0,51.0,195.0,30423.0,533,2646,101033,544,2655,57791,539,2678,125500,12세 관람가,48999,3049,0,3,12,6,135,294
25,25,관능의 법칙,20140213,781516,롯데쇼핑㈜롯데엔터테인먼트,드라마,7556,4,0,22.0,103.0,21016.0,591,2748,58083,588,2785,76470,532,2420,106949,청소년 관람불가,0,0,1,4,20,3,76,131
26,26,상의원,20141224,676632,"(주)쇼박스,(주)와우픽쳐스",사극,13202,3,0,77.0,206.0,18634.0,466,2171,108567,454,2010,179740,453,1931,66867,15세 관람가,8746,1553,0,4,6,4,90,211
27,27,플랜맨,20140109,632299,롯데쇼핑㈜롯데엔터테인먼트,드라마,4349,0,0,46.0,83.0,16573.0,458,2024,54251,441,2029,56264,433,2006,111867,15세 관람가,0,0,1,4,13,3,77,169
28,28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,12694,19,1,408.0,1128.0,47328.0,500,2497,121991,508,2451,67165,480,2119,93916,청소년 관람불가,2136,461,0,2,4,1,82,115
29,29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,14115,1,0,12.0,17.0,3869.0,518,2327,48348,523,2361,53277,515,2314,128083,15세 관람가,39795,8414,0,3,0,1,98,203
30,30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,5908,0,0,4.0,12.0,2847.0,366,1150,39397,381,2040,51779,402,2132,55598,청소년 관람불가,2734,323,0,2,1,5,55,158
31,31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,39560,0,0,7.0,11.0,2366.0,469,2235,67380,489,2346,79801,527,2638,118950,청소년 관람불가,83,20,0,1,1,3,101,200
32,32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,23347,0,0,26.0,48.0,9266.0,159,653,27304,169,697,29139,192,804,55258,12세 관람가,0,0,1,4,14,12,134,304
33,33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,6683,2,0,7.0,13.0,2168.0,325,920,24638,416,2105,50390,416,2127,68836,15세 관람가,3750,364,1,2,2,1,52,124
34,34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,5580,1,0,19.0,37.0,6799.0,388,1963,60234,384,1717,73883,379,1535,91330,12세 관람가,0,0,1,4,11,4,54,126
35,35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,12554,1,0,21.0,49.0,8522.0,536,2681,67072,509,2510,87072,474,2253,67742,청소년 관람불가,7380,1585,0,3,4,4,47,55
36,36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,9783,0,0,336.0,1853.0,40584.0,348,1784,38128,354,1752,39276,370,1595,56050,청소년 관람불가,2153,268,1,2,1,4,91,140
37,37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,9345,10,0,474.0,1096.0,29256.0,637,2838,37015,654,2958,55203,630,2903,83246,15세 관람가,2953,761,0,3,29,8,55,168
38,38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,15447,10,0,27.0,36.0,6369.0,291,753,13936,385,1683,47669,374,1644,30549,청소년 관람불가,2252,305,0,2,3,2,110,211
39,39,레드카펫,20141023,316953,(주)프레인글로벌,멜로/로맨스,287654,0,0,24.0,50.0,6916.0,375,1673,26180,385,1761,31504,378,1739,44259,15세 관람가,4017,905,0,3,1,1,104,168
40,40,덕수리 5형제,20141204,210777,롯데쇼핑㈜롯데엔터테인먼트,코미디,4223,0,0,13.0,32.0,5647.0,327,1342,18744,339,1362,23897,346,1257,41273,15세 관람가,1647,604,0,4,4,0,65,85
41,41,아빠를 빌려드립니다,20141120,172652,"메가박스중앙(주)플러스엠,(주)레드로버",코미디,3861,0,0,91.0,120.0,7052.0,324,1140,13283,322,1140,17132,326,1008,34844,12세 관람가,3445,442,0,3,3,9,54,50
42,42,가시,20140410,142170,(주)인벤트스톤,멜로/로맨스,30687,9,0,7.0,17.0,3618.0,339,1638,20553,333,1658,20513,345,1511,27216,청소년 관람불가,2456,413,0,1,0,0,102,172
43,43,맨홀,20141008,133663,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),4750,0,0,11.0,17.0,3931.0,279,1462,26180,285,1332,29174,286,1261,13350,청소년 관람불가,5589,1139,0,3,12,3,30,159
44,44,터널 3D,20140820,80989,(주)박수엔터테인먼트,공포(호러),5947,0,0,6.0,17.0,3571.0,264,916,19255,255,782,9033,258,742,8583,15세 관람가,2869,587,1,2,0,0,0,0
45,45,설계,20140918,45726,(주)팝엔터테인먼트,스릴러,92767,0,0,2.0,6.0,1635.0,252,932,8031,257,888,7214,249,677,7289,청소년 관람불가,613,251,0,3,0,0,32,28
46,46,백프로,20140403,37909,(주)마인스 엔터테인먼트,코미디,1985,0,0,6.0,8.0,1507.0,224,796,5451,227,780,4860,236,834,9552,15세 관람가,1123,138,0,1,15,12,74,103
47,47,베테랑,20150805,13414009,씨제이이앤엠(주),액션,93360,47,6,39.0,145.0,25421.0,957,5096,414219,942,5009,404907,984,5100,477754,15세 관람가,9952,1339,1,2,34,34,120,296
48,48,암살,20150722,12705700,(주)쇼박스,액션,81348,40,4,37.0,64.0,14375.0,1264,6245,477541,1330,6497,435039,1370,6813,543245,15세 관람가,20846,3541,1,2,34,18,119,298
49,49,내부자들,20151119,7055332,(주)쇼박스,범죄,35719,16,2,712.0,1814.0,113784.0,907,4418,230949,954,4638,283518,1072,5334,489503,청소년 관람불가,12198,5619,0,3,35,15,84,263
50,50,사도,20150916,6246849,(주)쇼박스,사극,42818,97,8,15.0,63.0,14455.0,1123,6108,250237,1190,6447,223381,1203,6661,281969,12세 관람가,22459,2652,0,3,39,15,131,284
51,51,연평해전,20150624,6043784,(주)넥스트엔터테인먼트월드(NEW),드라마,17579,9,1,42.0,81.0,9223.0,667,3147,153400,717,3296,170284,850,3688,228338,12세 관람가,28626,3205,0,2,4,6,86,294
52,52,검은 사제들,20151105,5442128,씨제이이앤엠(주),미스터리,19521,10,1,19.0,39.0,7584.0,834,4657,191090,887,4988,272689,1064,5983,581845,15세 관람가,15918,2041,0,3,19,14,105,270
53,53,히말라야,20151216,5129409,씨제이이앤엠(주),드라마,23893,9,4,77.0,168.0,26776.0,1009,4923,203173,978,4733,190883,1007,4926,242838,12세 관람가,13693,1976,0,4,16,8,111,252
54,54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,(주)쇼박스,사극,7541,1,0,14.0,34.0,8202.0,740,3670,113443,766,3741,110284,769,3889,137631,12세 관람가,7406,952,1,4,7,14,66,169
55,55,스물,20150325,3044811,(주)넥스트엔터테인먼트월드(NEW),코미디,23837,2,0,58.0,167.0,18501.0,786,4212,151161,829,4500,114294,831,4667,160114,15세 관람가,27413,2121,0,1,3,3,122,301
56,56,극비수사,20150618,2860786,(주)쇼박스,드라마,10789,15,0,18.0,37.0,6663.0,722,3979,181737,770,4278,205567,894,4945,412599,15세 관람가,9189,1140,0,2,21,17,75,231
57,57,탐정 : 더 비기닝,20150924,2625686,씨제이이앤엠(주),코미디,6376,2,0,49.0,200.0,24775.0,486,2200,50533,494,2294,95087,530,2379,182738,15세 관람가,3319,638,0,3,1,5,87,235
58,58,악의 연대기,20150514,2192525,씨제이이앤엠(주),스릴러,10953,1,0,22.0,65.0,12711.0,693,3816,114540,715,4002,168889,776,4415,293387,15세 관람가,5113,582,0,1,5,8,72,182
59,59,강남 1970,20150121,2192276,(주)쇼박스,액션,20733,15,0,12.0,48.0,10822.0,684,2816,152329,696,2847,128753,752,3044,148335,청소년 관람불가,21361,4102,1,4,5,0,89,203
60,60,뷰티 인사이드,20150820,2053435,(주)넥스트엔터테인먼트월드(NEW),판타지,23636,0,0,81.0,237.0,29229.0,633,2819,114401,646,2885,118845,648,2867,185720,12세 관람가,17219,6346,1,2,30,27,48,111
61,61,오늘의 연애,20150114,1891993,씨제이이앤엠(주),멜로/로맨스,17057,19,0,9.0,35.0,7684.0,577,2798,133838,598,2900,153283,625,3070,157607,15세 관람가,19766,2573,1,4,2,2,127,227
62,62,쎄시봉,20150205,1715370,씨제이이앤엠(주),멜로/로맨스,14729,25,0,25.0,66.0,11447.0,757,3918,96139,773,4016,110021,829,4184,215539,15세 관람가,12076,24436,1,4,23,14,96,226
63,63,더 폰,20151022,1593694,(주)넥스트엔터테인먼트월드(NEW),스릴러,6409,2,0,37.0,88.0,18634.0,705,3328,97241,749,3517,133145,794,3976,249459,15세 관람가,5205,480,0,3,8,8,51,160
64,64,대호,20151216,1584168,(주)넥스트엔터테인먼트월드(NEW),사극,15321,11,0,27.0,92.0,19064.0,892,4005,128396,863,3534,107684,832,3491,116610,12세 관람가,8397,1702,0,4,20,2,106,328
65,65,차이나타운,20150429,1472106,CGV아트하우스,범죄,23441,6,0,22.0,39.0,6348.0,443,2077,90899,495,2272,88335,500,2277,135205,청소년 관람불가,5953,991,0,1,15,5,80,260
66,66,장수상회,20150409,1165780,씨제이이앤엠(주),멜로/로맨스,9525,30,2,38.0,116.0,17046.0,640,3079,53241,653,3215,58574,688,3479,116858,12세 관람가,15600,1136,0,1,8,6,105,238
67,67,성난 변호사,20151008,1128288,씨제이이앤엠(주),범죄,5356,2,0,65.0,123.0,13682.0,607,2839,89466,593,2800,160928,577,2666,156779,15세 관람가,2973,470,0,3,0,2,46,118
68,68,간신,20150521,1110246,롯데쇼핑㈜롯데엔터테인먼트,사극,14926,8,0,10.0,40.0,8947.0,674,3057,83605,673,3140,92994,697,3105,148495,청소년 관람불가,4570,2003,0,1,4,7,113,262
69,69,그놈이다,20151028,1046015,CGV아트하우스,스릴러,14737,0,0,17.0,39.0,6343.0,510,2354,97168,541,2518,68453,590,2773,89633,15세 관람가,5658,575,0,3,7,10,68,182
70,70,미쓰 와이프,20150813,988451,메가박스중앙(주)플러스엠,코미디,9913,0,0,32.0,101.0,15981.0,413,1645,56370,415,1518,84681,425,1412,90596,15세 관람가,4930,729,1,2,6,1,67,250
71,71,허삼관,20150114,955679,(주)넥스트엔터테인먼트월드(NEW),드라마,11846,18,0,37.0,53.0,7868.0,584,2684,73635,621,2687,84013,582,2646,87228,12세 관람가,10731,2165,1,4,27,10,97,226
72,72,살인의뢰,20150312,855980,씨네그루(주)다우기술,범죄,4746,0,0,9.0,25.0,6359.0,481,2492,80774,508,2626,88138,646,3140,187447,청소년 관람불가,8238,1486,0,1,6,8,62,177
73,73,손님,20150709,828025,씨제이이앤엠(주),판타지,73856,0,0,18.0,40.0,7612.0,493,2296,144967,608,2643,112763,634,2842,181557,15세 관람가,7780,1337,1,2,14,8,120,228
74,74,열정같은소리하고있네,20151125,654102,(주)넥스트엔터테인먼트월드(NEW),드라마,6445,3,0,22.0,53.0,10298.0,550,2558,59737,566,2565,45872,560,2631,57470,15세 관람가,8738,935,0,3,22,4,52,94
75,75,특종: 량첸살인기,20151022,616481,롯데쇼핑㈜롯데엔터테인먼트,스릴러,5544,3,0,34.0,120.0,24712.0,776,3626,64516,767,3649,80057,743,3522,127138,15세 관람가,2717,440,0,3,1,1,67,170
76,76,서부전선,20150924,609063,롯데쇼핑㈜롯데엔터테인먼트,전쟁,6398,0,0,10.0,18.0,4899.0,499,2120,47432,489,2155,48953,495,2018,79513,12세 관람가,4085,1098,0,3,25,6,110,169
77,77,헬머니,20150305,522929,(주)넥스트엔터테인먼트월드(NEW),코미디,3301,0,0,12.0,18.0,3904.0,368,1901,35936,380,1968,40055,422,2052,75954,청소년 관람불가,6556,876,0,1,3,5,55,59
78,78,위험한 상견례 2,20150429,472693,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,7415,0,0,13.0,28.0,5687.0,341,783,16506,422,1583,28561,427,1497,47817,15세 관람가,2757,779,0,1,0,4,57,53
79,79,순수의 시대,20150305,469891,씨제이이앤엠(주),사극,10096,2,0,23.0,51.0,10127.0,512,2569,61795,523,2648,59611,546,2782,108423,청소년 관람불가,7092,1436,0,1,5,2,85,138
80,80,오피스,20150903,441208,(주)리틀빅픽쳐스,스릴러,214023,3,0,14.0,70.0,13061.0,382,1842,46567,409,1882,49454,415,1854,84900,15세 관람가,3593,510,0,3,2,6,91,189
81,81,"협녀, 칼의 기억",20150813,431310,롯데쇼핑㈜롯데엔터테인먼트,사극,10491,7,0,11.0,28.0,6453.0,572,2679,79801,562,2410,96717,498,1893,88403,15세 관람가,5465,5503,1,2,22,6,58,133
82,82,무뢰한,20150527,414641,CGV아트하우스,멜로/로맨스,14066,8,0,21.0,46.0,8043.0,482,2281,50014,474,2292,36257,477,2320,41949,청소년 관람불가,4059,553,0,1,0,5,67,237
83,83,내 심장을 쏴라,20150128,387409,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,6833,0,0,8.0,21.0,3969.0,430,2191,60407,422,2162,40561,441,2229,43565,15세 관람가,6860,759,1,4,4,2,79,111
84,84,소수의견,20150624,383582,(주)시네마서비스,드라마,14201,7,0,31.0,71.0,16758.0,378,1842,34334,385,1762,25161,394,1727,33849,15세 관람가,5222,771,0,2,8,11,127,268
85,85,경성학교: 사라진 소녀들,20150618,356415,롯데쇼핑㈜롯데엔터테인먼트,미스터리,7048,13,3,6.0,11.0,2758.0,476,2406,53657,470,2454,55098,489,2486,83336,15세 관람가,8640,1340,0,2,25,7,120,228
86,86,치외법권,20150827,346483,판씨네마(주),액션,6302,0,0,8.0,27.0,5650.0,405,2060,49585,431,2059,46596,446,1935,78064,15세 관람가,3298,653,1,2,3,0,68,88
87,87,극적인 하룻밤,20151203,320884,CGV아트하우스,멜로/로맨스,7220,0,0,2.0,7.0,1362.0,386,1847,35140,398,1891,35249,434,1936,55812,청소년 관람불가,2589,530,0,4,1,5,30,27
88,88,도리화가,20151125,317505,씨제이이앤엠(주),사극,11834,0,0,20.0,33.0,6760.0,544,2372,49216,550,2333,34219,563,2327,39975,12세 관람가,12459,6309,0,3,6,4,113,178
89,89,함정,20150910,257990,(주)인벤트스톤,스릴러,16927,0,0,13.0,43.0,9178.0,359,1200,32277,393,1300,39065,445,1456,65545,청소년 관람불가,2023,551,0,3,1,5,62,87
90,90,조선마술사,20151230,224657,롯데쇼핑㈜롯데엔터테인먼트,드라마,10861,11,0,9.0,16.0,4472.0,596,2437,115456,583,2469,104729,608,2319,145065,12세 관람가,13233,1617,0,4,0,0,111,174
91,91,연애의 맛,20150507,214539,"(주)와우픽쳐스,(주)쇼박스",멜로/로맨스,11278,0,0,5.0,11.0,2385.0,390,1452,16462,398,1469,20694,397,1363,43494,청소년 관람불가,1176,541,0,1,0,0,23,237
92,92,내부자들: 디 오리지널,20151231,160148,(주)쇼박스,범죄,3497,16,2,3.0,7.0,1082.0,595,1533,159066,822,2088,247992,837,2076,232822,청소년 관람불가,0,0,0,4,35,15,117,252
93,93,은밀한 유혹,20150604,145547,씨제이이앤엠(주),멜로/로맨스,6834,0,0,12.0,14.0,3366.0,385,1956,21742,394,1974,19545,393,1926,28714,15세 관람가,4687,738,0,2,5,3,68,78
94,94,나의 절친 악당들,20150625,133553,이십세기폭스코리아(주),범죄,5834,25,0,17.0,27.0,3776.0,384,1596,26887,375,1496,20823,364,1210,24062,청소년 관람불가,1791,530,0,2,4,1,36,63
95,95,퇴마: 무녀굴,20150820,120802,씨네그루(주)다우기술,공포(호러),4891,5,0,8.0,20.0,4043.0,331,981,21790,327,951,19020,322,799,24276,15세 관람가,1993,453,1,2,5,3,35,46
96,96,돌연변이,20151022,100523,필라멘트픽쳐스,드라마,14361,0,0,8.0,26.0,4742.0,365,1089,10379,378,1083,13223,393,1020,26989,12세 관람가,8894,1335,0,3,11,2,76,107
97,97,쓰리 썸머 나잇,20150715,77621,"(주)리틀빅픽쳐스,(주)인벤트스톤",코미디,4146,8,0,8.0,16.0,3243.0,297,945,12378,294,874,10407,295,835,11365,청소년 관람불가,2529,890,1,2,4,8,67,11
98,98,미안해 사랑해 고마워,20151028,51207,(주)쇼박스,드라마,3672,1,0,9.0,14.0,3985.0,333,935,6142,344,972,7072,341,931,5883,15세 관람가,1682,267,0,3,5,1,22,29
99,99,비밀,20151015,50196,CGV아트하우스,미스터리,337082,0,0,3.0,12.0,1959.0,305,791,7539,300,776,8950,302,716,10422,15세 관람가,2057,245,0,3,1,7,98,151
100,100,약장수,20150423,44214,"(주)대명문화공장,(주)나이너스엔터테인먼트",드라마,3157,1,0,6.0,14.0,3203.0,278,632,4006,282,666,4733,272,585,7468,15세 관람가,1262,267,0,1,4,10,20,36
101,101,타투,20151210,12102,와이드 릴리즈(주),스릴러,5260,1,0,1.0,2.0,517.0,81,163,1620,133,208,1889,132,190,2406,청소년 관람불가,2224,371,0,4,0,1,9,8
102,102,검은손,20150416,11650,(주)스톰픽쳐스코리아,공포(호러),10926,0,0,1.0,1.0,326.0,178,428,2126,174,430,1803,171,401,2176,청소년 관람불가,372,145,0,1,0,0,14,8
103,103,부산행,20160720,11565479,(주)넥스트엔터테인먼트월드(NEW),액션,38862,21,2,431.0,2698.0,565286.0,1571,8831,872673,1613,9092,663365,1667,9501,738823,15세 관람가,62952,8779,1,2,22,22,135,311
104,104,검사외전,20160203,9707581,(주)쇼박스,범죄,17261,0,1,20.0,48.0,13008.0,1268,6782,526680,1418,7359,466676,1459,7809,610145,15세 관람가,46891,2492,1,4,21,14,117,276
105,105,밀정,20160907,7500420,워너브러더스 코리아(주),액션,22277,37,4,24.0,93.0,18533.0,1221,5479,287228,1246,5635,260642,1333,6100,337358,15세 관람가,13996,1463,0,3,30,13,119,289
106,106,터널,20160810,7120508,(주)쇼박스,드라마,40254,18,0,24.0,80.0,20854.0,820,3900,379079,854,3962,360239,919,4268,408520,12세 관람가,14152,1854,1,2,33,25,132,316
107,107,인천상륙작전,20160727,7049643,씨제이이앤엠(주),전쟁,22250,8,2,32.0,76.0,12711.0,901,4702,464460,904,4803,354500,942,5032,405477,12세 관람가,35317,4399,1,2,16,9,118,307
108,108,럭키,20161013,6975290,(주)쇼박스,코미디,17297,1,1,345.0,1388.0,146036.0,889,4520,214065,956,4832,315620,1080,5784,632885,15세 관람가,15767,1233,0,3,11,13,107,254
109,109,곡성,20160512,6879908,이십세기폭스코리아(주),미스터리,27560,52,2,895.0,2176.0,176514.0,1125,4815,310042,1252,5169,409661,1471,6360,761360,15세 관람가,15570,2644,0,1,28,14,133,355
110,110,덕혜옹주,20160803,5599229,롯데쇼핑㈜롯데엔터테인먼트,사극,17599,25,1,24.0,90.0,14943.0,774,3458,267112,771,3320,254034,827,3422,282765,12세 관람가,20348,2180,1,2,26,6,130,273
111,111,마스터,20161221,4935320,씨제이이앤엠(주),액션,53757,3,2,35.0,129.0,23444.0,1448,6617,392856,1441,6615,347324,1450,7026,417071,15세 관람가,18671,2331,0,4,42,34,117,283
112,112,판도라,20161207,4313864,(주)넥스트엔터테인먼트월드(NEW),드라마,15983,4,0,28.0,78.0,18372.0,1029,4777,154652,1074,4741,164931,1086,4919,210438,12세 관람가,8338,1519,0,4,10,10,125,261
113,113,아가씨,20160601,4287839,씨제이이앤엠(주),스릴러,47445,91,0,30.0,55.0,10768.0,1016,4701,290024,1069,4824,259971,1122,5104,312873,청소년 관람불가,21671,3963,0,2,31,15,129,348
114,114,귀향,20160224,3587173,(주)와우픽쳐스,드라마,15354,7,0,4.0,15.0,3772.0,205,363,1570,197,351,1502,207,340,1919,15세 관람가,1736,136,1,4,0,2,135,329
115,115,형,20161123,2979659,씨제이이앤엠(주),코미디,163306,2,0,46.0,99.0,20515.0,744,2150,75882,933,4672,136871,922,4869,164294,12세 관람가,25600,1151,0,3,3,4,131,301
116,116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,23131,15,0,44.0,122.0,24846.0,1262,5731,475482,1190,5802,233804,1242,6082,241877,청소년 관람불가,28898,4276,0,3,25,18,132,287
117,117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,8531,2,0,56.0,153.0,31562.0,661,2994,122543,676,3106,101930,704,3286,130409,15세 관람가,6176,668,0,2,14,8,37,183
118,118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,6222,3,0,15.0,66.0,12393.0,747,3393,136701,760,3403,120196,816,3587,155593,12세 관람가,20055,1217,1,2,6,7,60,179
119,119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,4705,6,1,24.0,53.0,9080.0,669,2939,82893,688,2769,192319,718,2945,188592,15세 관람가,6179,660,0,1,5,1,60,187
120,120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,5017,0,0,35.0,186.0,32749.0,675,3141,75630,691,3203,92658,666,2981,173050,15세 관람가,3052,383,0,2,9,13,122,241
121,121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,7319,8,0,37.0,70.0,12265.0,673,3304,155917,646,3178,42433,681,3362,63886,15세 관람가,7164,738,0,1,6,4,73,168
122,122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,20580,97,8,7.0,24.0,5398.0,374,1084,19124,384,1122,26875,403,1168,36130,12세 관람가,8002,520,1,4,7,4,128,281
123,123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,7435,4,0,17.0,42.0,6642.0,633,2903,139198,657,3061,89975,717,3350,113814,15세 관람가,4785,560,0,3,6,2,102,295
124,124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,6878,2,0,43.0,100.0,18045.0,756,3559,92278,764,3613,93085,767,3707,104379,12세 관람가,8363,874,0,4,17,8,95,185
