,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스
160,군함도,2017-07-26,2017.07.26,2017-07-19,2017.07.19,4981
18,인간중독,2014-05-14,2014.05.14,2014-05-07,2014.05.07,4096
116,아수라,2016-09-28,2016.09.28,2016-09-21,2016.09.21,4007
209,안시성,2018-09-19,2018.09.19,2018-09-12,2018.09.12,3806
188,리얼,2017-06-28,2017.06.28,2017-06-21,2017.06.21,3767
88,도리화가,2015-11-25,2015.11.25,2015-11-18,2015.11.18,3521
113,아가씨,2016-06-01,2016.06.01,2016-05-25,2016.05.25,3485
248,치즈인더트랩,2018-03-14,2018.03.14,2018-03-07,2018.03.07,3333
162,더 킹,2017-01-18,2017.01.18,2017-01-11,2017.01.11,3195
238,버닝,2018-05-17,2018.05.17,2018-05-10,2018.05.10,3182
107,인천상륙작전,2016-07-27,2016.07.27,2016-07-20,2016.07.20,3058
59,강남 1970,2015-01-21,2015.01.21,2015-01-14,2015.01.14,2984
71,허삼관,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2968
233,인랑,2018-07-25,2018.07.25,2018-07-18,2018.07.18,2865
38,하이힐,2014-06-03,2014.06.03,2014-05-27,2014.05.27,2842
103,부산행,2016-07-20,2016.07.20,2016-07-13,2016.07.13,2822
205,역모-반란의 시대,2017-11-23,2017.11.23,2017-11-16,2017.11.16,2810
111,마스터,2016-12-21,2016.12.21,2016-12-14,2016.12.14,2781
39,레드카펫,2014-10-23,2014.10.23,2014-10-16,2014.10.16,2568
110,덕혜옹주,2016-08-03,2016.08.03,2016-07-27,2016.07.27,2543
73,손님,2015-07-09,2015.07.09,2015-07-02,2015.07.02,2520
161,청년경찰,2017-08-09,2017.08.09,2017-08-02,2017.08.02,2520
61,오늘의 연애,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2477
48,암살,2015-07-22,2015.07.22,2015-07-15,2015.07.15,2459
194,싱글라이더,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2445
20,빅매치,2014-11-27,2014.11.27,2014-11-20,2014.11.20,2389
106,터널,2016-08-10,2016.08.10,2016-08-03,2016.08.03,2370
158,공조,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2331
164,강철비,2017-12-14,2017.12.14,2017-12-07,2017.12.07,2300
7,신의 한 수,2014-07-03,2014.07.03,2014-06-26,2014.06.26,2281
104,검사외전,2016-02-03,2016.02.03,2016-01-27,2016.01.27,2266
53,히말라야,2015-12-16,2015.12.16,2015-12-09,2015.12.09,2218
90,조선마술사,2015-12-30,2015.12.30,2015-12-23,2015.12.23,2210
29,패션왕,2014-11-06,2014.11.06,2014-10-30,2014.10.30,2182
55,스물,2015-03-25,2015.03.25,2015-03-18,2015.03.18,2145
78,위험한 상견례 2,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2109
115,형,2016-11-23,2016.11.23,2016-11-16,2016.11.16,2095
208,신과함께-인과 연,2018-08-01,2018.08.01,2018-07-25,2018.07.25,2077
163,꾼,2017-11-22,2017.11.22,2017-11-15,2017.11.15,2020
40,덕수리 5형제,2014-12-04,2014.12.04,2014-11-27,2014.11.27,2003
239,7년의 밤,2018-03-28,2018.03.28,2018-03-21,2018.03.21,1999
62,쎄시봉,2015-02-05,2015.02.05,2015-01-29,2015.01.29,1986
125,오빠생각,2016-01-21,2016.01.21,2016-01-14,2016.01.14,1978
28,우는 남자,2014-06-04,2014.06.04,2014-05-28,2014.05.28,1975
211,독전,2018-05-22,2018.05.22,2018-05-15,2018.05.15,1974
170,조작된 도시,2017-02-09,2017.02.09,2017-02-02,2017.02.02,1968
52,검은 사제들,2015-11-05,2015.11.05,2015-10-29,2015.10.29,1963
93,은밀한 유혹,2015-06-04,2015.06.04,2015-05-28,2015.05.28,1954
105,밀정,2016-09-07,2016.09.07,2016-08-31,2016.08.31,1914
218,지금 만나러 갑니다,2018-03-14,2018.03.14,2018-03-07,2018.03.07,1879
223,협상,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1848
