,영화명,실제관객수,실제관객수2,실제관객수3,관객수예측
0,말모이,2802729,ABOVE2.5m,9,ABOVE6m
1,스윙키즈,1470502,ABOVE1m,12,ABOVE6m
2,마약왕,1863718,ABOVE1.5m,11,ABOVE5m
3,트와이스랜드,18254,UNDER500K,14,UNDER500K
4,리벤져,3232,UNDER500K,14,UNDER500K
5,극한직업,14764931,ABOVE10m,0,ABOVE3.5m
6,뺑반,1825636,ABOVE1.5m,11,ABOVE1.5m
