배급사크기,개봉일,관객수,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수
big,20158677.126666665,2599982.526666667,20665.486666666668,9.886666666666667,0.7066666666666667,12.913333333333334,8.113333333333333,103.10666666666667,210.24666666666667,0.3333333333333333,2.6,9882.973333333333,1680.8933333333334,68.10738255033557,214.61744966442953,23276.872483221476,780.3466666666667,3668.52,170443.22666666665
mid,20165299.64,856604.1,34722.46,9.14,0.54,4.9,4.78,82.08,167.2,0.26,2.34,5723.1,985.52,27.44,78.26,10422.9,552.54,2331.62,64298.44
small,20163451.741935484,951270.4354838709,21573.290322580644,4.5,0.3387096774193548,5.983870967741935,4.67741935483871,68.06451612903226,131.38709677419354,0.25806451612903225,2.3548387096774195,3092.8387096774195,475.1290322580645,30.360655737704917,76.42622950819673,9225.934426229509,488.741935483871,1950.2096774193549,73362.67741935483
