,0
0,"친구들이랑 영화보러간당

극한직업보러간다"
1,"190123 컬투쇼 극한직업 얍
#공명 #GONGMYOUNG"
2,"징짜 극한직업 모두들 꼭 보세요,,
진짜 개꿀잼 제발 다들 보세요ㅋㅋㅋㅋㅋㅋ"
3,오늘 영화 보러가시는 분들 모두 잘 관람하고 오세요ㅠㅠ 전 내일 이랍니다.  꺅! 오늘은 극한직업 보고 오겟숩니다ㅋㅋ pic.twitter.com/4sM5IldIYw
4,"＇극한직업＇ 박스오피스 1위, ＇코미디·1월 영화＇ 역대 최다 오프닝 갱신 https://movie.v.daum.net/v/20190124144910099 …
예고편은 수없이 봐도 재밌을거 같던데...함 극장가서 보고싶긴 하당."
5,비엘 작가 극한직업임....
6,극한직업 보러왔어여 ><
7,"죽어서 영화 살리는 남자 류승룡, 좀비 마약반장으로 화려하게 부활!

지난 23일(수) 개봉한 영화 <극한직업>, 개봉 첫 날부터 박스오피스 1위를 차지하며 개봉 3일 만인 26일(금) 누적 관객 1백만명 돌파 예상.

https://blog.naver.com/cinemaplus/221450579716 … pic.twitter.com/nXFGPcDrni"
8,"[soul.g_heo] 190125

극한직업 선희  많이 사랑해주세요 #극한직업#선희#장진희#사랑해

https://www.instagram.com/p/BtDAUICngby/?utm_source=ig_share_sheet&igshid=81t6rs3y5trx … pic.twitter.com/scyXVXM08k"
9,극한직업 : 코로코로 기어 콘테스트 관계자들 
10,‘극한직업’ 개봉 3일 만에 100만 돌파…박스오피스 1위 ‘굳건’ 
11,어쩌다 보니 벌써 2차 극한직업 재밌어용 맹이횽 짱귀여워 ㅋㅋㅋㅋㅋ 
12,극한직업 어때
13,"이번 주말에 보러가자 친구야 +_+

#극한직업 #류승룡 #이하늬 #공명 #진선규 #이동휘 http://dispatch.co.kr/2002591 "
14,극한직업 보고 왔는데 공띵 기엽네ㅠㅠ
15,"심야영화로 극한직업 보고 너무 해보고싶은 작품이 생겼다.
여성주연 코미디형사수사범죄물.ㅠ
수십년간 한국에서 거의 사골국물우려먹듯이 계속나오는 이 장르 클리셰 똑같이 가져다가 캐릭터 성별만 바꿔도 진짜 ㄹㅇ 개갓꿀잼일거같은데ㅠㅜ 목표삼는다ㄹㅇ..
(아 영화는 개웃겼음ㅋㅋㅋㅋ개그개짱"
