,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,개봉전뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스
0,군함도,2017-07-26,2017.07.26,2017-07-19,2017.07.19,4981,2017-08-02,2017.08.02,2776
1,인간중독,2014-05-14,2014.05.14,2014-05-07,2014.05.07,4096,2014-05-21,2014.05.21,996
2,아수라,2016-09-28,2016.09.28,2016-09-21,2016.09.21,4007,2016-10-05,2016.10.05,1418
3,안시성,2018-09-19,2018.09.19,2018-09-12,2018.09.12,3806,2018-09-26,2018.09.26,1926
4,리얼,2017-06-28,2017.06.28,2017-06-21,2017.06.21,3767,2017-07-05,2017.07.05,2241
5,도리화가,2015-11-25,2015.11.25,2015-11-18,2015.11.18,3521,2015-12-02,2015.12.02,878
6,아가씨,2016-06-01,2016.06.01,2016-05-25,2016.05.25,3485,2016-06-08,2016.06.08,1315
7,치즈인더트랩,2018-03-14,2018.03.14,2018-03-07,2018.03.07,3333,2018-03-21,2018.03.21,872
8,더 킹,2017-01-18,2017.01.18,2017-01-11,2017.01.11,3195,2017-01-25,2017.01.25,1561
9,버닝,2018-05-17,2018.05.17,2018-05-10,2018.05.10,3182,2018-05-24,2018.05.24,2468
10,인천상륙작전,2016-07-27,2016.07.27,2016-07-20,2016.07.20,3058,2016-08-03,2016.08.03,1897
11,강남 1970,2015-01-21,2015.01.21,2015-01-14,2015.01.14,2984,2015-01-28,2015.01.28,1768
12,허삼관,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2968,2015-01-21,2015.01.21,1139
13,인랑,2018-07-25,2018.07.25,2018-07-18,2018.07.18,2865,2018-08-01,2018.08.01,1270
14,하이힐,2014-06-03,2014.06.03,2014-05-27,2014.05.27,2842,2014-06-10,2014.06.10,681
15,부산행,2016-07-20,2016.07.20,2016-07-13,2016.07.13,2822,2016-07-27,2016.07.27,2490
16,역모-반란의 시대,2017-11-23,2017.11.23,2017-11-16,2017.11.16,2810,2017-11-30,2017.11.30,147
17,마스터,2016-12-21,2016.12.21,2016-12-14,2016.12.14,2781,2016-12-28,2016.12.28,926
18,레드카펫,2014-10-23,2014.10.23,2014-10-16,2014.10.16,2568,2014-10-30,2014.10.30,1020
19,덕혜옹주,2016-08-03,2016.08.03,2016-07-27,2016.07.27,2543,2016-08-10,2016.08.10,1715
21,청년경찰,2017-08-09,2017.08.09,2017-08-02,2017.08.02,2520,2017-08-16,2017.08.16,1241
20,손님,2015-07-09,2015.07.09,2015-07-02,2015.07.02,2520,2015-07-16,2015.07.16,606
22,오늘의 연애,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2477,2015-01-21,2015.01.21,1159
23,암살,2015-07-22,2015.07.22,2015-07-15,2015.07.15,2459,2015-07-29,2015.07.29,1829
24,싱글라이더,2017-02-22,2017.02.22,2017-02-15,2017.02.15,2445,2017-03-01,2017.03.01,929
25,빅매치,2014-11-27,2014.11.27,2014-11-20,2014.11.20,2389,2014-12-04,2014.12.04,458
26,터널,2016-08-10,2016.08.10,2016-08-03,2016.08.03,2370,2016-08-17,2016.08.17,1053
27,공조,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2331,2017-01-25,2017.01.25,1142
28,강철비,2017-12-14,2017.12.14,2017-12-07,2017.12.07,2300,2017-12-21,2017.12.21,1599
29,신의 한 수,2014-07-03,2014.07.03,2014-06-26,2014.06.26,2281,2014-07-10,2014.07.10,1415
30,검사외전,2016-02-03,2016.02.03,2016-01-27,2016.01.27,2266,2016-02-10,2016.02.10,1111
31,히말라야,2015-12-16,2015.12.16,2015-12-09,2015.12.09,2218,2015-12-23,2015.12.23,1456
32,조선마술사,2015-12-30,2015.12.30,2015-12-23,2015.12.23,2210,2016-01-06,2016.01.06,787
33,패션왕,2014-11-06,2014.11.06,2014-10-30,2014.10.30,2182,2014-11-13,2014.11.13,860
34,스물,2015-03-25,2015.03.25,2015-03-18,2015.03.18,2145,2015-04-01,2015.04.01,1110
35,위험한 상견례 2,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2109,2015-05-06,2015.05.06,920
36,형,2016-11-23,2016.11.23,2016-11-16,2016.11.16,2095,2016-11-30,2016.11.30,2094
37,신과함께-인과 연,2018-08-01,2018.08.01,2018-07-25,2018.07.25,2077,2018-08-08,2018.08.08,2019
38,꾼,2017-11-22,2017.11.22,2017-11-15,2017.11.15,2020,2017-11-29,2017.11.29,728
39,덕수리 5형제,2014-12-04,2014.12.04,2014-11-27,2014.11.27,2003,2014-12-11,2014.12.11,247
40,7년의 밤,2018-03-28,2018.03.28,2018-03-21,2018.03.21,1999,2018-04-04,2018.04.04,562
41,쎄시봉,2015-02-05,2015.02.05,2015-01-29,2015.01.29,1986,2015-02-12,2015.02.12,1135
42,오빠생각,2016-01-21,2016.01.21,2016-01-14,2016.01.14,1978,2016-01-28,2016.01.28,932
43,우는 남자,2014-06-04,2014.06.04,2014-05-28,2014.05.28,1975,2014-06-11,2014.06.11,542
44,독전,2018-05-22,2018.05.22,2018-05-15,2018.05.15,1974,2018-05-29,2018.05.29,1058
45,조작된 도시,2017-02-09,2017.02.09,2017-02-02,2017.02.02,1968,2017-02-16,2017.02.16,663
46,검은 사제들,2015-11-05,2015.11.05,2015-10-29,2015.10.29,1963,2015-11-12,2015.11.12,1606
47,은밀한 유혹,2015-06-04,2015.06.04,2015-05-28,2015.05.28,1954,2015-06-11,2015.06.11,328
48,밀정,2016-09-07,2016.09.07,2016-08-31,2016.08.31,1914,2016-09-14,2016.09.14,1210
49,지금 만나러 갑니다,2018-03-14,2018.03.14,2018-03-07,2018.03.07,1879,2018-03-21,2018.03.21,1111
50,협상,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1848,2018-09-26,2018.09.26,1478
51,곡성,2016-05-12,2016.05.12,2016-05-05,2016.05.05,1845,2016-05-19,2016.05.19,2093
52,순정,2016-02-24,2016.02.24,2016-02-17,2016.02.17,1841,2016-03-02,2016.03.02,630
53,특별시민,2017-04-26,2017.04.26,2017-04-19,2017.04.19,1824,2017-05-03,2017.05.03,987
54,해어화,2016-04-13,2016.04.13,2016-04-06,2016.04.06,1811,2016-04-20,2016.04.20,651
55,목숨 건 연애,2016-12-14,2016.12.14,2016-12-07,2016.12.07,1805,2016-12-21,2016.12.21,245
56,염력,2018-01-31,2018.01.31,2018-01-24,2018.01.24,1801,2018-02-07,2018.02.07,819
57,좋아해줘,2016-02-17,2016.02.17,2016-02-10,2016.02.10,1773,2016-02-24,2016.02.24,1056
58,베테랑,2015-08-05,2015.08.05,2015-07-29,2015.07.29,1763,2015-08-12,2015.08.12,1262
59,순수의 시대,2015-03-05,2015.03.05,2015-02-26,2015.02.26,1763,2015-03-12,2015.03.12,775
60,차이나타운,2015-04-29,2015.04.29,2015-04-22,2015.04.22,1740,2015-05-06,2015.05.06,618
61,브이아이피,2017-08-23,2017.08.23,2017-08-16,2017.08.16,1713,2017-08-30,2017.08.30,944
62,어느날,2017-04-05,2017.04.05,2017-03-29,2017.03.29,1711,2017-04-12,2017.04.12,1117
63,악의 연대기,2015-05-14,2015.05.14,2015-05-07,2015.05.07,1698,2015-05-21,2015.05.21,535
64,"로봇, 소리",2016-01-27,2016.01.27,2016-01-20,2016.01.20,1697,2016-02-03,2016.02.03,539
65,사냥,2016-06-29,2016.06.29,2016-06-22,2016.06.22,1684,2016-07-06,2016.07.06,696
66,무뢰한,2015-05-27,2015.05.27,2015-05-20,2015.05.20,1683,2015-06-03,2015.06.03,557
67,챔피언,2018-05-01,2018.05.01,2018-04-24,2018.04.24,1675,2018-05-08,2018.05.08,900
68,소수의견,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1662,2015-07-01,2015.07.01,506
69,국제시장,2014-12-17,2014.12.17,2014-12-10,2014.12.10,1659,2014-12-24,2014.12.24,943
