,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
104,검사외전,20160203,9707581,(주)쇼박스,범죄,15세 관람가,17261,0,1,21,14,117,276,1,4,46891,2492,20.0,48.0,13008.0,1268,6782,526680,1418,7359,466676,1459,7809,610145,1381,7316,534500,big
105,밀정,20160907,7500420,워너브러더스 코리아(주),액션,15세 관람가,22277,37,4,30,13,119,289,0,3,13996,1463,24.0,93.0,18533.0,1221,5479,287228,1246,5635,260642,1333,6100,337358,1266,5738,295076,small
106,터널,20160810,7120508,(주)쇼박스,드라마,12세 관람가,40254,18,0,33,25,132,316,1,2,14152,1854,24.0,80.0,20854.0,820,3900,379079,854,3962,360239,919,4268,408520,864,4043,382612,big
107,인천상륙작전,20160727,7049643,씨제이이앤엠(주),전쟁,12세 관람가,22250,8,2,16,9,118,307,1,2,35317,4399,32.0,76.0,12711.0,901,4702,464460,904,4803,354500,942,5032,405477,915,4845,408145,big
108,럭키,20161013,6975290,(주)쇼박스,코미디,15세 관람가,17297,1,1,11,13,107,254,0,3,15767,1233,345.0,1388.0,146036.0,889,4520,214065,956,4832,315620,1080,5784,632885,975,5045,387523,big
109,곡성,20160512,6879908,이십세기폭스코리아(주),미스터리,15세 관람가,27560,52,2,28,14,133,355,0,1,15570,2644,895.0,2176.0,176514.0,1125,4815,310042,1252,5169,409661,1471,6360,761360,1282,5448,493687,small
110,덕혜옹주,20160803,5599229,롯데쇼핑㈜롯데엔터테인먼트,사극,12세 관람가,17599,25,1,26,6,130,273,1,2,20348,2180,24.0,90.0,14943.0,774,3458,267112,771,3320,254034,827,3422,282765,790,3400,267970,big
111,마스터,20161221,4935320,씨제이이앤엠(주),액션,15세 관람가,53757,3,2,42,34,117,283,0,4,18671,2331,35.0,129.0,23444.0,1448,6617,392856,1441,6615,347324,1450,7026,417071,1446,6752,385750,big
112,판도라,20161207,4313864,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,15983,4,0,10,10,125,261,0,4,8338,1519,28.0,78.0,18372.0,1029,4777,154652,1074,4741,164931,1086,4919,210438,1063,4812,176673,big
113,아가씨,20160601,4287839,씨제이이앤엠(주),스릴러,청소년 관람불가,47445,91,0,31,15,129,348,0,2,21671,3963,30.0,55.0,10768.0,1016,4701,290024,1069,4824,259971,1122,5104,312873,1069,4876,287622,big
114,귀향,20160224,3587173,(주)와우픽쳐스,드라마,15세 관람가,15354,7,0,0,2,135,329,1,4,1736,136,4.0,15.0,3772.0,205,363,1570,197,351,1502,207,340,1919,203,351,1663,small
115,형,20161123,2979659,씨제이이앤엠(주),코미디,12세 관람가,163306,2,0,3,4,131,301,0,3,25600,1151,46.0,99.0,20515.0,744,2150,75882,933,4672,136871,922,4869,164294,866,3897,125682,big
116,아수라,20160928,2594028,씨제이이앤엠(주),범죄,청소년 관람불가,23131,15,0,25,18,132,287,0,3,28898,4276,44.0,122.0,24846.0,1262,5731,475482,1190,5802,233804,1242,6082,241877,1231,5871,317054,big
117,굿바이 싱글,20160629,2108273,(주)쇼박스,코미디,15세 관람가,8531,2,0,14,8,37,183,0,2,6176,668,56.0,153.0,31562.0,661,2994,122543,676,3106,101930,704,3286,130409,680,3128,118294,big
118,봉이 김선달,20160706,2051277,씨제이이앤엠(주),사극,12세 관람가,6222,3,0,6,7,60,179,1,2,20055,1217,15.0,66.0,12393.0,747,3393,136701,760,3403,120196,816,3587,155593,774,3461,137496,big
119,탐정 홍길동: 사라진 마을,20160504,1430885,씨제이이앤엠(주),드라마,15세 관람가,4705,6,1,5,1,60,187,0,1,6179,660,24.0,53.0,9080.0,669,2939,82893,688,2769,192319,718,2945,188592,691,2884,154601,big
120,특별수사: 사형수의 편지,20160616,1241899,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,5017,0,0,9,13,122,241,0,2,3052,383,35.0,186.0,32749.0,675,3141,75630,691,3203,92658,666,2981,173050,677,3108,113779,big
121,시간이탈자,20160413,1202384,씨제이이앤엠(주),스릴러,15세 관람가,7319,8,0,6,4,73,168,0,1,7164,738,37.0,70.0,12265.0,673,3304,155917,646,3178,42433,681,3362,63886,666,3281,87412,big
122,동주,20160217,1172641,메가박스중앙(주)플러스엠,드라마,12세 관람가,20580,97,8,7,4,128,281,1,4,8002,520,7.0,24.0,5398.0,374,1084,19124,384,1122,26875,403,1168,36130,387,1124,27376,mid
123,미씽: 사라진 여자,20161130,1153109,메가박스중앙(주)플러스엠,미스터리,15세 관람가,7435,4,0,6,2,102,295,0,3,4785,560,17.0,42.0,6642.0,633,2903,139198,657,3061,89975,717,3350,113814,669,3104,114329,mid
124,"당신, 거기 있어줄래요",20161214,1124815,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세 관람가,6878,2,0,17,8,95,185,0,4,8363,874,43.0,100.0,18045.0,756,3559,92278,764,3613,93085,767,3707,104379,762,3626,96580,big
125,오빠생각,20160121,1069864,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,39124,3,2,4,3,93,223,1,4,8257,1092,83.0,167.0,24951.0,841,4150,78467,851,4163,84019,855,4121,168534,849,4144,110340,big
126,"날, 보러와요",20160407,1063442,메가박스중앙(주)플러스엠,미스터리,청소년 관람불가,10263,0,0,0,4,55,123,0,1,4353,392,5.0,18.0,4541.0,424,2067,42192,510,2354,54666,668,2996,112368,534,2472,69742,mid
127,"고산자, 대동여지도",20160907,974262,씨제이이앤엠(주),사극,전체 관람가,6543,44,1,3,1,76,86,0,3,3583,625,39.0,92.0,20623.0,764,3137,29603,765,3137,31027,756,3142,40824,761,3138,33818,big
128,좋아해줘,20160217,848148,씨제이이앤엠(주),멜로/로맨스,12세 관람가,12343,1,0,8,6,71,223,1,4,11032,1081,19.0,54.0,11969.0,614,2540,73132,618,2577,71574,620,2613,76361,617,2576,73689,big
129,스플릿,20161109,758195,오퍼스픽쳐스,드라마,15세 관람가,4978,0,0,5,5,76,130,0,3,1700,237,47.0,103.0,20583.0,563,2551,33686,615,2639,48354,615,2765,71942,597,2651,51327,small
130,국가대표 2,20160810,709929,메가박스중앙(주)플러스엠,드라마,12세 관람가,34983,0,0,7,14,70,119,1,2,7290,1289,29.0,173.0,28848.0,562,2516,61508,551,2326,53531,541,2169,59772,551,2337,58270,mid
131,그날의 분위기,20160114,653287,(주)쇼박스,멜로/로맨스,15세 관람가,17341,0,0,2,2,49,83,1,4,8071,1256,10.0,33.0,7519.0,592,2854,67607,575,2799,68328,586,2645,111188,584,2766,82374,big
132,사냥,20160629,645922,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,50370,0,0,6,6,95,202,0,2,5209,816,10.0,20.0,5535.0,696,3574,161021,665,3614,68190,691,3659,70271,684,3615,99827,big
133,널 기다리며,20160310,635235,(주)넥스트엔터테인먼트월드(NEW),스릴러,청소년 관람불가,4296,1,0,5,8,50,264,0,1,3993,397,8.0,16.0,3662.0,463,2292,41956,470,2366,53965,543,2507,106137,492,2388,67352,big
134,가려진 시간,20161116,510878,(주)쇼박스,드라마,12세 관람가,9517,3,0,5,8,78,231,0,3,12208,1071,215.0,362.0,19152.0,884,4004,71077,872,3738,60105,823,3523,52002,859,3755,61061,big
135,해어화,20160413,485695,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,9053,7,0,11,9,91,175,0,1,9015,8285,19.0,42.0,7841.0,557,2525,74087,546,2428,27923,556,2536,28624,553,2496,43544,big
136,계춘할망,20160519,482516,(주)콘텐츠 난다긴다,가족,15세 관람가,6959,1,0,18,0,49,138,0,1,6385,658,25.0,102.0,15115.0,483,1813,28793,515,1848,39794,526,1649,66163,508,1770,44916,small
137,"로봇, 소리",20160127,476665,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세 관람가,12118,4,0,8,12,65,171,1,4,5859,777,147.0,548.0,36250.0,601,2607,52321,609,2568,30475,573,2488,33754,594,2554,38850,big
138,위대한 소원,20160421,308398,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,3418,0,0,2,2,48,40,0,1,3408,436,445.0,1433.0,25610.0,521,2767,32598,524,2798,35538,524,2833,58643,523,2799,42259,big
139,혼숨,20161026,288016,(주)프레인글로벌,공포(호러),15세 관람가,584,0,0,2,2,32,68,0,3,4178,477,3.0,7.0,1450.0,421,943,32837,440,1023,23136,456,1106,29867,439,1024,28613,small
140,비밀은 없다,20160623,250829,씨제이이앤엠(주),스릴러,청소년 관람불가,46745,16,0,21,5,58,258,0,2,3971,749,9.0,22.0,3067.0,463,2334,53485,474,2323,44302,502,2083,51512,479,2246,49766,big
141,순정,20160224,240484,(주)리틀빅픽쳐스,드라마,12세 관람가,43766,0,0,2,9,130,254,1,4,31698,2517,22.0,124.0,24445.0,467,1702,56244,435,1466,22480,439,1421,19805,447,1529,32843,mid
142,남과 여,20160225,203775,(주)쇼박스,멜로/로맨스,청소년 관람불가,8609,8,0,1,2,82,215,1,4,10545,1234,14.0,29.0,7640.0,424,1504,27887,449,1464,27744,440,1193,33759,437,1387,29796,big
143,대배우,20160330,169984,"(주)대명문화공장,(주)리틀빅픽쳐스",코미디,12세 관람가,8264,1,0,18,25,53,79,0,1,2352,291,11.0,18.0,4057.0,466,1993,26847,462,2092,19465,469,1992,18851,465,2025,21721,small
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,97804,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),15세 관람가,2236,0,0,5,1,28,26,0,2,1951,696,3.0,9.0,2389.0,312,851,11958,305,802,10535,312,815,10674,309,822,11055,big
145,걷기왕,20161020,95542,CGV아트하우스,드라마,12세 관람가,3451,1,0,5,3,87,211,0,3,1663,285,366.0,905.0,10913.0,437,1687,9130,446,1656,10572,460,1270,16525,447,1537,12075,mid
146,엽기적인 그녀 2,20160512,77124,(주)리틀빅픽쳐스,멜로/로맨스,15세 관람가,9436,3,0,3,2,25,20,0,1,9148,17561,4.0,17.0,2408.0,380,1082,15373,386,1049,14324,385,808,13498,383,979,14398,mid
147,번개맨,20160211,69363,씨네그루(주)키다리이엔티,판타지,전체 관람가,1231,9,0,0,0,44,54,1,4,998,388,5.0,16.0,3071.0,362,774,5192,335,666,4235,393,860,22284,363,766,10570,mid
148,올레,20160825,66883,"(주)대명문화공장,(주)리틀빅픽쳐스",드라마,15세 관람가,29095,1,0,9,2,88,101,1,2,1641,258,7.0,19.0,2822.0,338,899,12249,330,853,10609,336,691,13195,334,814,12017,small
149,두 남자,20161130,60365,씨네그루(주)키다리이엔티,범죄,청소년 관람불가,54356,0,0,1,5,113,176,0,3,2504,257,11.0,23.0,4185.0,397,1392,13912,375,1268,7456,397,1145,7029,389,1268,9465,mid
150,목숨 건 연애,20161214,47805,오퍼스픽쳐스,멜로/로맨스,15세 관람가,6511,0,0,9,1,47,28,0,4,4556,745,7.0,15.0,3279.0,378,1099,7489,393,998,7532,382,942,6514,384,1013,7178,small
151,트릭,20160713,38262,"(주)스톰픽쳐스코리아,(주)이수C&E",스릴러,15세 관람가,8342,0,0,0,2,72,57,1,2,1335,345,7.0,13.0,1924.0,390,1321,8589,389,1153,5719,373,916,4608,384,1130,6305,small
152,대결,20160922,32278,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",액션,15세 관람가,167636,0,0,1,0,57,61,0,3,0,0,4.0,8.0,1812.0,353,1152,5296,366,1113,5371,358,724,5494,359,996,5387,small
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,27070,씨제이이앤엠(주),전쟁,15세 관람가,349,8,2,16,9,84,78,0,3,39,11,3.0,4.0,549.0,81,161,1130,122,197,3589,119,178,6074,107,178,3597,big
154,히야,20160310,21687,(주)라이크 콘텐츠,드라마,12세 관람가,1749,1,0,3,4,101,204,0,1,11575,328,5.0,7.0,1507.0,124,225,2034,124,224,3153,124,219,5634,124,222,3607,small
155,무수단,20160303,15882,오퍼스픽쳐스,미스터리,15세 관람가,3330,0,0,1,0,30,36,0,1,1271,631,5.0,8.0,1496.0,227,441,2179,227,437,2469,228,375,3862,227,417,2836,small
156,택시운전사,20170802,12186327,(주)쇼박스,드라마,15세 관람가,30684,45,2,39,25,136,283,1,2,45603,4812,83.0,477.0,86713.0,1446,7068,698088,1553,7293,651779,1677,7850,707113,1558,7403,685660,big
157,신과함께-죄와 벌,20171220,8539495,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세 관람가,18519,38,8,28,26,113,333,0,4,57194,7734,34.0,62.0,16199.0,1538,6818,406365,1582,6955,401449,1653,7458,497810,1591,7077,435208,big
158,공조,20170118,7817618,씨제이이앤엠(주),액션,15세 관람가,33457,3,2,9,13,123,249,1,4,9879,1277,24.0,92.0,14606.0,900,4126,151845,918,4157,141569,938,4217,160116,918,4166,151176,big
159,범죄도시,20171003,6879841,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",범죄,청소년 관람불가,35216,6,1,2,6,43,228,0,3,7567,1129,35.0,156.0,30408.0,600,2395,164399,687,2464,206458,871,2966,277219,719,2608,216025,mid
160,군함도,20170726,6592151,씨제이이앤엠(주),액션,15세 관람가,27214,47,6,32,16,127,331,1,2,97770,8642,34.0,98.0,21629.0,2027,10182,972161,1962,10219,559467,1989,10514,582364,1992,10305,704664,big
161,청년경찰,20170809,5653270,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,24506,3,1,5,2,104,279,1,2,16419,2025,26.0,192.0,36656.0,1102,5954,308298,1065,5700,277400,1046,5598,304102,1071,5750,296600,big
162,더 킹,20170118,5317693,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,26041,30,2,18,15,96,238,1,4,17679,2089,26.0,72.0,14012.0,1125,5364,288966,1147,5395,238039,1188,5615,261528,1153,5458,262844,big
163,꾼,20171122,4018035,(주)쇼박스,범죄,15세 관람가,14127,0,0,1,9,101,219,0,3,6730,1063,49.0,189.0,38739.0,1195,6295,213172,1210,6393,224945,1253,6666,263452,1219,6451,233856,big
164,강철비,20171214,4014293,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,11193,28,1,8,7,91,228,0,4,5965,1474,41.0,99.0,16112.0,1259,5247,236952,1276,5455,288951,1419,6102,539301,1318,5601,355068,big
165,남한산성,20171003,3849087,씨제이이앤엠(주),사극,15세 관람가,15819,27,2,49,17,138,241,0,3,8809,2005,40.0,155.0,28918.0,1125,5284,444585,1165,5390,552722,1205,5528,599797,1165,5400,532368,big
166,아이 캔 스피크,20170921,3279296,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",코미디,12세 관람가,9984,25,0,15,1,74,212,0,3,6377,467,37.0,162.0,31512.0,1004,5100,87136,1026,5342,121355,1140,6123,242986,1056,5521,150492,big
167,프리즌,20170323,2931897,(주)쇼박스,범죄,청소년 관람불가,9416,3,0,5,2,120,194,0,1,8022,780,871.0,2563.0,108154.0,909,4234,168336,942,4453,194224,1047,4889,403084,966,4525,255214,big
168,살인자의 기억법,20170906,2658589,(주)쇼박스,범죄,15세 관람가,9052,10,0,30,21,142,235,0,3,9811,2314,7.0,17.0,4720.0,884,4340,143580,942,4421,143225,989,4724,187986,938,4495,158263,big
169,보안관,20170503,2588628,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,11809,0,0,12,8,107,225,0,1,2752,461,31.0,123.0,22154.0,669,2682,206706,758,2864,193863,878,3062,281401,768,2869,227323,big
170,조작된 도시,20170209,2515501,씨제이이앤엠(주),범죄,15세 관람가,12437,7,1,5,3,80,235,1,4,12267,1158,34.0,98.0,18203.0,771,3503,157669,825,3784,186738,1006,4495,353192,867,3927,232533,big
171,재심,20170215,2421197,"오퍼스픽쳐스,CGV아트하우스",드라마,15세 관람가,12295,0,0,10,6,87,253,1,4,6797,576,15.0,63.0,13133.0,727,3577,121122,789,3664,133292,831,3920,158861,782,3720,137758,small
172,박열,20170628,2359206,메가박스중앙(주)플러스엠,드라마,12세 관람가,13843,97,8,0,2,127,276,0,2,7265,912,29.0,119.0,19175.0,917,4191,201987,995,4495,141299,1066,4954,174136,992,4546,172474,mid
173,1987,20171227,1942077,씨제이이앤엠(주),드라마,15세 관람가,60507,31,1,40,22,135,273,0,4,13877,2453,45.0,170.0,35331.0,1299,6074,331736,1233,5645,221304,1170,5519,306562,1234,5746,286534,big
174,노무현입니다,20170525,1855149,"CGV아트하우스,영화사 풀",다큐멘터리,12세 관람가,33807,0,0,0,0,133,275,0,1,45099,3322,25.0,50.0,7328.0,580,2743,78816,659,3017,94985,775,3578,205704,671,3112,126501,mid
175,임금님의 사건수첩,20170426,1635003,씨제이이앤엠(주),코미디,12세 관람가,4539,1,0,4,0,49,131,0,1,3320,455,25.0,94.0,16380.0,934,4670,108463,966,4822,79824,979,4919,99361,959,4803,95882,big
176,부라더,20171102,1492903,메가박스중앙(주)플러스엠,코미디,12세 관람가,5655,0,0,1,9,56,152,0,3,3484,487,30.0,130.0,24942.0,712,3426,100941,759,3632,130102,884,4183,249687,785,3747,160243,mid
177,기억의 밤,20171129,1386611,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",미스터리,15세 관람가,47648,2,0,2,3,98,205,0,3,5028,594,23.0,42.0,7136.0,704,3266,97245,714,3291,69328,728,3369,89649,715,3308,85407,mid
178,브이아이피,20170823,1373316,워너브러더스 코리아(주),범죄,청소년 관람불가,6476,11,0,10,3,82,216,1,2,8614,1102,28.0,39.0,7480.0,851,3587,174011,897,3857,160139,958,4095,146348,902,3846,160166,small
179,특별시민,20170426,1362634,(주)쇼박스,드라마,15세 관람가,53910,0,0,47,13,85,248,0,1,4647,779,21.0,57.0,8631.0,1154,5445,186007,1132,5565,110872,1150,5597,134485,1145,5535,143788,big
180,장산범,20170817,1306438,(주)넥스트엔터테인먼트월드(NEW),미스터리,15세 관람가,4351,2,1,4,4,111,230,1,2,7814,1310,19.0,49.0,10307.0,621,2755,121834,655,2771,125554,711,2731,202956,662,2752,150114,big
181,악녀,20170608,1208081,(주)넥스트엔터테인먼트월드(NEW),액션,청소년 관람불가,20383,10,0,3,2,99,240,0,2,3562,905,9.0,18.0,4413.0,563,2506,73305,590,2595,80452,671,2724,149219,608,2608,100992,big
182,해빙,20170301,1204600,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,6742,2,0,6,8,92,221,0,1,8972,1012,5.0,9.0,3024.0,828,3969,386128,802,3755,87354,850,3969,91277,826,3897,188253,big
183,하루,20170615,1129609,CGV아트하우스,스릴러,15세 관람가,371130,1,0,3,4,131,263,0,2,2233,287,8.0,36.0,7124.0,672,3672,77978,707,3798,101803,769,4192,199548,716,3887,126443,mid
184,불한당: 나쁜 놈들의 세상,20170517,939535,씨제이이앤엠(주),범죄,청소년 관람불가,7822,10,0,24,6,130,270,0,1,3041,822,41.0,206.0,26263.0,800,3800,95271,813,3776,91667,828,3888,87670,813,3821,91536,big
185,대립군,20170531,837500,이십세기폭스코리아(주),드라마,15세 관람가,7200,18,1,13,9,128,221,0,1,2929,581,28.0,62.0,10744.0,809,3532,136240,776,3447,73171,786,3419,85851,790,3466,98420,small
186,아빠는 딸,20170412,647305,메가박스중앙(주)플러스엠,코미디,12세 관람가,53393,0,0,0,3,53,52,0,1,5211,513,10.0,33.0,7428.0,460,2092,33396,464,2131,31745,478,2170,44942,467,2131,36694,mid
187,침묵,20171102,494097,씨제이이앤엠(주),드라마,15세 관람가,37609,19,0,24,6,110,220,0,3,5381,606,18.0,43.0,6332.0,612,2581,57510,630,2661,60910,634,2633,93390,625,2625,70603,big
188,리얼,20170628,470105,씨제이이앤엠(주),액션,청소년 관람불가,183843,0,0,5,10,113,293,0,2,25803,9210,7.0,18.0,3891.0,970,4097,146965,918,3805,57733,859,3469,46591,915,3790,83763,big
189,반드시 잡는다,20171129,446780,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,3555,1,0,6,9,32,40,0,3,2344,497,14.0,31.0,7267.0,557,2591,59907,554,2489,37426,565,2452,38542,558,2510,45291,big
190,원라인,20170329,435048,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,6101,1,0,5,5,102,189,0,1,3962,460,23.0,44.0,9888.0,613,2376,53333,594,2309,30533,589,2228,41698,598,2304,41854,big
191,보통사람,20170323,383336,오퍼스픽쳐스,드라마,15세 관람가,22056,1,0,1,2,77,130,0,1,2459,363,16.0,40.0,6396.0,621,2604,35583,620,2617,43460,619,2402,86992,620,2541,55345,small
192,대장 김창수,20171019,381483,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",드라마,12세 관람가,4814,0,0,6,5,84,130,0,3,3259,744,43.0,95.0,14275.0,734,3091,44469,748,3010,51214,667,2851,78068,716,2984,57917,mid
193,석조저택 살인사건,20170509,353517,씨네그루(주)키다리이엔티,스릴러,15세 관람가,3955,4,0,8,7,29,74,0,1,1987,343,10.0,26.0,5540.0,493,1921,84068,460,1952,25466,460,1921,26492,471,1931,45342,mid
194,싱글라이더,20170222,351276,워너브러더스 코리아(주),드라마,15세 관람가,7476,0,0,22,7,82,176,1,4,3838,916,25.0,43.0,5453.0,554,2402,65584,531,2275,35835,546,2219,39873,543,2298,47097,small
195,7호실,20171115,347790,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,4710,5,0,4,3,108,265,0,3,12977,538,29.0,49.0,6379.0,629,2762,55985,599,2792,52005,562,2605,38467,596,2719,48819,big
196,희생부활자,20171012,323628,(주)쇼박스,미스터리,15세 관람가,3057,15,0,8,4,51,132,0,3,5472,660,9.0,9.0,2895.0,781,3808,49100,770,3575,53819,676,3070,74141,742,3484,59020,big
197,미옥,20171109,238587,씨네그루(주)키다리이엔티,범죄,청소년 관람불가,3624,1,0,13,3,71,223,0,3,3455,439,5.0,13.0,2623.0,625,3110,50553,635,3109,40934,609,2931,55584,623,3050,49023,mid
198,어느날,20170405,234829,"오퍼스픽쳐스,CGV아트하우스",멜로/로맨스,15세 관람가,167548,9,0,7,3,91,175,0,1,3837,1139,12.0,28.0,5208.0,457,1933,24326,485,1885,23785,480,1947,27619,474,1921,25243,small
199,채비,20171109,177428,오퍼스픽쳐스,드라마,12세 관람가,8711,0,0,5,1,37,47,0,3,2895,236,6.0,25.0,5187.0,452,1149,13267,462,1143,12780,469,1072,22888,461,1121,16311,small
200,비정규직 특수요원,20170316,149719,"(주)이수C&E,(주)스톰픽쳐스코리아",코미디,15세 관람가,6094,0,0,0,0,45,34,0,1,2648,866,11.0,17.0,3559.0,448,1763,21892,467,1747,20211,493,1550,35653,469,1686,25918,small
201,로마의 휴일,20170830,134827,메가박스중앙(주)플러스엠,코미디,15세 관람가,6480,0,0,0,3,45,34,1,2,1583,670,12.0,45.0,11008.0,416,1792,24402,399,1732,14432,403,1594,14784,406,1706,17872,mid
202,시간위의 집,20170405,128975,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",미스터리,15세 관람가,3039,0,0,5,7,79,99,0,1,1987,396,35.0,77.0,6086.0,407,1657,15518,410,1525,14459,422,1483,16466,413,1555,15481,mid
203,루시드 드림,20170222,102170,(주)넥스트엔터테인먼트월드(NEW),SF,15세 관람가,4999,1,0,22,5,55,66,1,4,5696,2034,14.0,39.0,6135.0,461,1738,26333,459,1548,13396,460,1360,12099,460,1548,17276,big
204,"그래, 가족",20170215,46623,월트디즈니컴퍼니코리아 유한책임회사,코미디,12세 관람가,12899,0,0,3,6,67,53,1,4,2746,170,10.0,11.0,2798.0,353,940,8010,361,884,7301,347,799,6092,353,874,7134,small
205,역모-반란의 시대,20171123,30116,(주)스톰픽쳐스코리아,사극,15세 관람가,2810,0,0,1,6,46,63,0,3,1436,301,5.0,14.0,2314.0,349,777,5727,355,763,5001,336,617,4340,346,719,5022,small
206,이웃집 스타,20170921,10854,(주)스톰픽쳐스코리아,코미디,12세 관람가,6325,0,0,0,1,27,17,0,3,1041,107,5.0,8.0,1704.0,256,470,1894,240,423,1284,239,372,2003,245,421,1727,small
207,구세주: 리턴즈,20170914,6151,(주)박수엔터테인먼트,코미디,15세 관람가,1071,0,0,0,0,13,3,0,3,327,167,2.0,4.0,1176.0,124,200,793,116,194,643,116,170,740,118,188,725,small
208,신과함께-인과 연,20180801,12274353,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세 관람가,15760,38,8,25,24,136,257,1,2,5023,350,42.0,99.0,21749.0,1967,9825,1246603,2054,10079,1078012,2126,10543,1078478,2049,10149,1134364,small
209,안시성,20180919,5438066,(주)넥스트엔터테인먼트월드(NEW),사극,12세 관람가,15363,2,2,3,7,134,271,0,3,2468,489,31.0,123.0,25250.0,1121,4772,122859,1172,4795,133051,1175,5107,211699,1156,4891,155869,big
210,완벽한 타인,20181031,5194618,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세 관람가,12795,0,2,19,21,83,233,0,3,608,92,136.0,590.0,47110.0,1081,4950,274118,1048,5005,170213,1122,5440,248122,1083,5131,230817,small
211,독전,20180522,5063620,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,13460,13,3,12,12,138,247,0,1,2703,174,12.0,36.0,7117.0,1063,5133,376530,1071,5241,161146,1078,5100,158565,1070,5158,232080,big
212,공작,20180808,4974463,씨제이이앤엠(주),드라마,12세 관람가,39433,24,0,24,18,128,248,1,2,2437,263,27.0,62.0,15097.0,934,3835,333316,1103,4329,293161,1204,4864,319083,1080,4342,315186,big
213,암수살인,20181003,3789222,(주)쇼박스,범죄,15세 관람가,8764,0,0,15,11,107,224,0,3,1474,383,25.0,111.0,20512.0,957,4925,439309,942,4903,156928,1018,5215,216771,972,5014,271002,big
214,마녀,20180627,3189091,워너브러더스 코리아(주),미스터리,15세 관람가,41221,11,0,10,4,107,241,0,2,275,45,10.0,32.0,7836.0,880,3793,121990,864,3980,94414,921,4213,136113,888,3995,117505,small
215,탐정: 리턴즈,20180613,3152873,씨제이이앤엠(주),코미디,15세 관람가,5997,4,0,1,5,62,194,0,2,760,76,25.0,94.0,15947.0,971,4887,235184,967,4809,92253,947,4879,127030,961,4858,151489,big
216,너의 결혼식,20180822,2820685,메가박스중앙(주)플러스엠,멜로/로맨스,12세 관람가,11237,0,0,11,2,91,223,1,2,2034,105,21.0,145.0,31020.0,736,3456,99411,778,3389,76677,849,3737,143132,787,3527,106406,mid
217,곤지암,20180328,2675575,(주)쇼박스,공포(호러),15세 관람가,6632,5,0,0,1,112,272,0,1,744,340,153.0,623.0,68083.0,808,3501,198365,849,3713,117945,954,4237,185811,870,3817,167373,big
218,지금 만나러 갑니다,20180314,2602273,롯데쇼핑㈜롯데엔터테인먼트,멜로/로맨스,12세 관람가,9915,0,0,24,4,98,182,0,1,2078,190,35.0,130.0,22580.0,990,4276,89772,1020,4317,85399,1051,4579,125650,1020,4390,100273,big
219,목격자,20180815,2524634,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,26130,0,0,3,9,115,245,1,2,583,74,37.0,122.0,24080.0,808,3539,368981,808,3605,161783,868,3868,177251,828,3670,236005,big
220,조선명탐정: 흡혈괴마의 비밀,20180208,2444145,(주)쇼박스,사극,12세 관람가,5073,1,0,7,14,90,171,1,4,3955,259,72.0,202.0,35646.0,1140,5972,142796,1183,6140,155170,1249,6608,327600,1190,6240,208522,big
