,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
25,관능의 법칙,20140213,781516,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년 관람불가,7556,4,0,20,3,76,131,1,4,0,0,22.0,103.0,21016.0,591,2748,58083,588,2785,76470,532,2420,106949,570,2651,80500,big
26,상의원,20141224,676632,"(주)쇼박스,(주)와우픽쳐스",사극,15세 관람가,13202,3,0,6,4,90,211,0,4,8746,1553,77.0,206.0,18634.0,466,2171,108567,454,2010,179740,453,1931,66867,457,2037,118391,big
27,플랜맨,20140109,632299,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,4349,0,0,13,3,77,169,1,4,0,0,46.0,83.0,16573.0,458,2024,54251,441,2029,56264,433,2006,111867,444,2019,74127,big
28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,청소년 관람불가,12694,19,1,4,1,82,115,0,2,2136,461,408.0,1128.0,47328.0,500,2497,121991,508,2451,67165,480,2119,93916,496,2355,94357,big
29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,14115,1,0,0,1,98,203,0,3,39795,8414,12.0,17.0,3869.0,518,2327,48348,523,2361,53277,515,2314,128083,518,2334,76569,big
30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,청소년 관람불가,5908,0,0,1,5,55,158,0,2,2734,323,4.0,12.0,2847.0,366,1150,39397,381,2040,51779,402,2132,55598,383,1774,48924,small
31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년 관람불가,39560,0,0,1,3,101,200,0,1,83,20,7.0,11.0,2366.0,469,2235,67380,489,2346,79801,527,2638,118950,495,2406,88710,big
32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,12세 관람가,23347,0,0,14,12,134,304,1,4,0,0,26.0,48.0,9266.0,159,653,27304,169,697,29139,192,804,55258,173,718,37233,small
33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,15세 관람가,6683,2,0,2,1,52,124,1,2,3750,364,7.0,13.0,2168.0,325,920,24638,416,2105,50390,416,2127,68836,385,1717,47954,mid
34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,12세 관람가,5580,1,0,11,4,54,126,1,4,0,0,19.0,37.0,6799.0,388,1963,60234,384,1717,73883,379,1535,91330,383,1738,75149,big
35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,청소년 관람불가,12554,1,0,4,4,47,55,0,3,7380,1585,21.0,49.0,8522.0,536,2681,67072,509,2510,87072,474,2253,67742,506,2481,73962,big
36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,청소년 관람불가,9783,0,0,1,4,91,140,1,2,2153,268,336.0,1853.0,40584.0,348,1784,38128,354,1752,39276,370,1595,56050,357,1710,44484,big
