moviename,peopleCd,수상횟수,totalpeople
특별시민,60280875,47,13
특종: 량첸살인기,20121022,1,1
판도라,60298750,10,10
패션왕,10035775,0,1
표적,30081270,7,6
프리즌,10087518,5,2
플랜맨,20149935,13,3
피끓는 청춘,30156579,11,3
하루,40299227,3,4
하이힐,20121874,3,2
함정,10021341,1,5
해무(海霧),50148531,23,16
해빙,30268239,6,8
해어화,60362535,11,9
해적: 바다로 간 산적,20040671,19,4
해피 투게더,10028773,0,4
허삼관,20174533,27,10
허스토리,10006221,8,4
헬머니,30072064,3,5
"협녀, 칼의 기억",10055626,22,6
협상,20125858,19,4
형,50359440,3,4
혼숨,30222289,2,2
황제를 위하여,20084220,1,5
흥부: 글로 세상을 바꾼 자,30130051,4,6
희생부활자,10006221,8,4
히말라야,20152313,16,8
히야,20110935,3,4
