,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,개봉이전_날짜,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_매출액,개봉이전_관객수,개봉이전_누적매출액,개봉이전_누적관객수,개봉이전_순위,개봉1일_날짜,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_매출액,개봉1일_관객수,개봉1일_누적매출액,개봉1일_누적관객수,개봉1일_순위,개봉2일_날짜,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_매출액,개봉2일_관객수,개봉2일_누적매출액,개봉2일_누적관객수,개봉2일_순위,개봉3일_날짜,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_매출액,개봉3일_관객수,개봉3일_누적매출액,개봉3일_누적관객수,개봉3일_순위,개봉4일_날짜,개봉4일_스크린수,개봉4일_상영횟수,개봉4일_매출액,개봉4일_관객수,개봉4일_누적매출액,개봉4일_누적관객수,개봉4일_순위,개봉5일_날짜,개봉5일_스크린수,개봉5일_상영횟수,개봉5일_매출액,개봉5일_관객수,개봉5일_누적매출액,개봉5일_누적관객수,개봉5일_순위,개봉6일_날짜,개봉6일_스크린수,개봉6일_상영횟수,개봉6일_매출액,개봉6일_관객수,개봉6일_누적매출액,개봉6일_누적관객수,개봉6일_순위,개봉7일_날짜,개봉7일_스크린수,개봉7일_상영횟수,개봉7일_매출액,개봉7일_관객수,개봉7일_누적매출액,개봉7일_누적관객수,개봉7일_순위,개봉8일_날짜,개봉8일_스크린수,개봉8일_상영횟수,개봉8일_매출액,개봉8일_관객수,개봉8일_누적매출액,개봉8일_누적관객수,개봉8일_순위,개봉9일_날짜,개봉9일_스크린수,개봉9일_상영횟수,개봉9일_매출액,개봉9일_관객수,개봉9일_누적매출액,개봉9일_누적관객수,개봉9일_순위,개봉10일_날짜,개봉10일_스크린수,개봉10일_상영횟수,개봉10일_매출액,개봉10일_관객수,개봉10일_누적매출액,개봉10일_누적관객수,개봉10일_순위,기대지수,노기대지수
43,맨홀,20141008,1084557130,133663,286,10324,롯데쇼핑㈜롯데엔터테인먼트,20148927,공포(호러),신재영,4750,정경호|정유미|김새론|,3.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117863,개봉이전,11,17,"30,681,000","3,931","30,681,000","3,931",,개봉1일(10/08),279,"1,462","201,306,600","26,180","231,987,600","30,111",7.0,개봉2일(10/09),285,"1,332","244,370,500","29,174","476,358,100","59,285",7.0,개봉3일(10/10),286,"1,261","109,708,762","13,350","586,066,862","72,635",9.0,개봉4일(10/11),280,"1,166","152,888,268","18,219","738,955,130","90,854",8.0,개봉5일(10/12),270,"1,083","141,756,900","16,690","880,712,030","107,544",8.0,개봉6일(10/13),261,"1,040","54,255,400","7,033","934,967,430","114,577",10.0,개봉7일(10/14),259,976,"44,547,700","5,833","979,515,130","120,410",10.0,개봉8일(10/15),262,909,"40,459,000","5,279","1,019,974,130","125,689",10.0,개봉9일(10/16),111,170,"10,456,500","1,352","1,030,430,630","127,041",19.0,개봉10일(10/17),105,157,"8,668,500","1,048","1,039,099,130","128,089",20.0,5589,1139
44,터널 3D,20140820,620874000,80989,264,5076,(주)박수엔터테인먼트,20147928,공포(호러),박규택,5947,정유미|연우진|송재림|정시연|,5.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119962,개봉이전,6,17,"29,100,000","3,571","29,100,000","3,571",,개봉1일(08/20),264,916,"143,789,600","19,255","172,889,600","22,826",5.0,개봉2일(08/21),255,782,"67,713,000","9,033","240,602,600","31,859",9.0,개봉3일(08/22),258,742,"67,211,900","8,583","307,814,500","40,442",9.0,개봉4일(08/23),262,672,"123,463,500","15,978","431,278,000","56,420",9.0,개봉5일(08/24),249,603,"102,385,700","13,037","533,663,700","69,457",10.0,개봉6일(08/25),235,516,"25,561,400","3,358","559,225,100","72,815",12.0,개봉7일(08/26),241,515,"24,381,900","3,241","583,607,000","76,056",11.0,개봉8일(08/27),93,180,"7,993,000","1,110","591,600,000","77,166",23.0,개봉9일(08/28),20,23,"1,373,000",194,"592,973,000","77,360",43.0,개봉10일(08/29),19,23,"1,237,500",149,"594,210,500","77,509",38.0,2869,587
45,설계,20140918,347980800,45726,257,5465,(주)팝엔터테인먼트,20149257,스릴러,박창진,92767,신은경|오인혜|이기영|강지섭|,4.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123014,개봉이전,2,6,"13,406,000","1,635","13,406,000","1,635",,개봉1일(09/18),252,932,"58,820,100","8,031","72,226,100","9,666",9.0,개봉2일(09/19),257,888,"57,319,300","7,214","129,545,400","16,880",9.0,개봉3일(09/20),249,677,"58,400,600","7,289","187,946,000","24,169",12.0,개봉4일(09/21),243,640,"57,839,300","7,066","245,785,300","31,235",12.0,개봉5일(09/22),241,668,"26,119,000","3,545","271,904,300","34,780",9.0,개봉6일(09/23),238,637,"24,389,200","3,314","296,293,500","38,094",9.0,개봉7일(09/24),234,629,"28,307,800","4,151","324,601,300","42,245",9.0,개봉8일(09/25),39,66,"4,643,000",741,"329,244,300","42,986",24.0,개봉9일(09/26),37,64,"2,819,500",356,"332,063,800","43,342",29.0,개봉10일(09/27),33,55,"5,846,000",934,"337,909,800","44,276",22.0,613,251
46,백프로,20140403,284106600,37909,236,4915,(주)마인스 엔터테인먼트,20124047,코미디,김명균,1985,윤시윤|여진구|천호진|이경영|박상면|이원종|,5.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64194,개봉이전,6,8,"12,088,000","1,507","12,088,000","1,507",,개봉1일(04/03),224,796,"38,131,000","5,451","50,219,000","6,958",8.0,개봉2일(04/04),227,780,"38,242,700","4,860","88,461,700","11,818",8.0,개봉3일(04/05),236,834,"74,476,700","9,552","162,938,400","21,370",9.0,개봉4일(04/06),229,735,"60,280,600","7,766","223,219,000","29,136",9.0,개봉5일(04/07),195,572,"16,203,600","2,250","239,422,600","31,386",8.0,개봉6일(04/08),206,562,"18,510,400","2,531","257,933,000","33,917",8.0,개봉7일(04/09),197,538,"19,168,600","2,933","277,101,600","36,850",8.0,개봉8일(04/10),16,18,"1,329,500",260,"278,431,100","37,110",25.0,개봉9일(04/11),10,12,"666,000",111,"279,097,100","37,221",38.0,개봉10일(04/12),12,14,"1,838,500",305,"280,935,600","37,526",19.0,1123,138
47,베테랑,20150805,105168155250,13414009,1115,199231,씨제이이앤엠(주),20148048,액션,류승완,93360,황정민|유아인|유해진|오달수|,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115977,개봉이전,39,145,"203,522,400","25,421","203,522,400","25,421",,개봉1일(08/05),957,"5,096","3,129,197,200","414,219","3,332,719,600","439,640",1.0,개봉2일(08/06),942,"5,009","3,062,333,800","404,907","6,395,053,400","844,547",1.0,개봉3일(08/07),984,"5,100","3,822,836,218","477,754","10,217,889,618","1,322,301",1.0,개봉4일(08/08),"1,034","5,332","5,744,084,405","715,334","15,961,974,023","2,037,635",1.0,개봉5일(08/09),"1,064","5,349","5,819,291,900","723,999","21,781,265,923","2,761,634",1.0,개봉6일(08/10),"1,016","5,226","3,180,133,300","420,701","24,961,399,223","3,182,335",1.0,개봉7일(08/11),"1,040","5,258","3,069,469,900","407,694","28,030,869,123","3,590,029",1.0,개봉8일(08/12),"1,057","5,405","2,960,267,600","392,815","30,991,136,723","3,982,844",1.0,개봉9일(08/13),907,"4,814","3,079,775,800","406,788","34,070,912,523","4,389,632",1.0,개봉10일(08/14),"1,034","5,235","5,721,321,489","715,051","39,792,234,012","5,104,683",1.0,9952,1339
48,암살,20150722,98463132781,12705700,1519,175185,(주)쇼박스,20148851,액션,최동훈,81348,전지현|이정재|하정우|,8.97,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121048,개봉이전,37,64,"126,507,000","14,375","126,507,000","14,375",,개봉1일(07/22),"1,264","6,245","3,593,111,500","477,541","3,719,618,500","491,916",1.0,개봉2일(07/23),"1,330","6,497","3,280,771,000","435,039","7,000,389,500","926,955",1.0,개봉3일(07/24),"1,370","6,813","4,365,539,973","543,245","11,365,929,473","1,470,200",1.0,개봉4일(07/25),"1,504","7,377","7,661,827,113","949,186","19,027,756,586","2,419,386",1.0,개봉5일(07/26),"1,519","7,338","7,664,950,100","950,620","26,692,706,686","3,370,006",1.0,개봉6일(07/27),"1,397","6,930","3,216,126,200","424,718","29,908,832,886","3,794,724",1.0,개봉7일(07/28),"1,413","6,953","3,022,343,000","401,083","32,931,175,886","4,195,807",1.0,개봉8일(07/29),"1,422","6,863","3,336,083,500","494,019","36,267,259,386","4,689,826",1.0,개봉9일(07/30),"1,028","4,676","2,517,463,500","335,000","38,784,722,886","5,024,826",2.0,개봉10일(07/31),"1,039","4,675","3,143,043,372","394,879","41,927,766,258","5,419,705",2.0,20846,3541
49,내부자들,20151119,56465665657,7055332,1129,152265,(주)쇼박스,20149314,범죄,우민호,35719,이병헌|조승우|백윤식|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121788,개봉이전,712,"1,814","922,066,800","113,784","922,066,800","113,784",,개봉1일(11/19),907,"4,418","1,756,744,300","230,949","2,678,811,100","344,733",1.0,개봉2일(11/20),954,"4,638","2,321,271,547","283,518","5,000,082,647","628,251",1.0,개봉3일(11/21),"1,072","5,334","4,084,563,413","489,503","9,084,646,060","1,117,754",1.0,개봉4일(11/22),"1,075","5,262","4,078,858,500","488,052","13,163,504,560","1,605,806",1.0,개봉5일(11/23),"1,017","4,947","1,617,876,700","211,777","14,781,381,260","1,817,583",1.0,개봉6일(11/24),"1,021","4,950","1,483,958,000","194,968","16,265,339,260","2,012,551",1.0,개봉7일(11/25),963,"4,382","1,568,996,700","251,123","17,834,335,960","2,263,674",1.0,개봉8일(11/26),990,"4,559","1,448,889,000","189,116","19,283,224,960","2,452,790",1.0,개봉9일(11/27),"1,049","4,909","2,034,010,295","247,340","21,317,235,255","2,700,130",1.0,개봉10일(11/28),"1,129","5,697","3,898,381,782","464,510","25,215,617,037","3,164,640",1.0,12198,5619
50,사도,20150916,48842902501,6246849,1210,124246,(주)쇼박스,20148846,사극,이준익,42818,송강호|유아인|문근영|,8.24,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121922,개봉이전,15,63,"113,049,000","14,455","113,049,000","14,455",,개봉1일(09/16),"1,123","6,108","1,876,614,700","250,237","1,989,663,700","264,692",1.0,개봉2일(09/17),"1,190","6,447","1,674,687,200","223,381","3,664,350,900","488,073",1.0,개봉3일(09/18),"1,203","6,661","2,262,167,824","281,969","5,926,518,724","770,042",1.0,개봉4일(09/19),"1,210","6,948","4,415,344,655","543,047","10,341,863,379","1,313,089",1.0,개봉5일(09/20),"1,205","6,718","4,024,137,100","497,421","14,366,000,479","1,810,510",1.0,개봉6일(09/21),"1,146","6,235","1,127,837,200","150,543","15,493,837,679","1,961,053",1.0,개봉7일(09/22),"1,153","6,215","1,076,471,300","144,379","16,570,308,979","2,105,432",1.0,개봉8일(09/23),"1,137","6,135","1,047,686,100","140,417","17,617,995,079","2,245,849",1.0,개봉9일(09/24),809,"3,937","884,132,400","118,066","18,502,127,479","2,363,915",1.0,개봉10일(09/25),832,"4,184","1,895,461,591","236,352","20,397,589,070","2,600,267",1.0,22459,2652
51,연평해전,20150624,45563228330,6043784,1013,114450,(주)넥스트엔터테인먼트월드(NEW),20134798,드라마,김학순,17579,김무열|진구|이현우|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102272,개봉이전,42,81,"71,015,000","9,223","71,015,000","9,223",,개봉1일(06/24),667,"3,147","1,011,947,000","153,400","1,082,962,000","162,623",1.0,개봉2일(06/25),717,"3,296","1,266,801,000","170,284","2,349,763,000","332,907",1.0,개봉3일(06/26),850,"3,688","1,788,540,957","228,338","4,138,303,957","561,245",1.0,개봉4일(06/27),987,"4,461","3,470,083,002","437,118","7,608,386,959","998,363",1.0,개봉5일(06/28),"1,013","4,454","3,506,103,700","439,924","11,114,490,659","1,438,287",1.0,개봉6일(06/29),873,"4,088","1,611,042,400","218,354","12,725,533,059","1,656,641",1.0,개봉7일(06/30),903,"4,135","1,575,237,100","216,362","14,300,770,159","1,873,003",1.0,개봉8일(07/01),913,"4,246","1,432,282,900","195,325","15,733,053,059","2,068,328",1.0,개봉9일(07/02),802,"3,846","1,215,438,400","167,113","16,948,491,459","2,235,441",2.0,개봉10일(07/03),822,"4,000","1,748,372,943","230,462","18,696,864,402","2,465,903",2.0,28626,3205
52,검은 사제들,20151105,42405282092,5442128,1109,131155,씨제이이앤엠(주),20145503,미스터리,장재현,19521,김윤석|강동원|,8.31,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120157,개봉이전,19,39,"65,723,000","7,584","65,723,000","7,584",,개봉1일(11/05),834,"4,657","1,454,751,000","191,090","1,520,474,000","198,674",1.0,개봉2일(11/06),887,"4,988","2,211,539,486","272,689","3,732,013,486","471,363",1.0,개봉3일(11/07),"1,064","5,983","4,770,742,768","581,845","8,502,756,254","1,053,208",1.0,개봉4일(11/08),"1,088","5,965","4,523,882,400","551,505","13,026,638,654","1,604,713",1.0,개봉5일(11/09),945,"5,414","1,429,144,500","187,763","14,455,783,154","1,792,476",1.0,개봉6일(11/10),971,"5,400","1,238,712,200","163,290","15,694,495,354","1,955,766",1.0,개봉7일(11/11),923,"5,136","1,686,018,300","227,313","17,380,513,654","2,183,079",1.0,개봉8일(11/12),997,"5,637","1,649,817,100","228,623","19,030,330,754","2,411,702",1.0,개봉9일(11/13),"1,030","5,813","1,947,364,180","248,137","20,977,694,934","2,659,839",1.0,개봉10일(11/14),"1,109","6,361","3,712,403,140","460,104","24,690,098,074","3,119,943",1.0,15918,2041
53,히말라야,20151216,39469775448,5129409,1095,81042,씨제이이앤엠(주),20136068,드라마,이석훈,23893,황정민|정우|,7.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100647,개봉이전,77,168,"210,227,500","26,776","210,227,500","26,776",,개봉1일(12/16),"1,009","4,923","1,493,451,100","203,173","1,703,678,600","229,949",1.0,개봉2일(12/17),978,"4,733","1,405,618,800","190,883","3,109,297,400","420,832",1.0,개봉3일(12/18),"1,007","4,926","1,875,221,394","242,838","4,984,518,794","663,670",1.0,개봉4일(12/19),983,"5,177","3,382,193,246","422,443","8,366,712,040","1,086,113",1.0,개봉5일(12/20),999,"5,102","3,585,077,300","445,051","11,951,789,340","1,531,164",1.0,개봉6일(12/21),980,"4,851","1,382,971,200","185,312","13,334,760,540","1,716,476",1.0,개봉7일(12/22),"1,007","4,870","1,324,284,300","180,295","14,659,044,840","1,896,771",1.0,개봉8일(12/23),"1,012","5,030","1,352,512,500","184,877","16,011,557,340","2,081,648",1.0,개봉9일(12/24),"1,053","5,382","2,849,230,562","374,902","18,860,787,902","2,456,550",1.0,개봉10일(12/25),"1,094","5,527","5,974,216,561","746,400","24,835,004,463","3,202,950",1.0,13693,1976
54,조선명탐정 : 사라진 놉의 딸,20150211,30456879428,3872015,825,80499,(주)쇼박스,20149570,사극,김석윤,7541,김명민|오달수|이연희|,7.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123596,개봉이전,14,34,"64,359,000","8,202","64,359,000","8,202",,개봉1일(02/11),740,"3,670","853,823,300","113,443","918,182,300","121,645",1.0,개봉2일(02/12),766,"3,741","825,063,900","110,284","1,743,246,200","231,929",1.0,개봉3일(02/13),769,"3,889","1,097,163,581","137,631","2,840,409,781","369,560",1.0,개봉4일(02/14),811,"4,111","2,604,862,268","322,022","5,445,272,049","691,582",1.0,개봉5일(02/15),810,"3,985","2,147,212,100","269,925","7,592,484,149","961,507",1.0,개봉6일(02/16),751,"3,727","728,943,900","97,742","8,321,428,049","1,059,249",2.0,개봉7일(02/17),746,"3,812","1,120,622,200","148,087","9,442,050,249","1,207,336",2.0,개봉8일(02/18),804,"4,183","2,407,918,800","296,713","11,849,969,049","1,504,049",1.0,개봉9일(02/19),825,"4,184","3,644,633,700","441,844","15,494,602,749","1,945,893",1.0,개봉10일(02/20),813,"4,167","3,972,232,188","497,065","19,466,834,937","2,442,958",1.0,7406,952
55,스물,20150325,23563421686,3044811,926,100161,(주)넥스트엔터테인먼트월드(NEW),20148845,코미디,이병헌,23837,김우빈|준호|강하늘|,7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123277,개봉이전,58,167,"156,809,500","18,501","156,809,500","18,501",,개봉1일(03/25),786,"4,212","981,625,100","151,161","1,138,434,600","169,662",1.0,개봉2일(03/26),829,"4,500","860,554,400","114,294","1,998,989,000","283,956",1.0,개봉3일(03/27),831,"4,667","1,268,802,316","160,114","3,267,791,316","444,070",1.0,개봉4일(03/28),926,"5,165","2,826,752,303","358,084","6,094,543,619","802,154",1.0,개봉5일(03/29),910,"5,011","2,652,125,100","334,969","8,746,668,719","1,137,123",1.0,개봉6일(03/30),840,"4,572","809,086,100","107,313","9,555,754,819","1,244,436",1.0,개봉7일(03/31),857,"4,614","805,211,100","107,402","10,360,965,919","1,351,838",1.0,개봉8일(04/01),736,"3,860","922,388,300","123,777","11,283,354,219","1,475,615",2.0,개봉9일(04/02),729,"3,740","618,857,300","81,943","11,902,211,519","1,557,558",2.0,개봉10일(04/03),760,"3,880","1,024,870,928","128,837","12,927,082,447","1,686,395",2.0,27413,2121
56,극비수사,20150618,22389535897,2860786,894,66211,(주)쇼박스,20148855,드라마,곽경택,10789,김윤석|유해진|,8.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122120,개봉이전,18,37,"50,059,000","6,663","50,059,000","6,663",,개봉1일(06/18),722,"3,979","1,380,352,500","181,737","1,430,411,500","188,400",1.0,개봉2일(06/19),770,"4,278","1,672,712,386","205,567","3,103,123,886","393,967",1.0,개봉3일(06/20),894,"4,945","3,394,067,661","412,599","6,497,191,547","806,566",2.0,개봉4일(06/21),888,"4,841","2,979,945,000","363,234","9,477,136,547","1,169,800",2.0,개봉5일(06/22),807,"4,539","1,132,427,300","150,695","10,609,563,847","1,320,495",1.0,개봉6일(06/23),814,"4,526","1,023,497,500","137,205","11,633,061,347","1,457,700",1.0,개봉7일(06/24),676,"3,540","908,109,100","137,384","12,541,170,447","1,595,084",2.0,개봉8일(06/25),610,"3,019","678,930,700","90,688","13,220,101,147","1,685,772",2.0,개봉9일(06/26),646,"3,113","908,219,006","114,215","14,128,320,153","1,799,987",2.0,개봉10일(06/27),661,"3,272","1,706,434,899","209,996","15,834,755,052","2,009,983",3.0,9189,1140
57,탐정 : 더 비기닝,20150924,20463956973,2625686,764,54995,씨제이이앤엠(주),20156557,코미디,김정훈,6376,권상우|성동일|,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124201,개봉이전,49,200,"209,551,500","24,775","209,551,500","24,775",,개봉1일(09/24),486,"2,200","376,585,300","50,533","586,136,800","75,308",3.0,개봉2일(09/25),494,"2,294","765,042,509","95,087","1,351,179,309","170,395",3.0,개봉3일(09/26),530,"2,379","1,489,549,804","182,738","2,840,729,113","353,133",3.0,개봉4일(09/27),641,"2,580","2,267,201,000","275,581","5,107,930,113","628,714",2.0,개봉5일(09/28),753,"2,985","2,851,243,500","355,699","7,959,173,613","984,413",2.0,개봉6일(09/29),764,"2,951","2,551,154,500","321,468","10,510,328,113","1,305,881",2.0,개봉7일(09/30),596,"2,562","880,864,800","133,381","11,391,192,913","1,439,262",2.0,개봉8일(10/01),608,"2,727","578,582,500","92,953","11,969,775,413","1,532,215",2.0,개봉9일(10/02),624,"2,800","796,294,776","100,182","12,766,070,189","1,632,397",3.0,개봉10일(10/03),666,"3,064","1,648,543,584","204,348","14,414,613,773","1,836,745",3.0,3319,638
58,악의 연대기,20150514,17361815332,2192525,776,64351,씨제이이앤엠(주),20149569,스릴러,백운학,10953,손현주|마동석|최다니엘|박서준|,7.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122535,개봉이전,22,65,"105,452,000","12,711","105,452,000","12,711",,개봉1일(05/14),693,"3,816","862,812,600","114,540","968,264,600","127,251",1.0,개봉2일(05/15),715,"4,002","1,340,394,905","168,889","2,308,659,505","296,140",1.0,개봉3일(05/16),776,"4,415","2,409,150,591","293,387","4,717,810,096","589,527",1.0,개봉4일(05/17),770,"4,291","2,216,396,800","270,739","6,934,206,896","860,266",1.0,개봉5일(05/18),721,"4,062","708,016,800","92,254","7,642,223,696","952,520",2.0,개봉6일(05/19),731,"4,071","634,388,200","82,916","8,276,611,896","1,035,436",2.0,개봉7일(05/20),728,"4,046","663,399,900","87,182","8,940,011,796","1,122,618",2.0,개봉8일(05/21),569,"2,661","457,320,500","60,576","9,397,332,296","1,183,194",4.0,개봉9일(05/22),575,"2,746","638,850,928","80,548","10,036,183,224","1,263,742",4.0,개봉10일(05/23),561,"2,807","1,242,460,539","153,387","11,278,643,763","1,417,129",3.0,5113,582
59,강남 1970,20150121,17718699499,2192276,841,53304,(주)쇼박스,20136888,액션,유하,20733,이민호|김래원|정진영|,7.13,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103760,개봉이전,12,48,"93,249,100","10,822","93,249,100","10,822",,개봉1일(01/21),684,"2,816","1,184,775,700","152,329","1,278,024,800","163,151",1.0,개봉2일(01/22),696,"2,847","1,002,597,100","128,753","2,280,621,900","291,904",1.0,개봉3일(01/23),752,"3,044","1,239,450,032","148,335","3,520,071,932","440,239",1.0,개봉4일(01/24),841,"3,276","2,440,242,461","289,789","5,960,314,393","730,028",1.0,개봉5일(01/25),836,"3,197","2,300,774,900","273,777","8,261,089,293","1,003,805",2.0,개봉6일(01/26),722,"2,993","737,056,800","95,381","8,998,146,093","1,099,186",1.0,개봉7일(01/27),729,"2,990","723,099,600","93,456","9,721,245,693","1,192,642",1.0,개봉8일(01/28),641,"2,580","658,092,300","97,141","10,379,337,993","1,289,783",1.0,개봉9일(01/29),616,"2,563","583,646,000","75,646","10,962,983,993","1,365,429",2.0,개봉10일(01/30),641,"2,676","730,535,030","88,251","11,693,519,023","1,453,680",1.0,21361,4102
60,뷰티 인사이드,20150820,16148479531,2053435,648,52618,(주)넥스트엔터테인먼트월드(NEW),20143572,판타지,백,23636,한효주|김대명|도지한|배성우|박신혜|이범수|박서준|김상호|천우희|우에노 주리|이재준|김민재|이현우|조달환|이진욱|홍다미|서강준|김희원|이동욱|고아성|김주혁|유연석|,7.74,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129050,개봉이전,81,237,"261,802,000","29,229","261,802,000","29,229",,개봉1일(08/20),633,"2,819","867,611,000","114,401","1,129,413,000","143,630",2.0,개봉2일(08/21),646,"2,885","955,260,125","118,845","2,084,673,125","262,475",2.0,개봉3일(08/22),648,"2,867","1,488,097,331","185,720","3,572,770,456","448,195",3.0,개봉4일(08/23),628,"2,746","1,462,233,100","181,634","5,035,003,556","629,829",3.0,개봉5일(08/24),612,"2,670","692,431,900","90,024","5,727,435,456","719,853",2.0,개봉6일(08/25),623,"2,662","669,268,400","87,191","6,396,703,856","807,044",2.0,개봉7일(08/26),634,"2,666","761,427,600","117,419","7,158,131,456","924,463",2.0,개봉8일(08/27),499,"2,018","495,318,600","64,589","7,653,450,056","989,052",2.0,개봉9일(08/28),533,"2,119","677,488,889","83,784","8,330,938,945","1,072,836",2.0,개봉10일(08/29),583,"2,367","1,342,438,022","166,453","9,673,376,967","1,239,289",2.0,17219,6346
61,오늘의 연애,20150114,14924654487,1891993,709,47237,씨제이이앤엠(주),20142407,멜로/로맨스,박진표,17057,이승기|문채원|이서진|정준영|,6.65,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74027,개봉이전,9,35,"66,570,000","7,684","66,570,000","7,684",,개봉1일(01/14),577,"2,798","1,032,903,000","133,838","1,099,473,000","141,522",2.0,개봉2일(01/15),598,"2,900","1,170,496,100","153,283","2,269,969,100","294,805",1.0,개봉3일(01/16),625,"3,070","1,280,142,013","157,607","3,550,111,113","452,412",1.0,개봉4일(01/17),709,"3,360","2,306,021,718","282,070","5,856,132,831","734,482",2.0,개봉5일(01/18),694,"3,226","1,955,542,900","238,918","7,811,675,731","973,400",2.0,개봉6일(01/19),624,"3,045","704,048,200","92,463","8,515,723,931","1,065,863",2.0,개봉7일(01/20),621,"3,038","660,231,400","86,967","9,175,955,331","1,152,830",2.0,개봉8일(01/21),471,"1,943","464,770,500","61,808","9,640,725,831","1,214,638",4.0,개봉9일(01/22),477,"1,927","423,764,200","56,568","10,064,490,031","1,271,206",4.0,개봉10일(01/23),482,"1,999","490,341,133","61,586","10,554,831,164","1,332,792",4.0,19766,2573
62,쎄시봉,20150205,13571515911,1715370,829,51744,씨제이이앤엠(주),20148188,멜로/로맨스,김현석,14729,정우|김윤석|한효주|김희애|진구|장현성|강하늘|조복래|,6.07,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119966,개봉이전,25,66,"95,962,000","11,447","95,962,000","11,447",,개봉1일(02/05),757,"3,918","713,911,500","96,139","809,873,500","107,586",1.0,개봉2일(02/06),773,"4,016","878,703,128","110,021","1,688,576,628","217,607",1.0,개봉3일(02/07),829,"4,184","1,756,607,232","215,539","3,445,183,860","433,146",1.0,개봉4일(02/08),804,"3,967","1,700,606,600","209,098","5,145,790,460","642,244",1.0,개봉5일(02/09),744,"3,712","537,343,300","71,810","5,683,133,760","714,054",1.0,개봉6일(02/10),746,"3,698","555,723,000","74,780","6,238,856,760","788,834",1.0,개봉7일(02/11),498,"2,116","337,228,300","45,328","6,576,085,060","834,162",3.0,개봉8일(02/12),491,"1,989","306,031,400","40,911","6,882,116,460","875,073",3.0,개봉9일(02/13),496,"2,041","354,043,419","44,199","7,236,159,879","919,272",3.0,개봉10일(02/14),522,"2,053","768,388,932","94,504","8,004,548,811","1,013,776",3.0,12076,24436
63,더 폰,20151022,12309164568,1593694,794,53599,(주)넥스트엔터테인먼트월드(NEW),20157464,스릴러,김봉주,6409,손현주|엄지원|배성우|,6.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134982,개봉이전,37,88,"164,123,000","18,634","164,123,000","18,634",,개봉1일(10/22),705,"3,328","721,519,700","97,241","885,642,700","115,875",1.0,개봉2일(10/23),749,"3,517","1,029,099,504","133,145","1,914,742,204","249,020",1.0,개봉3일(10/24),794,"3,976","2,008,279,471","249,459","3,923,021,675","498,479",1.0,개봉4일(10/25),791,"3,930","1,858,130,400","230,545","5,781,152,075","729,024",1.0,개봉5일(10/26),744,"3,680","597,924,200","79,305","6,379,076,275","808,329",1.0,개봉6일(10/27),749,"3,687","639,998,700","85,824","7,019,074,975","894,153",1.0,개봉7일(10/28),642,"2,794","498,839,500","83,478","7,517,914,475","977,631",2.0,개봉8일(10/29),625,"2,832","378,844,600","50,960","7,896,759,075","1,028,591",2.0,개봉9일(10/30),647,"2,957","598,087,651","76,403","8,494,846,726","1,104,994",2.0,개봉10일(10/31),681,"3,180","1,186,798,542","149,288","9,681,645,268","1,254,282",2.0,5205,480
